,Open,High,Low,Close,Volume
2017-09-14 16:00:00,14.22,14.3514,13.76,13.78,3936829
2017-09-15 16:00:00,13.75,13.94,13.55,13.94,7229747
2017-09-18 16:00:00,14.03,14.16,13.84,13.96,3333387
2017-09-19 16:00:00,13.95,14.12,13.87,14.07,1803990
2017-09-20 16:00:00,14.05,14.15,13.8,14.06,2275454
2017-09-21 16:00:00,14.08,14.13,13.76,14.03,2657984
2017-09-22 16:00:00,14.02,14.8,14.0,14.78,2810096
2017-09-25 16:00:00,14.78,14.97,14.64,14.82,2041400
2017-09-26 16:00:00,14.86,15.22,14.7,15.18,2797273
2017-09-27 16:00:00,15.25,15.605,15.09,15.53,2743288
2017-09-28 16:00:00,15.56,15.61,14.885,14.92,3877363
2017-09-29 16:00:00,14.95,15.22,14.89,15.02,2675473
2017-10-02 16:00:00,15.01,15.02,14.69,14.9,4943918
2017-10-03 16:00:00,14.97,15.1,14.91,14.96,1694893
2017-10-04 16:00:00,14.96,14.97,14.65,14.7,2076829
2017-10-05 16:00:00,13.86,13.94,12.5537,12.605,15151923
2017-10-06 16:00:00,12.61,12.78,12.5101,12.6,5211023
2017-10-09 16:00:00,12.71,12.71,12.09,12.22,4379532
2017-10-10 16:00:00,12.28,12.53,12.24,12.47,4037632
2017-10-11 16:00:00,12.43,12.47,11.71,11.79,6283980
2017-10-12 16:00:00,11.76,11.98,11.67,11.8,6118670
2017-10-13 16:00:00,11.77,11.88,11.481,11.62,3939337
2017-10-16 16:00:00,11.58,11.76,11.51,11.73,3977978
2017-10-17 16:00:00,11.96,12.285,11.71,12.2,8466419
2017-10-18 16:00:00,12.38,12.45,11.93,11.98,5183932
2017-10-19 16:00:00,11.93,12.4,11.85,12.31,3784631
2017-10-20 16:00:00,12.46,12.51,12.25,12.36,4260154
2017-10-23 16:00:00,12.34,12.43,12.14,12.18,2741710
2017-10-24 16:00:00,12.25,12.25,12.06,12.1,2975829
2017-10-25 16:00:00,12.36,12.37,11.54,11.79,6657077
2017-10-26 16:00:00,11.84,12.18,11.8,11.95,5395771
2017-10-27 16:00:00,11.88,12.02,11.71,11.85,3526673
2017-10-30 16:00:00,11.81,12.09,11.71,11.83,5152844
2017-10-31 16:00:00,11.85,12.5,11.81,12.46,5168949
2017-11-01 16:00:00,12.46,12.665,12.06,12.1,5353907
2017-11-02 16:00:00,12.11,12.42,11.91,12.36,6609544
2017-11-03 16:00:00,12.33,12.42,12.09,12.22,3923152
2017-11-06 16:00:00,12.17,12.59,12.105,12.38,3132571
2017-11-07 16:00:00,12.35,12.415,12.07,12.09,2511912
2017-11-08 16:00:00,12.11,12.35,11.88,12.05,2538014
2017-11-09 16:00:00,11.96,12.33,11.91,12.14,2526050
2017-11-10 16:00:00,12.1,12.28,12.045,12.21,2371858
2017-11-13 16:00:00,12.16,12.17,11.84,12.08,2585769
2017-11-14 16:00:00,12.01,12.43,11.865,12.35,5162761
2017-11-15 16:00:00,12.19,12.67,11.94,12.61,5210576
2017-11-16 16:00:00,12.62,12.95,12.4,12.76,4847580
2017-11-17 16:00:00,12.55,12.84,12.43,12.49,4874705
2017-11-20 16:00:00,12.5,12.83,12.43,12.82,3530291
2017-11-21 16:00:00,12.85,12.9,12.325,12.59,3921628
2017-11-22 16:00:00,12.62,12.73,12.39,12.45,2174615
2017-11-24 13:00:00,12.49,12.54,12.28,12.34,1252754
2017-11-27 16:00:00,12.35,12.35,11.95,11.98,3549889
2017-11-28 16:00:00,11.94,12.5,11.86,12.46,3668912
2017-11-29 16:00:00,12.16,12.88,11.88,12.83,5452160
2017-11-30 16:00:00,12.69,12.83,12.36,12.61,20582374
2017-12-01 16:00:00,12.65,13.1,12.41,13.01,5356670
2017-12-04 16:00:00,13.25,13.37,13.06,13.27,5168194
2017-12-05 16:00:00,13.3,13.42,13.03,13.13,3389881
2017-12-06 16:00:00,13.16,13.175,12.825,12.91,2958038
2017-12-07 16:00:00,12.88,13.02,12.67,12.73,5089044
2017-12-08 16:00:00,12.82,12.87,12.19,12.76,5990792
2017-12-11 16:00:00,12.83,12.94,12.6,12.76,4837535
2017-12-12 16:00:00,12.8,13.21,12.77,12.96,4229062
2017-12-13 16:00:00,12.94,13.305,12.9,12.94,6669738
