,Open,High,Low,Close,Volume
2017-10-25 16:00:00,37.08,37.18,36.19,36.75,8935873
2017-10-26 16:00:00,37.01,37.19,35.07,35.81,8557054
2017-10-27 16:00:00,35.74,36.35,35.67,35.8,4602389
2017-10-30 16:00:00,35.8,36.39,35.62,36.23,4744260
2017-10-31 16:00:00,36.19,36.2999,35.88,36.16,4114382
2017-11-01 16:00:00,36.36,36.46,35.59,35.69,4001662
2017-11-02 16:00:00,35.82,36.5,35.765,36.48,5469635
2017-11-03 16:00:00,36.37,36.485,35.76,36.04,3430045
2017-11-06 16:00:00,36.13,36.8,36.12,36.37,4346810
2017-11-07 16:00:00,36.38,36.545,35.995,36.04,4340003
2017-11-08 16:00:00,36.24,36.49,36.14,36.31,3161639
2017-11-09 16:00:00,36.22,36.42,35.74,35.88,4218363
2017-11-10 16:00:00,35.84,36.08,35.495,35.52,4663192
2017-11-13 16:00:00,35.59,36.015,35.5,35.71,4428484
2017-11-14 16:00:00,35.56,36.345,35.49,36.28,4108386
2017-11-15 16:00:00,36.47,36.48,35.9399,36.08,5011829
2017-11-16 16:00:00,36.07,36.2,35.85,36.09,2739018
2017-11-17 16:00:00,36.13,36.32,35.93,36.21,3139144
2017-11-20 16:00:00,36.15,36.49,36.06,36.33,2972468
2017-11-21 16:00:00,36.49,36.74,36.3,36.37,4109726
2017-11-22 16:00:00,36.54,36.92,36.47,36.71,4144273
2017-11-24 13:00:00,36.73,37.06,36.655,36.68,1705593
