,Open,High,Low,Close,Volume
2017-09-14 16:00:00,183.25,185.2882,182.07,182.63,4510722
2017-09-15 16:00:00,182.73,184.93,181.43,182.35,5591743
2017-09-18 16:00:00,183.61,185.45,182.73,184.62,5359569
2017-09-19 16:00:00,184.98,186.23,184.17,185.68,4982086
2017-09-20 16:00:00,186.1,186.5,183.2,185.51,4624993
2017-09-21 16:00:00,185.82,189.95,184.51,188.78,7148104
2017-09-22 16:00:00,188.4,189.85,186.39,187.35,5464312
2017-09-25 16:00:00,186.46,186.55,177.7,178.55,9367231
2017-09-26 16:00:00,180.7,180.95,176.55,179.38,5602471
2017-09-27 16:00:00,181.01,183.34,180.7,181.97,4975952
2017-09-28 16:00:00,181.25,181.95,179.36,180.7,4076986
2017-09-29 16:00:00,180.73,182.9,180.65,181.35,4227864
2017-10-02 16:00:00,182.11,182.8,176.58,177.01,7342007
2017-10-03 16:00:00,177.65,179.7,177.55,179.19,3956940
2017-10-04 16:00:00,181.41,186.7,181.25,184.45,9235867
2017-10-05 16:00:00,185.65,194.49,184.49,194.39,19412690
2017-10-06 16:00:00,194.3,198.92,192.05,198.02,15348356
2017-10-09 16:00:00,199.1,199.4,196.56,196.87,6971714
2017-10-10 16:00:00,197.85,198.3,192.1,195.08,6233823
2017-10-11 16:00:00,195.57,196.2199,193.81,194.95,6450161
2017-10-12 16:00:00,196.75,198.62,194.71,195.86,7753341
2017-10-13 16:00:00,199.7,200.8199,197.1866,199.49,12081252
2017-10-16 16:00:00,201.95,202.83,197.86,202.68,22105442
2017-10-17 16:00:00,200.11,204.38,197.77,199.48,23900118
2017-10-18 16:00:00,199.99,200.01,194.25,195.54,11198938
2017-10-19 16:00:00,193.01,195.25,191.16,195.13,7034602
2017-10-20 16:00:00,195.9,196.38,193.77,194.16,5995568
2017-10-23 16:00:00,194.17,194.8999,191.0346,192.47,6979994
2017-10-24 16:00:00,192.75,196.735,191.4,196.02,7069108
2017-10-25 16:00:00,195.38,197.055,193.01,193.77,5315269
2017-10-26 16:00:00,194.66,197.61,194.08,195.21,5185830
2017-10-27 16:00:00,197.2,200.65,196.22,199.54,8128567
2017-10-30 16:00:00,199.62,201.099,197.0721,198.37,5439563
2017-10-31 16:00:00,198.21,198.59,195.218,196.43,5518595
2017-11-01 16:00:00,197.24,199.199,196.0,198.0,5017420
2017-11-02 16:00:00,197.45,199.44,197.0901,199.32,3606332
2017-11-03 16:00:00,199.8,200.55,197.99,200.01,3678829
2017-11-06 16:00:00,200.0,202.48,198.09,200.13,5846581
2017-11-07 16:00:00,200.0,200.61,194.8,195.89,6467969
2017-11-08 16:00:00,196.0,197.09,194.74,196.44,4237398
2017-11-09 16:00:00,194.46,194.49,190.81,193.9,5979925
2017-11-10 16:00:00,191.61,192.59,189.5,192.02,6622168
2017-11-13 16:00:00,191.12,196.05,191.0,195.08,4606951
2017-11-14 16:00:00,193.64,195.88,193.0,195.71,3450513
2017-11-15 16:00:00,194.54,195.42,191.53,192.12,4203072
2017-11-16 16:00:00,194.33,197.7,193.75,195.51,5678355
2017-11-17 16:00:00,195.74,195.95,192.65,193.2,3906333
2017-11-20 16:00:00,193.3,194.32,191.9,194.1,3827474
2017-11-21 16:00:00,195.04,197.52,194.971,196.23,4787311
2017-11-22 16:00:00,196.58,196.75,193.63,196.32,5895402
2017-11-24 13:00:00,196.65,196.9,195.33,195.75,2160535
2017-11-27 16:00:00,195.56,195.85,194.0,195.05,3210145
2017-11-28 16:00:00,195.34,199.68,194.01,199.18,6981094
2017-11-29 16:00:00,198.91,199.029,184.32,188.15,14202713
2017-11-30 16:00:00,190.31,190.86,186.68,187.58,6630051
2017-12-01 16:00:00,186.99,189.8,185.0,186.82,6219531
2017-12-04 16:00:00,189.36,189.72,178.38,184.04,9069765
2017-12-05 16:00:00,183.5,188.14,181.19,184.21,5783697
2017-12-06 16:00:00,183.38,186.4844,182.88,185.3,5490088
2017-12-07 16:00:00,185.71,187.34,183.22,185.2,4659542
2017-12-08 16:00:00,186.5,189.42,186.3,188.54,4987270
2017-12-11 16:00:00,187.85,189.42,185.91,186.22,5298583
2017-12-12 16:00:00,186.01,187.85,184.8183,185.73,4265907
2017-12-13 16:00:00,186.1,188.69,185.41,187.86,4710041
