,Open,High,Low,Close,Volume
2017-10-25 16:00:00,26.52,26.56,26.04,26.54,2197702
2017-10-26 16:00:00,26.62,26.77,26.4,26.47,1881154
2017-10-27 16:00:00,26.42,26.585,26.23,26.44,2724735
2017-10-30 16:00:00,26.24,26.37,26.165,26.25,1867308
2017-10-31 16:00:00,26.23,26.54,26.23,26.37,2200327
2017-11-01 16:00:00,26.99,26.99,26.41,26.58,3384354
2017-11-02 16:00:00,26.65,26.985,26.39,26.94,3368182
2017-11-03 16:00:00,26.85,27.41,26.79,27.33,3699443
2017-11-06 16:00:00,27.35,27.3552,27.15,27.21,2241575
2017-11-07 16:00:00,27.24,27.61,27.2,27.47,1757849
2017-11-08 16:00:00,27.43,27.605,27.34,27.52,1462035
2017-11-09 16:00:00,27.41,27.6,27.32,27.52,1940666
2017-11-10 16:00:00,27.36,27.45,27.09,27.2,1700122
2017-11-13 16:00:00,27.25,27.47,27.1501,27.32,2071976
2017-11-14 16:00:00,27.22,27.61,27.14,27.58,4529528
2017-11-15 16:00:00,27.64,27.76,27.21,27.24,2422316
2017-11-16 16:00:00,27.18,27.47,27.015,27.32,3621278
2017-11-17 16:00:00,27.23,27.45,27.02,27.08,6277742
2017-11-20 16:00:00,27.14,27.24,26.92,27.09,3164332
2017-11-21 16:00:00,27.18,27.32,27.13,27.22,2381719
2017-11-22 16:00:00,27.26,27.35,26.97,27.04,2272096
2017-11-24 13:00:00,27.11,27.195,27.02,27.04,611330
