,Open,High,Low,Close,Volume
2017-10-25 16:00:00,300.63,306.61,299.74,304.75,1545084
2017-10-26 16:00:00,306.0,306.0,295.56,297.99,1057886
2017-10-27 16:00:00,298.0,299.025,296.79,297.66,643117
2017-10-30 16:00:00,296.87,298.29,295.2,296.37,469498
2017-10-31 16:00:00,296.99,297.41,295.39,295.53,462665
2017-11-01 16:00:00,295.67,296.4897,293.98,294.17,580848
2017-11-02 16:00:00,293.88,301.49,293.88,301.36,711808
2017-11-03 16:00:00,301.18,303.36,299.15,301.66,517718
2017-11-06 16:00:00,300.86,303.49,300.275,301.86,366702
2017-11-07 16:00:00,301.99,304.665,301.99,303.31,510753
2017-11-08 16:00:00,303.3,304.25,302.5,303.3,524651
2017-11-09 16:00:00,302.87,303.58,298.09,299.14,529808
2017-11-10 16:00:00,298.5,299.66,297.56,298.13,391852
2017-11-13 16:00:00,297.73,298.96,294.44,298.48,656120
2017-11-14 16:00:00,297.17,300.532,296.15,300.46,521552
2017-11-15 16:00:00,300.77,302.34,299.64,299.94,804909
2017-11-16 16:00:00,300.38,301.245,299.53,300.55,440594
2017-11-17 16:00:00,299.57,300.0947,296.67,296.85,458031
2017-11-20 16:00:00,296.96,301.25,296.76,300.94,703470
2017-11-21 16:00:00,302.14,304.93,301.09,304.31,707029
2017-11-22 16:00:00,303.24,303.615,300.3,302.02,463771
2017-11-24 13:00:00,302.82,303.9,302.19,302.72,273018
