,Open,High,Low,Close,Volume
2017-10-25 16:00:00,33.75,33.97,33.46,33.63,2875923
2017-10-26 16:00:00,33.57,34.165,33.41,33.86,4463584
2017-10-27 16:00:00,32.7,33.95,32.01,33.23,7146312
2017-10-30 16:00:00,33.19,34.38,32.96,34.28,4961319
2017-10-31 16:00:00,33.91,34.61,33.72,34.19,3755954
2017-11-01 16:00:00,34.49,34.99,33.86,34.06,4365762
2017-11-02 16:00:00,34.14,34.27,33.19,33.36,3616686
2017-11-03 16:00:00,33.26,33.575,33.17,33.42,2456272
2017-11-06 16:00:00,33.61,35.53,33.52,35.5,4005577
2017-11-07 16:00:00,35.7,35.83,34.99,35.1,2397803
2017-11-08 16:00:00,35.0,35.63,34.91,35.02,4073273
2017-11-09 16:00:00,34.93,35.07,34.51,34.55,2777424
2017-11-10 16:00:00,34.56,34.61,33.33,33.52,4237532
2017-11-13 16:00:00,33.35,33.39,32.87,33.06,3413277
2017-11-14 16:00:00,32.87,32.98,32.21,32.27,2933901
2017-11-15 16:00:00,31.92,32.425,31.5699,31.94,2895771
2017-11-16 16:00:00,31.91,31.9356,31.47,31.51,3152446
2017-11-17 16:00:00,31.57,32.155,31.5108,32.02,2854198
2017-11-20 16:00:00,31.91,32.08,31.58,31.72,2642395
2017-11-21 16:00:00,31.91,32.145,31.76,31.8,2246510
2017-11-22 16:00:00,32.01,32.2869,31.77,31.94,2079959
2017-11-24 13:00:00,32.09,32.11,31.735,31.85,659116
