,Open,High,Low,Close,Volume
2017-09-14 16:00:00,40.17,40.69,39.95,40.65,2896131
2017-09-15 16:00:00,40.72,41.06,40.33,41.03,3640517
2017-09-18 16:00:00,41.04,41.16,40.51,40.63,2771723
2017-09-19 16:00:00,41.79,42.32,41.3,41.71,5313348
2017-09-20 16:00:00,41.72,41.91,41.22,41.7,2997008
2017-09-21 16:00:00,41.75,42.04,41.64,41.86,2697799
2017-09-22 16:00:00,41.77,42.6,41.7,42.55,1836828
2017-09-25 16:00:00,42.17,43.085,42.11,42.7,2517516
2017-09-26 16:00:00,43.0,43.82,42.875,43.76,3274720
2017-09-27 16:00:00,43.98,44.47,43.56,44.17,2577688
2017-09-28 16:00:00,43.95,44.045,43.52,43.84,2198354
2017-09-29 16:00:00,43.7,43.975,43.39,43.76,1881032
2017-10-02 16:00:00,43.89,44.1,43.71,44.0,4222790
2017-10-03 16:00:00,44.07,44.52,43.75,44.39,2906575
2017-10-04 16:00:00,44.19,44.54,44.17,44.46,2876125
2017-10-05 16:00:00,44.28,44.565,44.17,44.55,3263799
2017-10-06 16:00:00,44.34,44.63,44.05,44.43,1885084
2017-10-09 16:00:00,44.42,44.815,44.25,44.37,2039736
2017-10-10 16:00:00,44.36,44.52,43.57,43.66,3931232
2017-10-11 16:00:00,43.54,43.9399,43.29,43.51,1678438
2017-10-12 16:00:00,43.38,43.59,42.99,43.42,3473601
2017-10-13 16:00:00,43.65,44.22,43.615,43.63,1856460
2017-10-16 16:00:00,43.83,43.939,43.65,43.72,1449981
2017-10-17 16:00:00,43.29,44.11,43.29,44.08,1769154
2017-10-18 16:00:00,44.32,44.64,44.08,44.62,2624896
2017-10-19 16:00:00,44.37,44.505,43.91,44.26,2456393
2017-10-20 16:00:00,44.57,45.03,44.39,44.56,2559733
2017-10-23 16:00:00,44.92,45.14,44.66,44.74,2719790
2017-10-24 16:00:00,44.7,45.03,44.65,44.82,2506358
2017-10-25 16:00:00,44.66,44.66,43.665,43.71,3448476
2017-10-26 16:00:00,43.92,44.675,43.82,44.42,1834497
2017-10-27 16:00:00,44.52,44.52,43.86,44.01,1870120
2017-10-30 16:00:00,43.74,43.95,43.24,43.52,2063095
2017-10-31 16:00:00,43.71,44.57,43.56,44.42,2485591
2017-11-01 16:00:00,44.74,44.9,44.4,44.53,1940604
2017-11-02 16:00:00,44.55,44.605,43.94,44.25,2112167
2017-11-03 16:00:00,44.39,44.485,43.91,44.24,2057754
2017-11-06 16:00:00,44.07,45.12,44.02,45.0,2541324
2017-11-07 16:00:00,45.0,45.07,44.41,44.65,1940497
2017-11-08 16:00:00,44.64,45.5,44.48,45.33,1567273
2017-11-09 16:00:00,46.15,47.2,45.93,46.3,3625846
2017-11-10 16:00:00,46.19,46.7,46.1,46.34,1649261
2017-11-13 16:00:00,46.21,46.62,45.93,46.0,2328686
2017-11-14 16:00:00,45.95,46.14,45.59,45.62,2253843
2017-11-15 16:00:00,45.45,46.09,45.24,45.82,4393527
2017-11-16 16:00:00,51.41,53.89,51.31,53.11,12874287
2017-11-17 16:00:00,53.03,54.72,52.5,52.95,5664483
2017-11-20 16:00:00,52.5,54.81,52.46,54.73,4374145
2017-11-21 16:00:00,54.55,55.5,54.44,55.08,3462210
2017-11-22 16:00:00,55.0,56.1,54.69,56.05,2746796
2017-11-24 13:00:00,56.1,56.55,56.0,56.41,1533554
2017-11-27 16:00:00,56.0,56.32,55.205,56.23,2918880
2017-11-28 16:00:00,56.15,56.91,56.08,56.8,2517501
2017-11-29 16:00:00,56.67,57.18,56.08,56.23,2632356
2017-11-30 16:00:00,56.79,57.75,56.5,56.51,4428750
2017-12-01 16:00:00,55.59,56.51,54.93,56.41,4081015
2017-12-04 16:00:00,56.72,58.11,55.92,55.93,4292174
2017-12-05 16:00:00,55.97,56.56,55.62,56.14,2621867
2017-12-06 16:00:00,56.14,57.275,55.92,57.21,3169522
2017-12-07 16:00:00,57.21,57.82,56.72,57.53,2905658
2017-12-08 16:00:00,57.9,58.63,57.475,58.26,3439181
2017-12-11 16:00:00,58.09,58.99,58.0,58.58,2874037
2017-12-12 16:00:00,58.67,58.82,57.76,57.8,2647291
2017-12-13 16:00:00,57.95,58.32,57.71,57.78,2974164
