,Open,High,Low,Close,Volume
2017-09-14 16:00:00,87.95,88.42,87.62,87.81,1507090
2017-09-15 16:00:00,87.74,88.48,87.36,87.96,1338815
2017-09-18 16:00:00,88.31,88.93,88.03,88.54,1001428
2017-09-19 16:00:00,88.77,89.06,88.3401,88.58,1026149
2017-09-20 16:00:00,88.87,89.96,88.3,89.68,1053293
2017-09-21 16:00:00,89.48,90.955,89.41,90.84,1325708
2017-09-22 16:00:00,90.44,91.04,90.12,90.42,695338
2017-09-25 16:00:00,90.18,90.35,88.89,89.39,868705
2017-09-26 16:00:00,89.42,90.33,89.05,89.87,1179768
2017-09-27 16:00:00,90.77,92.24,90.77,91.68,1073537
2017-09-28 16:00:00,91.82,92.02,91.28,91.93,573353
2017-09-29 16:00:00,92.0,92.64,91.62,91.93,545253
2017-10-02 16:00:00,91.81,92.62,91.57,92.5,805605
2017-10-03 16:00:00,92.4,92.43,91.44,92.39,1140507
2017-10-04 16:00:00,92.23,92.62,91.61,91.66,764224
2017-10-05 16:00:00,91.86,93.35,91.75,92.97,744851
2017-10-06 16:00:00,92.98,94.01,92.43,93.27,1995336
2017-10-09 16:00:00,93.3,93.4124,92.32,92.65,685981
2017-10-10 16:00:00,93.05,93.64,92.58,93.27,771492
2017-10-11 16:00:00,93.12,93.84,92.61,93.73,945478
2017-10-12 16:00:00,93.95,94.48,93.265,93.35,923946
2017-10-13 16:00:00,93.1,93.61,92.19,92.99,1126563
2017-10-16 16:00:00,93.01,93.23,91.56,91.92,1747359
2017-10-17 16:00:00,92.01,92.25,91.06,91.1,2755848
2017-10-18 16:00:00,95.0,96.41,92.06,94.58,5225122
2017-10-19 16:00:00,94.49,96.09,93.96,94.98,1719505
2017-10-20 16:00:00,95.93,96.2,95.035,95.27,1579078
2017-10-23 16:00:00,95.53,95.95,94.63,95.41,985336
2017-10-24 16:00:00,95.85,96.85,95.42,96.45,1114380
2017-10-25 16:00:00,96.58,97.11,93.47,94.76,1310942
2017-10-26 16:00:00,95.07,96.22,93.01,95.52,954524
2017-10-27 16:00:00,95.39,95.74,94.57,94.71,1101317
2017-10-30 16:00:00,94.05,95.37,93.72,94.65,818469
2017-10-31 16:00:00,94.44,94.78,93.38,93.52,960568
2017-11-01 16:00:00,93.93,94.65,93.38,93.41,859631
2017-11-02 16:00:00,93.24,94.54,93.2,94.01,1417995
2017-11-03 16:00:00,93.88,94.54,93.41,94.39,1074724
2017-11-06 16:00:00,94.0,94.56,94.0,94.22,607869
2017-11-07 16:00:00,94.18,94.72,92.28,92.41,752699
2017-11-08 16:00:00,92.47,93.27,91.85,92.87,829125
2017-11-09 16:00:00,92.31,93.13,91.2,92.16,550037
2017-11-10 16:00:00,92.08,93.08,91.67,92.51,852545
2017-11-13 16:00:00,91.58,92.66,91.46,92.46,878945
2017-11-14 16:00:00,92.25,92.91,91.98,92.64,891323
2017-11-15 16:00:00,92.04,93.54,91.68,93.28,1001930
2017-11-16 16:00:00,93.47,94.67,93.23,93.71,1026092
2017-11-17 16:00:00,93.27,94.645,93.26,94.07,1067158
2017-11-20 16:00:00,94.46,94.58,93.9,94.43,613359
2017-11-21 16:00:00,94.52,94.93,94.06,94.46,954020
2017-11-22 16:00:00,94.57,95.1,94.37,94.39,482419
2017-11-24 13:00:00,94.79,94.93,93.85,94.26,272879
2017-11-27 16:00:00,94.19,95.16,93.88,94.11,728178
2017-11-28 16:00:00,94.37,96.37,94.08,96.29,1083292
2017-11-29 16:00:00,96.98,98.98,96.7,98.24,1278320
2017-11-30 16:00:00,98.26,99.07,97.47,97.78,1343649
2017-12-01 16:00:00,98.13,98.46,95.62,97.66,1243946
2017-12-04 16:00:00,98.71,99.66,98.09,98.95,1011432
2017-12-05 16:00:00,99.42,99.42,96.38,96.95,1164698
2017-12-06 16:00:00,96.77,97.26,96.26,96.5,627220
2017-12-07 16:00:00,96.12,97.57,95.94,97.32,705378
2017-12-08 16:00:00,97.68,97.9,96.96,97.73,646986
2017-12-11 16:00:00,97.93,98.335,97.21,97.56,863235
2017-12-12 16:00:00,97.58,99.26,97.49,98.55,1123635
2017-12-13 16:00:00,98.67,99.05,97.38,97.48,1064354
