,Open,High,Low,Close,Volume
2017-10-25 16:00:00,59.63,59.72,58.89,58.99,2926023
2017-10-26 16:00:00,59.31,59.805,58.84,59.73,2461470
2017-10-27 16:00:00,59.13,59.87,58.83,59.49,2455723
2017-10-30 16:00:00,59.04,59.17,58.41,58.47,2581785
2017-10-31 16:00:00,58.04,58.49,57.72,57.83,3763749
2017-11-01 16:00:00,58.68,59.96,58.46,58.8,2238112
2017-11-02 16:00:00,58.86,59.11,58.21,58.45,1471198
2017-11-03 16:00:00,58.52,58.52,57.665,58.0,1955711
2017-11-06 16:00:00,58.3,58.77,57.87,57.98,1486031
2017-11-07 16:00:00,57.85,57.96,57.4,57.69,1162978
2017-11-08 16:00:00,57.51,57.85,57.08,57.7,1284799
2017-11-09 16:00:00,57.09,57.17,56.35,56.52,1954392
2017-11-10 16:00:00,56.73,56.86,55.375,55.83,2552067
2017-11-13 16:00:00,55.37,56.03,55.096,55.7,1836601
2017-11-14 16:00:00,55.38,55.49,54.4,54.86,1815627
2017-11-15 16:00:00,54.28,55.17,53.71,54.94,2428673
2017-11-16 16:00:00,55.3,55.35,54.4,54.79,1650511
2017-11-17 16:00:00,54.5,55.085,54.32,54.8,1405760
2017-11-20 16:00:00,54.74,55.63,54.6,55.56,1517836
2017-11-21 16:00:00,55.73,56.23,55.68,55.98,1434840
2017-11-22 16:00:00,56.19,56.61,55.9984,56.15,995236
2017-11-24 13:00:00,56.44,56.6,55.84,55.93,421158
