,Open,High,Low,Close,Volume
2017-10-25 16:00:00,197.08,199.22,191.17,193.66,20704030
2017-10-26 16:00:00,194.78,196.16,193.81,195.69,8068563
2017-10-27 16:00:00,197.8,201.87,196.75,201.86,14304835
2017-10-30 16:00:00,201.86,206.0899,201.22,203.84,12601417
2017-10-31 16:00:00,205.13,207.89,204.9,206.81,10297707
2017-11-01 16:00:00,209.35,209.97,204.6,207.2,12564446
2017-11-02 16:00:00,206.0,207.81,203.65,205.94,8557738
2017-11-03 16:00:00,207.2,208.69,205.341,208.69,8841024
2017-11-06 16:00:00,207.2,209.98,206.7,209.63,9748616
2017-11-07 16:00:00,210.55,212.9,210.0556,212.03,10692542
2017-11-08 16:00:00,211.85,212.0,207.2401,209.16,13074705
2017-11-09 16:00:00,205.27,206.33,200.37,205.32,24464067
2017-11-10 16:00:00,213.08,218.67,211.63,216.14,31331374
2017-11-13 16:00:00,216.14,217.17,212.01,212.63,14559413
2017-11-14 16:00:00,213.0,214.8,211.23,214.18,13232319
2017-11-15 16:00:00,211.95,212.0,207.8,209.98,12548731
2017-11-16 16:00:00,212.98,214.2,211.25,211.61,11044183
2017-11-17 16:00:00,213.92,215.35,210.75,211.36,12891568
2017-11-20 16:00:00,211.99,214.57,210.5,214.08,9902511
2017-11-21 16:00:00,215.69,216.52,214.4,216.05,9979358
2017-11-22 16:00:00,217.0,217.0,213.61,214.93,8915998
2017-11-24 13:00:00,215.59,217.0,214.6,216.96,4518800
