,Open,High,Low,Close,Volume
2017-09-14 16:00:00,44.16,44.23,43.22,43.27,5200707
2017-09-15 16:00:00,43.13,43.375,42.81,43.2,7608237
2017-09-18 16:00:00,43.19,43.255,42.53,42.99,4595376
2017-09-19 16:00:00,43.0,43.1348,42.395,42.67,5311632
2017-09-20 16:00:00,42.67,42.8,42.25,42.4,3791680
2017-09-21 16:00:00,42.4,42.57,41.47,41.48,5772892
2017-09-22 16:00:00,41.45,41.67,41.25,41.39,4154023
2017-09-25 16:00:00,41.39,41.67,40.88,40.96,5340108
2017-09-26 16:00:00,41.15,41.75,41.1,41.24,5635057
2017-09-27 16:00:00,41.41,42.1,41.29,41.58,4470483
2017-09-28 16:00:00,41.66,42.0,41.45,41.95,6794854
2017-09-29 16:00:00,41.85,42.685,41.77,42.67,5287868
2017-10-02 16:00:00,42.7,43.28,42.695,42.93,6239219
2017-10-03 16:00:00,42.9,43.16,42.5,43.1,4441144
2017-10-04 16:00:00,43.05,43.27,42.87,43.27,4370782
2017-10-05 16:00:00,43.24,43.83,42.9072,43.8,5915959
2017-10-06 16:00:00,43.69,43.99,43.54,43.9,5990681
2017-10-09 16:00:00,43.91,43.98,42.93,43.0,3997092
2017-10-10 16:00:00,43.05,43.46,42.58,42.69,3523562
2017-10-11 16:00:00,42.6,42.63,42.23,42.25,356782
2017-10-12 16:00:00,42.98,42.99,42.34,42.78,4166192
2017-10-13 16:00:00,42.86,43.13,42.48,43.1,3366376
2017-10-16 16:00:00,42.96,43.08,42.66,42.75,2794796
2017-10-17 16:00:00,42.49,42.52,41.83,41.94,4029711
2017-10-18 16:00:00,41.95,42.0,41.19,41.21,4700910
2017-10-19 16:00:00,41.06,41.17,40.4445,40.59,6905921
2017-10-20 16:00:00,40.62,40.77,40.265,40.37,5346929
2017-10-23 16:00:00,40.45,40.62,39.985,40.16,4460403
2017-10-24 16:00:00,40.42,40.49,40.04,40.39,3006914
2017-10-25 16:00:00,40.51,40.59,39.9,40.28,3232715
2017-10-26 16:00:00,40.56,40.65,40.2519,40.4,2664262
2017-10-27 16:00:00,40.49,40.49,39.575,40.0,6239024
2017-10-30 16:00:00,40.04,40.54,39.91,40.46,4253205
2017-10-31 16:00:00,40.46,40.98,40.28,40.78,6100037
2017-11-01 16:00:00,40.89,41.31,40.71,41.0,8572128
2017-11-02 16:00:00,32.5,33.2,29.7,30.01,47531743
2017-11-03 16:00:00,30.2,32.37,30.11,30.77,18719675
2017-11-06 16:00:00,30.66,31.14,29.92,30.82,11288807
2017-11-07 16:00:00,30.69,30.7199,30.0,30.65,9423380
2017-11-08 16:00:00,30.87,31.54,30.65,31.41,9339621
2017-11-09 16:00:00,30.97,31.22,29.905,30.1,7800512
2017-11-10 16:00:00,30.01,30.066,29.22,29.3,11955612
2017-11-13 16:00:00,29.08,29.29,28.11,28.47,13274443
2017-11-14 16:00:00,28.5,28.585,27.9,28.04,6680385
2017-11-15 16:00:00,27.9,28.58,27.455,28.01,9083873
2017-11-16 16:00:00,28.1,28.33,27.825,28.18,7637085
2017-11-17 16:00:00,28.15,28.705,27.99,28.56,5645489
2017-11-20 16:00:00,28.56,29.07,28.15,28.82,7668400
2017-11-21 16:00:00,28.77,28.87,27.87,27.97,8910566
2017-11-22 16:00:00,27.96,28.45,27.78,28.2,6194681
2017-11-24 13:00:00,28.33,28.55,28.0664,28.37,2773233
2017-11-27 16:00:00,28.36,29.81,28.29,29.79,9351200
2017-11-28 16:00:00,29.75,30.89,29.49,30.78,15361225
2017-11-29 16:00:00,30.39,31.31,30.3,30.51,5891050
2017-11-30 16:00:00,30.51,31.05,30.495,30.97,9718417
2017-12-01 16:00:00,30.9,31.74,30.611,31.51,9404472
2017-12-04 16:00:00,31.82,32.285,31.5,31.81,9309064
2017-12-05 16:00:00,31.85,32.03,31.42,31.78,6587212
2017-12-06 16:00:00,31.7,32.09,31.6,31.79,6442306
2017-12-07 16:00:00,31.8,32.0924,30.76,30.81,6037088
2017-12-08 16:00:00,30.96,31.15,30.57,30.96,4591714
2017-12-11 16:00:00,30.895,31.38,30.74,30.92,5511839
2017-12-12 16:00:00,31.16,31.57,30.88,31.16,4587083
2017-12-13 16:00:00,31.18,31.66,31.07,31.4,3962945
