,Open,High,Low,Close,Volume
2017-09-14 16:00:00,13.3,13.45,13.2,13.35,867963
2017-09-15 16:00:00,13.25,13.55,13.25,13.45,1298426
2017-09-18 16:00:00,13.5,13.55,13.35,13.45,431355
2017-09-19 16:00:00,13.45,13.5,13.3,13.5,598523
2017-09-20 16:00:00,13.5,13.6,13.45,13.6,642067
2017-09-21 16:00:00,13.5,13.575,13.35,13.45,540222
2017-09-22 16:00:00,13.4,13.5,13.325,13.4,179190
2017-09-25 16:00:00,13.45,13.6,13.35,13.6,328343
2017-09-26 16:00:00,13.6,13.6,13.35,13.4,719482
2017-09-27 16:00:00,13.35,13.65,13.35,13.55,441484
2017-09-28 16:00:00,13.5,13.8,13.4,13.65,1023333
2017-09-29 16:00:00,13.6,13.65,13.5,13.65,360188
2017-10-02 16:00:00,13.65,13.75,13.55,13.7,357402
2017-10-03 16:00:00,13.7,13.8,13.55,13.7,281812
2017-10-04 16:00:00,13.7,13.8,13.6,13.7,287172
2017-10-05 16:00:00,13.7,13.8,13.625,13.7,492436
2017-10-06 16:00:00,13.65,13.725,13.55,13.65,285315
2017-10-09 16:00:00,13.65,13.65,13.5,13.55,136621
2017-10-10 16:00:00,13.65,13.85,13.6,13.85,806450
2017-10-11 16:00:00,13.8,13.8,13.65,13.75,291175
2017-10-12 16:00:00,13.7,13.9,13.7,13.85,208326
2017-10-13 16:00:00,13.95,14.075,13.8,14.05,204183
2017-10-16 16:00:00,14.0,14.1,13.9,14.05,268347
2017-10-17 16:00:00,14.0,14.0,13.85,13.95,156977
2017-10-18 16:00:00,13.95,14.1,13.9,14.1,568611
2017-10-19 16:00:00,14.0,14.0,13.85,13.9,202149
2017-10-20 16:00:00,14.05,14.1,13.95,14.1,457273
2017-10-23 16:00:00,14.05,14.1,13.95,14.0,286395
2017-10-24 16:00:00,13.95,14.05,13.9,13.95,544127
2017-10-25 16:00:00,13.95,14.05,13.8,14.0,439497
2017-10-26 16:00:00,14.0,14.15,13.925,14.0,474823
2017-10-27 16:00:00,14.0,14.05,13.8,13.95,545628
2017-10-30 16:00:00,13.95,14.15,13.9,14.15,245792
2017-10-31 16:00:00,14.1,14.1,13.9,13.9,267381
2017-11-01 16:00:00,14.0,14.2,13.9,14.05,447303
2017-11-02 16:00:00,14.0,14.15,13.85,14.05,475751
2017-11-03 16:00:00,14.05,14.2,14.0,14.2,299757
2017-11-06 16:00:00,14.15,14.6,14.15,14.55,346979
2017-11-07 16:00:00,14.5,14.8,14.375,14.4,372433
2017-11-08 16:00:00,14.4,14.5,14.3,14.45,371568
2017-11-09 16:00:00,14.4,14.85,14.35,14.75,525495
2017-11-10 16:00:00,15.15,16.2,14.9,15.55,935985
2017-11-13 16:00:00,15.5,15.75,15.3,15.6,490994
2017-11-14 16:00:00,15.5,15.8,15.35,15.55,396137
2017-11-15 16:00:00,15.6,15.6,15.425,15.55,340181
2017-11-16 16:00:00,15.6,16.05,15.5,16.0,384162
2017-11-17 16:00:00,15.95,16.275,15.9,16.2,1217845
2017-11-20 16:00:00,16.15,16.15,15.875,15.95,1028572
2017-11-21 16:00:00,15.95,16.05,15.875,15.95,2830108
2017-11-22 16:00:00,16.0,16.0,15.85,15.9,1876386
2017-11-24 13:00:00,15.95,16.0,15.7815,15.9,197437
2017-11-27 16:00:00,16.0,16.0,15.85,15.95,666769
2017-11-28 16:00:00,15.85,16.35,15.85,16.35,795416
2017-11-29 16:00:00,16.2,16.575,16.2,16.45,966045
2017-11-30 16:00:00,16.3,16.6,16.25,16.4,912075
2017-12-01 16:00:00,16.5,16.5,16.05,16.45,765111
2017-12-04 16:00:00,16.45,17.05,16.35,16.75,1106593
2017-12-05 16:00:00,16.8,16.825,16.375,16.55,901542
2017-12-06 16:00:00,16.6,16.675,16.4,16.55,478367
2017-12-07 16:00:00,16.6,16.6,16.45,16.55,266495
2017-12-08 16:00:00,16.6,16.8,16.55,16.8,717514
2017-12-11 16:00:00,16.9,17.0,16.75,16.9,3117325
2017-12-12 16:00:00,17.0,17.0,16.45,16.55,563620
2017-12-13 16:00:00,16.55,16.65,16.4,16.5,839886
