,Open,High,Low,Close,Volume
2017-09-14 16:00:00,13.0,13.09,12.96,13.05,1776824
2017-09-15 16:00:00,13.05,13.16,12.94,13.09,2914374
2017-09-18 16:00:00,13.14,13.22,12.98,13.09,1811618
2017-09-19 16:00:00,13.1,13.16,12.96,13.05,1779236
2017-09-20 16:00:00,13.1,13.21,13.03,13.17,1475723
2017-09-21 16:00:00,13.16,13.19,13.02,13.08,1730042
2017-09-22 16:00:00,13.02,13.12,12.985,13.03,1098022
2017-09-25 16:00:00,13.05,13.225,13.01,13.2,1404823
2017-09-26 16:00:00,13.23,13.23,13.07,13.11,1158262
2017-09-27 16:00:00,13.13,13.3,13.07,13.26,1323722
2017-09-28 16:00:00,13.21,13.35,13.12,13.26,2190078
2017-09-29 16:00:00,13.22,13.26,13.16,13.26,939760
2017-10-02 16:00:00,13.29,13.37,13.19,13.28,1641062
2017-10-03 16:00:00,13.29,13.43,13.24,13.37,1592901
2017-10-04 16:00:00,13.38,13.42,13.3,13.36,903145
2017-10-05 16:00:00,13.41,13.46,13.33,13.43,1174869
2017-10-06 16:00:00,13.41,13.44,13.23,13.29,1654619
2017-10-09 16:00:00,13.27,13.29,13.14,13.18,817035
2017-10-10 16:00:00,13.26,13.55,13.25,13.5,2190169
2017-10-11 16:00:00,13.46,13.5,13.35,13.48,1167236
2017-10-12 16:00:00,13.46,13.575,13.37,13.54,1768869
2017-10-13 16:00:00,13.61,13.74,13.52,13.68,1440919
2017-10-16 16:00:00,13.68,13.76,13.61,13.68,1704615
2017-10-17 16:00:00,13.64,13.69,13.57,13.62,1285096
2017-10-18 16:00:00,13.62,13.77,13.61,13.73,1219200
2017-10-19 16:00:00,13.65,13.71,13.55,13.62,1846326
2017-10-20 16:00:00,13.69,13.78,13.66,13.71,1318229
2017-10-23 16:00:00,13.72,13.765,13.665,13.75,1012706
2017-10-24 16:00:00,13.75,13.78,13.57,13.63,1497139
2017-10-25 16:00:00,13.62,13.71,13.52,13.66,1272026
2017-10-26 16:00:00,13.69,13.82,13.62,13.68,1756657
2017-10-27 16:00:00,13.66,13.73,13.49,13.69,1577961
2017-10-30 16:00:00,13.68,13.83,13.64,13.81,1394458
2017-10-31 16:00:00,13.83,13.83,13.625,13.66,1665480
2017-11-01 16:00:00,13.73,13.8652,13.61,13.71,1900437
2017-11-02 16:00:00,13.67,13.83,13.58,13.8,1696441
2017-11-03 16:00:00,13.76,13.87,13.7,13.87,2278455
2017-11-06 16:00:00,13.89,14.28,13.84,14.28,4244384
2017-11-07 16:00:00,14.21,14.525,14.09,14.15,2639621
2017-11-08 16:00:00,14.08,14.15,14.0125,14.14,1389368
2017-11-09 16:00:00,14.13,14.56,14.07,14.36,2515858
2017-11-10 16:00:00,14.66,15.79,14.59,15.1,5305841
2017-11-13 16:00:00,15.1,15.41,15.0,15.23,2704202
2017-11-14 16:00:00,15.17,15.5,15.11,15.27,3283552
2017-11-15 16:00:00,15.23,15.28,15.1001,15.19,1929390
2017-11-16 16:00:00,15.18,15.73,15.15,15.72,2648250
2017-11-17 16:00:00,15.69,15.93,15.59,15.84,2524668
2017-11-20 16:00:00,15.83,15.83,15.62,15.67,2456257
2017-11-21 16:00:00,15.74,15.82,15.67,15.79,2537961
2017-11-22 16:00:00,15.82,15.87,15.755,15.77,2121244
2017-11-24 13:00:00,15.82,15.82,15.7,15.77,845567
2017-11-27 16:00:00,15.76,15.81,15.65,15.74,2445495
2017-11-28 16:00:00,15.8,16.16,15.73,16.15,3296335
2017-11-29 16:00:00,16.1,16.43,16.1,16.35,2313983
2017-11-30 16:00:00,16.4,16.42,16.1,16.16,3442140
2017-12-01 16:00:00,16.24,16.32,15.89,16.2,3096017
2017-12-04 16:00:00,16.26,16.87,16.2,16.54,3560208
2017-12-05 16:00:00,16.59,16.65,16.27,16.4,2584657
2017-12-06 16:00:00,16.4,16.52,16.235,16.39,3525389
2017-12-07 16:00:00,16.38,16.39,16.25,16.36,2694164
2017-12-08 16:00:00,16.42,16.56,16.36,16.55,2012219
2017-12-11 16:00:00,16.56,16.75,16.5,16.59,3381963
2017-12-12 16:00:00,16.61,16.62,16.14,16.22,2410057
2017-12-13 16:00:00,16.27,16.33,16.17,16.28,3082983
