,Open,High,Low,Close,Volume
2017-09-14 16:00:00,73.54,73.59,72.8,73.29,1401128
2017-09-15 16:00:00,73.29,73.46,72.1,73.04,2918201
2017-09-18 16:00:00,73.05,73.53,72.37,72.7,1754326
2017-09-19 16:00:00,72.73,72.86,72.335,72.75,1251288
2017-09-20 16:00:00,72.94,74.43,72.94,74.36,2297225
2017-09-21 16:00:00,73.67,75.21,73.67,74.23,2043537
2017-09-22 16:00:00,74.31,75.09,74.09,75.0,1482939
2017-09-25 16:00:00,74.9,75.9,74.79,75.87,2427077
2017-09-26 16:00:00,75.95,76.67,75.04,75.13,1734162
2017-09-27 16:00:00,75.27,75.64,74.48,75.43,1735855
2017-09-28 16:00:00,75.02,75.23,74.04,74.24,2019578
2017-09-29 16:00:00,74.24,74.29,73.26,74.07,2541482
2017-10-02 16:00:00,74.21,75.59,73.48,75.54,1836388
2017-10-03 16:00:00,75.4,75.48,74.48,74.7,1993187
2017-10-04 16:00:00,75.32,76.49,75.07,75.82,1816004
2017-10-05 16:00:00,75.7,76.4509,75.6,76.37,1638810
2017-10-06 16:00:00,76.19,76.495,75.24,75.42,1571625
2017-10-09 16:00:00,75.44,75.64,74.53,74.67,1142965
2017-10-10 16:00:00,74.9,75.43,74.34,74.45,1307729
2017-10-11 16:00:00,74.26,74.53,73.9,74.28,149376
2017-10-12 16:00:00,74.3,74.84,73.94,74.36,2138099
2017-10-13 16:00:00,74.64,75.56,74.05,75.14,1637316
2017-10-16 16:00:00,74.17,74.97,73.0,73.93,3901466
2017-10-17 16:00:00,76.409,78.7,74.96,75.59,5737431
2017-10-18 16:00:00,75.81,76.32,74.65,75.45,2558482
2017-10-19 16:00:00,74.55,74.71,72.42,72.96,3467306
2017-10-20 16:00:00,73.22,74.25,72.72,73.69,3496302
2017-10-23 16:00:00,73.93,74.23,72.84,73.01,1891679
2017-10-24 16:00:00,70.79,72.0,70.46,70.92,3699682
2017-10-25 16:00:00,70.99,71.27,69.42,69.81,3710078
2017-10-26 16:00:00,70.11,71.39,69.75,70.36,2754733
2017-10-27 16:00:00,70.28,70.57,68.0,68.56,3712329
2017-10-30 16:00:00,68.34,68.45,67.2501,67.52,2215020
2017-10-31 16:00:00,69.25,69.25,67.17,67.19,3080984
2017-11-01 16:00:00,67.68,68.715,67.37,67.63,2368442
2017-11-02 16:00:00,67.65,67.86,65.94,66.19,2618807
2017-11-03 16:00:00,66.17,67.04,65.55,66.21,1820559
2017-11-06 16:00:00,66.08,66.93,66.08,66.55,1925022
2017-11-07 16:00:00,66.5,66.83,65.45,65.52,1489473
2017-11-08 16:00:00,65.62,65.94,65.32,65.6,1377608
2017-11-09 16:00:00,65.44,68.0575,65.32,67.28,3915921
2017-11-10 16:00:00,67.08,67.869,67.0,67.55,2340268
2017-11-13 16:00:00,67.35,67.93,67.14,67.92,2348809
2017-11-14 16:00:00,67.44,68.42,67.28,67.66,1895823
2017-11-15 16:00:00,67.32,67.41,66.761,67.15,1875457
2017-11-16 16:00:00,67.09,67.63,66.91,67.45,2517201
2017-11-17 16:00:00,67.34,69.56,67.3,69.44,4790330
2017-11-20 16:00:00,68.97,69.895,68.52,69.62,2908559
2017-11-21 16:00:00,69.76,70.37,69.46,69.54,2501884
2017-11-22 16:00:00,69.43,69.64,68.79,68.87,1196937
2017-11-24 13:00:00,68.92,69.4,68.71,68.97,512139
2017-11-27 16:00:00,69.0,69.33,68.66,68.84,1652063
2017-11-28 16:00:00,68.81,70.74,68.8,70.65,2463580
2017-11-29 16:00:00,70.65,74.97,70.52,72.93,5611303
2017-11-30 16:00:00,72.85,73.76,71.06,71.44,3573094
2017-12-01 16:00:00,71.57,73.45,70.64,73.38,2642078
2017-12-04 16:00:00,74.02,76.09,74.02,74.7,4181204
2017-12-05 16:00:00,75.42,76.48,74.15,75.31,3735591
2017-12-06 16:00:00,74.4864,75.88,74.31,74.47,2495585
2017-12-07 16:00:00,74.39,74.78,72.95,73.09,3133609
2017-12-08 16:00:00,73.32,73.65,72.82,73.48,3271961
2017-12-11 16:00:00,73.95,75.18,73.4801,74.44,2570642
2017-12-12 16:00:00,74.51,74.88,73.7,74.51,1922110
2017-12-13 16:00:00,73.84,74.66,73.41,73.71,2019357
