,Open,High,Low,Close,Volume
2017-09-14 16:00:00,207.11,209.24,206.43,207.13,1167887
2017-09-15 16:00:00,207.34,212.09,206.1,209.86,1968747
2017-09-18 16:00:00,210.21,211.35,208.34,210.08,1366132
2017-09-19 16:00:00,213.13,216.61,201.054,202.91,2612163
2017-09-20 16:00:00,202.25,206.84,201.65,203.26,1125400
2017-09-21 16:00:00,204.17,205.6699,200.27,202.26,1165509
2017-09-22 16:00:00,202.67,209.82,202.58,209.59,1027152
2017-09-25 16:00:00,209.71,219.98,209.46,215.15,1814104
2017-09-26 16:00:00,216.58,216.58,212.46,212.95,851864
2017-09-27 16:00:00,213.02,214.99,211.92,214.51,777094
2017-09-28 16:00:00,213.6,215.63,212.49,215.28,575245
2017-09-29 16:00:00,215.09,216.58,214.22,215.37,730680
2017-10-02 16:00:00,215.98,215.98,214.14,215.4,587642
2017-10-03 16:00:00,215.23,216.26,213.345,213.95,592572
2017-10-04 16:00:00,213.94,215.65,209.89,212.16,681080
2017-10-05 16:00:00,212.79,212.95,209.93,211.18,813794
2017-10-06 16:00:00,211.32,214.27,208.6436,212.94,730343
2017-10-09 16:00:00,212.41,213.01,207.71,207.82,637684
2017-10-10 16:00:00,207.82,212.25,207.82,209.87,731347
2017-10-11 16:00:00,209.32,210.58,207.34,208.42,500335
2017-10-12 16:00:00,208.99,208.99,205.4688,207.01,707092
2017-10-13 16:00:00,207.76,210.25,206.89,209.72,915483
2017-10-16 16:00:00,209.55,211.09,208.4,209.02,656490
2017-10-17 16:00:00,208.6,213.23,208.21,212.01,776269
2017-10-18 16:00:00,212.35,214.0,210.95,212.99,1044566
2017-10-19 16:00:00,209.8,209.99,205.9,209.3,1734596
2017-10-20 16:00:00,209.65,210.42,205.4696,205.9,1292003
2017-10-23 16:00:00,205.8,208.92,205.06,205.65,979166
2017-10-24 16:00:00,204.48,207.38,201.1,203.33,1250009
2017-10-25 16:00:00,201.58,204.715,201.08,202.72,1652560
2017-10-26 16:00:00,192.0,215.82,190.0,214.0,4258925
2017-10-27 16:00:00,212.29,217.91,209.37,217.04,1513849
2017-10-30 16:00:00,216.88,216.88,212.92,213.79,831780
2017-10-31 16:00:00,213.91,215.02,210.53,210.95,864475
2017-11-01 16:00:00,211.24,212.719,205.65,207.56,972142
2017-11-02 16:00:00,207.5,214.79,207.5,214.52,1076948
2017-11-03 16:00:00,211.69,213.64,210.52,212.5,1196532
2017-11-06 16:00:00,211.57,212.22,208.45,208.86,705571
2017-11-07 16:00:00,208.62,209.97,206.545,208.11,618506
2017-11-08 16:00:00,208.36,212.0,207.84,209.65,740499
2017-11-09 16:00:00,209.11,211.95,207.31,211.09,618606
2017-11-10 16:00:00,210.57,215.48,210.04,214.43,851071
2017-11-13 16:00:00,214.16,216.99,212.28,214.17,734615
2017-11-14 16:00:00,220.0,223.38,215.1,215.89,1116214
2017-11-15 16:00:00,215.21,216.67,213.72,215.77,588463
2017-11-16 16:00:00,215.89,219.94,215.02,219.66,675281
2017-11-17 16:00:00,219.83,221.31,216.1,220.49,756453
2017-11-20 16:00:00,219.91,222.35,218.565,220.38,710059
2017-11-21 16:00:00,220.4,220.47,215.09,215.69,822067
2017-11-22 16:00:00,216.15,220.89,215.1,218.65,580490
2017-11-24 13:00:00,217.19,219.0,215.43,216.26,388601
2017-11-27 16:00:00,217.13,218.81,214.865,216.34,789436
2017-11-28 16:00:00,217.08,228.88,215.86,228.47,1215150
2017-11-29 16:00:00,227.49,241.49,226.25,236.32,2037074
2017-11-30 16:00:00,236.59,241.63,235.64,236.21,1366589
2017-12-01 16:00:00,235.0,237.17,228.34,234.4,838382
2017-12-04 16:00:00,236.02,252.53,235.59,250.39,1990979
2017-12-05 16:00:00,259.35,263.63,246.77,250.21,2115458
2017-12-06 16:00:00,249.53,251.22,245.46,245.83,1000586
2017-12-07 16:00:00,245.0,247.98,243.14,244.86,828045
2017-12-08 16:00:00,246.39,251.38,244.595,251.07,609540
2017-12-11 16:00:00,250.08,250.64,245.37,247.24,724868
2017-12-12 16:00:00,246.23,247.94,244.65,246.86,986163
2017-12-13 16:00:00,251.67,253.45,245.625,245.92,1223054
