,Open,High,Low,Close,Volume
2017-10-25 16:00:00,65.67,66.24,64.92,65.35,6910348
2017-10-26 16:00:00,65.42,65.67,64.38,64.62,4454192
2017-10-27 16:00:00,64.02,65.43,63.65,65.05,5064265
2017-10-30 16:00:00,65.05,65.53,64.82,64.96,4371611
2017-10-31 16:00:00,64.85,65.0,64.28,64.57,5235118
2017-11-01 16:00:00,65.16,65.785,65.07,65.46,6184177
2017-11-02 16:00:00,65.97,68.04,65.82,67.9,7875764
2017-11-03 16:00:00,67.96,68.75,67.18,68.26,6370511
2017-11-06 16:00:00,68.52,68.97,68.42,68.82,3986193
2017-11-07 16:00:00,68.75,69.12,68.58,68.75,3306510
2017-11-08 16:00:00,68.62,68.66,67.79,68.17,4635571
2017-11-09 16:00:00,67.95,68.88,67.92,68.7,2973928
2017-11-10 16:00:00,68.46,68.81,68.05,68.17,3493991
2017-11-13 16:00:00,68.0,68.41,67.78,67.93,3682367
2017-11-14 16:00:00,67.81,67.81,67.04,67.32,4178263
2017-11-15 16:00:00,66.79,67.0769,66.45,66.67,4881537
2017-11-16 16:00:00,66.56,67.46,66.51,67.17,3595945
2017-11-17 16:00:00,67.91,68.79,67.85,68.4,5513692
2017-11-20 16:00:00,68.18,68.29,67.77,67.81,4157569
2017-11-21 16:00:00,68.07,68.285,67.72,67.88,2972635
2017-11-22 16:00:00,68.18,68.41,68.085,68.23,2696090
2017-11-24 13:00:00,68.45,68.64,68.4,68.42,1596187
