,Open,High,Low,Close,Volume
2017-09-14 16:00:00,57.72,57.85,57.2306,57.51,1809871
2017-09-15 16:00:00,57.53,57.95,57.36,57.85,2076263
2017-09-18 16:00:00,57.86,58.13,57.66,58.08,806251
2017-09-19 16:00:00,58.13,58.29,57.91,58.07,1190365
2017-09-20 16:00:00,58.0,58.65,58.0,58.51,1662170
2017-09-21 16:00:00,58.58,58.7,58.09,58.19,1562942
2017-09-22 16:00:00,58.22,59.84,58.22,59.75,2709833
2017-09-25 16:00:00,59.52,60.05,59.5,60.03,2368314
2017-09-26 16:00:00,60.26,60.29,59.77,59.94,1882705
2017-09-27 16:00:00,60.17,60.5,59.995,60.35,1512819
2017-09-28 16:00:00,59.82,60.41,59.82,60.26,1437238
2017-09-29 16:00:00,60.17,60.65,59.86,59.96,2265553
2017-10-02 16:00:00,59.95,60.16,59.34,59.81,4561015
2017-10-03 16:00:00,62.0,62.92,61.02,61.99,7620108
2017-10-04 16:00:00,62.08,63.06,61.95,62.61,3108272
2017-10-05 16:00:00,63.04,63.31,62.4,63.25,2401918
2017-10-06 16:00:00,63.15,63.68,62.9,63.62,3306287
2017-10-09 16:00:00,63.64,64.0,63.52,63.65,2952991
2017-10-10 16:00:00,63.84,64.08,63.34,63.71,2561490
2017-10-11 16:00:00,63.72,63.74,63.26,63.48,2913124
2017-10-12 16:00:00,63.45,64.44,63.3461,64.42,2055148
2017-10-13 16:00:00,64.39,64.75,63.74,63.75,2083678
2017-10-16 16:00:00,63.71,63.89,63.22,63.45,1142926
2017-10-17 16:00:00,63.54,63.63,62.86,62.9,1589165
2017-10-18 16:00:00,62.95,63.37,62.94,63.03,1034982
2017-10-19 16:00:00,62.85,63.6,62.79,63.51,1493486
2017-10-20 16:00:00,63.54,64.11,63.48,64.04,1399401
2017-10-23 16:00:00,64.09,64.58,64.06,64.34,1677747
2017-10-24 16:00:00,64.6,64.66,63.78,63.88,1824251
2017-10-25 16:00:00,63.73,64.11,63.32,64.08,2334582
2017-10-26 16:00:00,64.42,64.84,64.23,64.59,1374508
2017-10-27 16:00:00,64.55,65.62,64.23,65.4,2998491
2017-10-30 16:00:00,65.4,65.54,64.36,64.47,2540847
2017-10-31 16:00:00,64.01,64.11,63.51,63.79,1461324
2017-11-01 16:00:00,63.87,64.28,63.56,64.14,1637049
2017-11-02 16:00:00,64.32,64.67,63.54,64.54,1996251
2017-11-03 16:00:00,64.42,64.43,63.93,63.99,1567073
2017-11-06 16:00:00,63.7,64.07,63.48,64.0,1397210
2017-11-07 16:00:00,64.13,64.38,63.82,64.27,1703784
2017-11-08 16:00:00,64.15,64.6,64.09,64.55,1097236
2017-11-09 16:00:00,64.12,64.9,64.12,64.76,1772638
2017-11-10 16:00:00,64.61,64.67,64.35,64.57,1332699
2017-11-13 16:00:00,64.54,65.245,64.34,65.1,1775127
2017-11-14 16:00:00,64.71,65.54,64.4177,65.37,1576315
2017-11-15 16:00:00,65.34,65.81,64.46,64.58,1839218
2017-11-16 16:00:00,64.87,66.31,64.78,65.64,1755941
2017-11-17 16:00:00,65.43,65.49,64.65,64.92,1741597
2017-11-20 16:00:00,64.98,65.28,64.75,65.18,1326216
2017-11-21 16:00:00,65.28,65.39,65.0,65.12,1529019
2017-11-22 16:00:00,65.21,65.31,64.63,64.68,927428
2017-11-24 13:00:00,64.6,64.89,64.4201,64.69,538856
2017-11-27 16:00:00,64.64,64.86,64.285,64.68,1241476
2017-11-28 16:00:00,64.85,65.8,64.8,65.8,1569283
2017-11-29 16:00:00,65.78,66.93,65.39,66.58,3210563
2017-11-30 16:00:00,66.65,67.88,66.43,67.31,3748120
2017-12-01 16:00:00,66.9,67.26,65.89,66.87,2489536
2017-12-04 16:00:00,67.6,68.56,67.38,67.61,2604423
2017-12-05 16:00:00,67.71,68.52,67.62,67.94,2878026
2017-12-06 16:00:00,68.02,68.67,67.85,68.41,1834719
2017-12-07 16:00:00,68.28,68.75,68.22,68.53,2034830
2017-12-08 16:00:00,68.94,69.14,68.44,69.01,1464073
2017-12-11 16:00:00,68.85,69.26,68.74,69.02,2354561
2017-12-12 16:00:00,68.9,69.13,68.63,68.71,1087579
2017-12-13 16:00:00,68.9,69.12,68.48,68.82,1887585
