,Open,High,Low,Close,Volume
2017-09-14 16:00:00,68.75,69.48,68.73,69.22,1306825
2017-09-15 16:00:00,69.24,69.98,68.72,69.92,2147982
2017-09-18 16:00:00,70.0,71.36,69.88,70.86,2210846
2017-09-19 16:00:00,70.67,71.01,70.31,70.9,1350624
2017-09-20 16:00:00,70.51,71.28,70.4,70.84,1732592
2017-09-21 16:00:00,71.0,71.37,70.68,70.71,1215537
2017-09-22 16:00:00,70.48,71.5,70.48,71.42,1138016
2017-09-25 16:00:00,71.37,72.22,71.24,72.05,1802962
2017-09-26 16:00:00,72.27,72.41,71.8,71.87,997762
2017-09-27 16:00:00,71.99,73.29,71.98,72.69,1679700
2017-09-28 16:00:00,71.93,72.65,71.5,72.37,1120261
2017-09-29 16:00:00,72.5,73.01,72.24,72.34,1143256
2017-10-02 16:00:00,72.24,72.98,72.17,72.92,969275
2017-10-03 16:00:00,73.25,74.19,72.93,73.76,1786301
2017-10-04 16:00:00,74.25,74.66,73.53,74.36,2110973
2017-10-05 16:00:00,74.7,74.79,73.68,74.73,1664682
2017-10-06 16:00:00,74.12,74.2087,72.92,73.28,3993691
2017-10-09 16:00:00,73.5,73.73,72.86,73.3,2041679
2017-10-10 16:00:00,73.56,73.59,73.07,73.42,1655890
2017-10-11 16:00:00,72.88,73.32,72.62,72.86,1866600
2017-10-12 16:00:00,72.56,73.25,72.34,72.93,2732121
2017-10-13 16:00:00,73.02,73.17,72.57,72.69,2620739
2017-10-16 16:00:00,72.9,72.92,72.415,72.71,3034172
2017-10-17 16:00:00,72.7,72.995,72.48,72.7,1918884
2017-10-18 16:00:00,72.67,72.85,72.49,72.6,2842486
2017-10-19 16:00:00,72.49,73.8,72.25,73.77,2678082
2017-10-20 16:00:00,74.17,75.13,73.9,74.92,2192212
2017-10-23 16:00:00,75.0,75.68,74.54,74.65,2596201
2017-10-24 16:00:00,73.8,74.2,68.86,70.38,7505300
2017-10-25 16:00:00,69.9,70.89,69.43,70.23,3705613
2017-10-26 16:00:00,70.79,72.37,70.48,72.08,3563577
2017-10-27 16:00:00,71.17,71.97,71.01,71.87,2364713
2017-10-30 16:00:00,71.37,71.4,70.11,70.45,2082806
2017-10-31 16:00:00,70.65,72.2,70.58,71.73,2760798
2017-11-01 16:00:00,72.37,72.48,70.58,70.98,2085722
2017-11-02 16:00:00,70.87,72.24,70.43,71.96,2193277
2017-11-03 16:00:00,71.84,72.12,70.77,71.32,2312633
2017-11-06 16:00:00,71.44,71.44,70.55,70.61,1498868
2017-11-07 16:00:00,70.56,70.87,70.0401,70.48,1686587
2017-11-08 16:00:00,70.39,70.6,70.01,70.52,989819
2017-11-09 16:00:00,70.0,70.38,69.07,69.42,2316813
2017-11-10 16:00:00,69.09,69.8,68.75,69.59,1007967
2017-11-13 16:00:00,69.1,69.39,68.91,69.32,981515
2017-11-14 16:00:00,68.95,69.24,68.44,68.67,1411279
2017-11-15 16:00:00,68.55,69.0608,67.67,68.19,1904120
2017-11-16 16:00:00,68.35,69.87,68.2,69.7,1642316
2017-11-17 16:00:00,69.0,69.0,66.3301,66.69,5375403
2017-11-20 16:00:00,66.75,67.99,66.69,67.7,2188724
2017-11-21 16:00:00,68.07,68.35,67.61,67.69,1226584
2017-11-22 16:00:00,67.82,68.34,67.7,67.87,1046116
2017-11-24 13:00:00,67.6,68.355,66.69,66.94,948392
2017-11-27 16:00:00,67.03,67.43,66.84,66.9,2504373
2017-11-28 16:00:00,67.5,68.57,66.92,68.53,2970950
2017-11-29 16:00:00,67.43,69.63,67.25,69.01,2261557
2017-11-30 16:00:00,69.04,70.5,68.83,70.33,2358131
2017-12-01 16:00:00,69.79,70.27,68.32,69.65,2765412
2017-12-04 16:00:00,69.98,71.77,69.95,70.27,3671516
2017-12-05 16:00:00,70.27,71.58,69.91,70.17,2761331
2017-12-06 16:00:00,70.28,70.375,69.68,70.12,1965983
2017-12-07 16:00:00,70.21,71.68,69.89,71.22,1842483
2017-12-08 16:00:00,71.69,72.02,71.21,71.97,1569313
2017-12-11 16:00:00,70.68,71.9,70.68,71.74,1853886
2017-12-12 16:00:00,71.81,72.31,71.22,71.91,2479319
2017-12-13 16:00:00,70.8,71.17,69.93,70.1,1590657
