,Open,High,Low,Close,Volume
2017-10-25 16:00:00,56.85,57.14,56.38,56.68,6567926
2017-10-26 16:00:00,56.98,57.34,56.64,56.74,3300517
2017-10-27 16:00:00,56.7,57.28,56.59,57.13,3027845
2017-10-30 16:00:00,57.01,57.57,56.7,57.27,4254354
2017-10-31 16:00:00,57.26,58.38,56.97,57.77,5332023
2017-11-01 16:00:00,57.61,57.68,56.91,57.24,4444625
2017-11-02 16:00:00,57.9,57.9899,55.9,56.65,4879342
2017-11-03 16:00:00,56.68,57.01,56.04,56.8,5250125
2017-11-06 16:00:00,56.5,56.9582,56.23,56.77,3449702
2017-11-07 16:00:00,56.99,57.0,56.19,56.3,4986352
2017-11-08 16:00:00,56.2,56.61,55.68,55.83,6035358
2017-11-09 16:00:00,55.72,56.34,55.45,55.95,4783531
2017-11-10 16:00:00,55.58,57.02,55.5,56.95,5597348
2017-11-13 16:00:00,56.92,57.11,56.48,56.89,5047547
2017-11-14 16:00:00,56.71,56.89,56.25,56.61,6677667
2017-11-15 16:00:00,56.82,56.9,55.54,55.63,5129259
2017-11-16 16:00:00,55.63,55.66,55.13,55.15,5942935
2017-11-17 16:00:00,55.01,55.25,54.0,54.0,7720970
2017-11-20 16:00:00,54.0,54.23,52.65,52.65,8836253
2017-11-21 16:00:00,52.75,54.02,52.46,53.73,10990944
2017-11-22 16:00:00,53.78,54.39,53.43,53.89,4241398
2017-11-24 13:00:00,54.01,54.1,53.82,54.06,1865296
