,Open,High,Low,Close,Volume
2017-09-14 16:00:00,1860.68,1865.35,1840.6102,1845.29,490132
2017-09-15 16:00:00,1845.97,1847.515,1836.01,1843.2,379783
2017-09-18 16:00:00,1846.56,1867.86,1846.15,1854.18,319676
2017-09-19 16:00:00,1859.46,1863.5,1844.6,1859.78,301611
2017-09-20 16:00:00,1861.81,1872.8145,1853.18,1866.21,253864
2017-09-21 16:00:00,1868.72,1876.0,1852.26,1866.35,223359
2017-09-22 16:00:00,1864.59,1874.45,1857.74,1862.13,236085
2017-09-25 16:00:00,1856.13,1861.39,1810.0,1829.55,614705
2017-09-26 16:00:00,1835.45,1843.425,1820.22,1825.92,452741
2017-09-27 16:00:00,1831.53,1834.77,1814.11,1818.99,435509
2017-09-28 16:00:00,1810.21,1824.37,1806.03,1811.69,311620
2017-09-29 16:00:00,1812.53,1839.0,1812.53,1830.82,377517
2017-10-02 16:00:00,1838.6,1874.9499,1838.6,1857.47,432975
2017-10-03 16:00:00,1857.0,1870.0,1857.0,1867.65,286938
2017-10-04 16:00:00,1866.3,1895.0,1862.9333,1888.7,380187
2017-10-05 16:00:00,1894.6,1913.97,1889.01,1909.61,421030
2017-10-06 16:00:00,1909.34,1922.0,1904.01,1918.0,291219
2017-10-09 16:00:00,1920.3,1939.98,1917.041,1926.93,233466
2017-10-10 16:00:00,1938.08,1943.5,1911.9,1916.65,341526
2017-10-11 16:00:00,1916.55,1926.64,1908.0,1920.2,221397
2017-10-12 16:00:00,1920.2,1924.36,1913.46,1918.95,235260
2017-10-13 16:00:00,1932.77,1938.43,1920.02,1929.06,344163
2017-10-16 16:00:00,1940.0,1944.99,1922.5001,1935.55,224996
2017-10-17 16:00:00,1929.01,1938.55,1926.41,1934.53,284992
2017-10-18 16:00:00,1935.69,1961.45,1933.99,1941.87,413042
2017-10-19 16:00:00,1934.02,1943.49,1923.0,1927.86,365519
2017-10-20 16:00:00,1941.78,1946.89,1937.46,1942.11,307539
2017-10-23 16:00:00,1950.0,1959.99,1931.28,1934.55,360930
2017-10-24 16:00:00,1938.39,1946.68,1927.5873,1932.29,342509
2017-10-25 16:00:00,1927.58,1935.71,1913.01,1928.81,248216
2017-10-26 16:00:00,1937.35,1945.0,1931.01,1939.29,378062
2017-10-27 16:00:00,1885.0,1902.52,1869.0,1890.92,903357
2017-10-30 16:00:00,1885.15,1891.815,1863.727,1879.73,477002
2017-10-31 16:00:00,1884.94,1913.52,1870.0,1911.96,419984
2017-11-01 16:00:00,1918.47,1927.73,1910.94,1913.06,379666
2017-11-02 16:00:00,1910.83,1917.5179,1903.69,1911.14,294588
2017-11-03 16:00:00,1914.01,1916.7999,1893.57,1894.49,484990
2017-11-06 16:00:00,1885.55,1904.98,1875.56,1903.0,1021757
2017-11-07 16:00:00,1746.7,1748.0,1638.1,1645.72,3325104
2017-11-08 16:00:00,1650.0,1669.98,1630.56,1661.11,1332403
2017-11-09 16:00:00,1656.93,1707.2198,1640.175,1703.14,1241800
2017-11-10 16:00:00,1700.0,1709.52,1682.69,1697.25,725525
2017-11-13 16:00:00,1688.4,1722.35,1683.275,1722.15,507333
2017-11-14 16:00:00,1710.02,1728.26,1709.98,1719.5,525365
2017-11-15 16:00:00,1715.78,1730.03,1706.025,1726.78,525445
2017-11-16 16:00:00,1735.54,1741.92,1727.455,1731.65,522372
2017-11-17 16:00:00,1731.0,1749.6,1727.34,1747.22,504362
2017-11-20 16:00:00,1750.99,1773.08,1747.88,1754.02,513268
2017-11-21 16:00:00,1766.51,1771.41,1758.0,1766.67,539928
2017-11-22 16:00:00,1771.59,1774.845,1756.025,1759.19,369360
2017-11-24 13:00:00,1758.17,1765.745,1754.38,1758.42,186646
2017-11-27 16:00:00,1760.15,1777.08,1746.39,1763.4,443251
2017-11-28 16:00:00,1763.32,1767.36,1750.11,1752.02,352522
2017-11-29 16:00:00,1753.13,1753.13,1717.97,1734.45,540414
2017-11-30 16:00:00,1740.95,1750.2199,1729.51,1739.71,443703
2017-12-01 16:00:00,1726.8,1736.4899,1704.12,1735.3,397707
2017-12-04 16:00:00,1740.0,1749.82,1721.3,1723.24,502807
2017-12-05 16:00:00,1725.82,1741.07,1721.4401,1724.88,380794
2017-12-06 16:00:00,1716.71,1727.38,1701.895,1719.04,397566
2017-12-07 16:00:00,1705.89,1722.2851,1690.34,1719.62,504233
2017-12-08 16:00:00,1729.6,1739.78,1715.83,1719.84,385822
2017-12-11 16:00:00,1720.71,1733.0,1712.74,1715.52,325691
2017-12-12 16:00:00,1715.0,1733.4,1713.54,1723.72,457244
2017-12-13 16:00:00,1732.0,1746.11,1725.17,1742.61,385982
