,Open,High,Low,Close,Volume
2017-10-25 16:00:00,48.85,49.27,48.31,49.16,3152361
2017-10-26 16:00:00,49.44,49.45,49.03,49.36,2468320
2017-10-27 16:00:00,49.23,49.64,49.01,49.49,2402904
2017-10-30 16:00:00,49.46,49.6,49.21,49.55,3226510
2017-10-31 16:00:00,48.66,49.699,48.33,49.2,3308532
2017-11-01 16:00:00,49.94,50.19,49.29,49.51,4266173
2017-11-02 16:00:00,49.59,49.91,49.17,49.79,2976395
2017-11-03 16:00:00,49.69,50.555,49.62,50.31,2413072
2017-11-06 16:00:00,50.29,50.41,49.535,49.65,3154244
2017-11-07 16:00:00,49.76,50.05,49.55,49.95,2563058
2017-11-08 16:00:00,49.84,50.28,49.69,50.2,2503570
2017-11-09 16:00:00,50.05,50.495,49.901,50.27,1991876
2017-11-10 16:00:00,49.94,50.54,49.94,50.38,3589997
2017-11-13 16:00:00,50.52,51.03,50.43,50.66,3610967
2017-11-14 16:00:00,50.63,51.73,50.37,51.72,3483407
2017-11-15 16:00:00,51.82,52.12,51.15,51.31,3771315
2017-11-16 16:00:00,51.28,51.39,51.01,51.38,2959298
2017-11-17 16:00:00,51.08,51.54,51.02,51.5,5639742
2017-11-20 16:00:00,51.53,51.63,51.26,51.57,3676793
2017-11-21 16:00:00,51.65,51.78,51.41,51.6,2440549
2017-11-22 16:00:00,51.53,51.575,51.1599,51.43,2539721
2017-11-24 13:00:00,51.44,51.79,51.32,51.56,1991326
