,Open,High,Low,Close,Volume
2017-09-14 16:00:00,35.05,35.84,35.0,35.73,27426839
2017-09-15 16:00:00,35.6,35.72,35.24,35.36,28871059
2017-09-18 16:00:00,35.38,35.55,35.211,35.55,16936220
2017-09-19 16:00:00,35.66,35.66,35.35,35.45,15692161
2017-09-20 16:00:00,35.93,36.21,35.81,35.99,25680077
2017-09-21 16:00:00,36.06,36.19,35.91,35.97,15731081
2017-09-22 16:00:00,36.1,36.12,35.77,35.96,14605376
2017-09-25 16:00:00,35.9,36.03,35.44,35.51,22181960
2017-09-26 16:00:00,35.51,35.645,35.24,35.3,17559784
2017-09-27 16:00:00,35.25,35.525,35.1944,35.45,14671645
2017-09-28 16:00:00,35.27,35.78,35.22,35.6,18062655
2017-09-29 16:00:00,35.64,35.7,35.35,35.7,16003652
2017-10-02 16:00:00,35.67,36.1,35.49,36.07,16642649
2017-10-03 16:00:00,36.02,36.2,35.75,36.14,13594288
2017-10-04 16:00:00,36.18,36.24,35.9,35.96,10849382
2017-10-05 16:00:00,35.88,36.0,35.75,36.0,13605723
2017-10-06 16:00:00,35.99,36.14,35.94,36.05,12060086
2017-10-09 16:00:00,36.06,36.15,35.93,36.14,9751519
2017-10-10 16:00:00,36.38,36.51,36.03,36.4,17739464
2017-10-11 16:00:00,36.37,36.42,36.2,36.34,1642256
2017-10-12 16:00:00,36.48,36.6,36.28,36.35,13994415
2017-10-13 16:00:00,36.37,36.49,36.2544,36.34,12769294
2017-10-16 16:00:00,36.35,36.48,35.88,35.98,13581579
2017-10-17 16:00:00,35.93,36.33,35.75,36.2,14019661
2017-10-18 16:00:00,36.25,36.29,35.79,35.83,14418003
2017-10-19 16:00:00,35.89,36.38,35.84,36.24,19789423
2017-10-20 16:00:00,36.3,36.42,36.03,36.42,17502245
2017-10-23 16:00:00,36.3,36.78,36.3,36.4,15159383
2017-10-24 16:00:00,36.45,36.53,35.99,36.27,15015341
2017-10-25 16:00:00,36.2,36.35,35.92,36.16,16625693
2017-10-26 16:00:00,36.09,36.215,35.6,35.74,17432863
2017-10-27 16:00:00,35.53,35.75,35.4,35.6,14940121
2017-10-30 16:00:00,35.43,35.47,35.02,35.15,25312745
2017-10-31 16:00:00,35.05,35.34,34.105,35.06,23523848
2017-11-01 16:00:00,35.01,35.73,34.9,35.26,15709246
2017-11-02 16:00:00,35.27,35.51,35.0342,35.46,13168905
2017-11-03 16:00:00,35.45,35.56,35.32,35.55,8878821
2017-11-06 16:00:00,35.59,35.61,35.12,35.32,10626680
2017-11-07 16:00:00,35.3,35.42,35.24,35.36,10892660
2017-11-08 16:00:00,35.37,35.39,35.03,35.34,13569440
2017-11-09 16:00:00,35.08,35.25,34.84,35.2,13366877
2017-11-10 16:00:00,35.1,35.19,34.795,35.18,15046120
2017-11-13 16:00:00,35.22,35.48,35.14,35.3,23788112
2017-11-14 16:00:00,35.25,35.7,35.2201,35.38,16393325
2017-11-15 16:00:00,35.28,35.5,35.23,35.36,12946990
2017-11-16 16:00:00,35.34,35.58,35.25,35.56,12927777
2017-11-17 16:00:00,35.37,35.49,35.17,35.37,14847477
2017-11-20 16:00:00,35.38,35.45,35.265,35.35,11817430
2017-11-21 16:00:00,35.4,35.73,35.38,35.54,12649953
2017-11-22 16:00:00,35.45,35.5,35.32,35.43,10553135
2017-11-24 13:00:00,35.51,35.56,35.37,35.49,6397307
2017-11-27 16:00:00,35.52,35.65,35.38,35.49,10292760
2017-11-28 16:00:00,35.59,35.89,35.52,35.85,12985786
2017-11-29 16:00:00,35.94,36.41,35.875,36.21,15296837
2017-11-30 16:00:00,36.21,36.48,36.08,36.26,22830776
2017-12-01 16:00:00,36.29,36.5,36.01,36.35,18584945
2017-12-04 16:00:00,36.49,36.62,36.05,36.06,14086848
2017-12-05 16:00:00,35.63,36.185,35.51,35.63,22320611
2017-12-06 16:00:00,35.575,35.88,35.51,35.56,17379224
2017-12-07 16:00:00,35.56,35.64,35.15,35.5,15807772
2017-12-08 16:00:00,35.32,35.77,35.32,35.74,14901108
2017-12-11 16:00:00,36.04,36.26,35.69,36.21,14362928
2017-12-12 16:00:00,36.58,36.82,36.25,36.58,22485913
2017-12-13 16:00:00,36.57,36.8,36.47,36.64,15787247
