,Open,High,Low,Close,Volume
2017-09-14 16:00:00,46.09,46.09,45.43,46.07,3167825
2017-09-15 16:00:00,46.07,46.45,45.96,46.02,3690372
2017-09-18 16:00:00,46.17,46.33,45.9,46.31,3153069
2017-09-19 16:00:00,47.14,48.3,47.14,47.63,6611399
2017-09-20 16:00:00,47.67,48.01,47.5,47.7,5060750
2017-09-21 16:00:00,47.64,48.13,47.58,47.68,3923298
2017-09-22 16:00:00,47.61,48.02,47.42,47.98,3044053
2017-09-25 16:00:00,47.93,48.06,47.61,48.0,4710047
2017-09-26 16:00:00,47.91,48.29,47.8,47.85,2941636
2017-09-27 16:00:00,48.13,48.2999,47.61,47.71,2791219
2017-09-28 16:00:00,47.69,48.08,47.57,48.06,4015715
2017-09-29 16:00:00,47.96,48.44,47.855,48.42,1974645
2017-10-02 16:00:00,48.39,49.19,48.36,49.03,3457131
2017-10-03 16:00:00,48.92,49.1,48.79,49.07,2542803
2017-10-04 16:00:00,49.01,49.3,48.94,49.17,3555398
2017-10-05 16:00:00,49.21,49.26,48.99,49.05,2757466
2017-10-06 16:00:00,49.1,49.41,48.94,49.28,1815892
2017-10-09 16:00:00,49.34,49.75,49.165,49.45,2292207
2017-10-10 16:00:00,49.44,49.63,49.16,49.37,2198168
2017-10-11 16:00:00,49.29,49.36,49.12,49.125,140332
2017-10-12 16:00:00,49.32,49.41,48.7,48.75,3064813
2017-10-13 16:00:00,48.84,49.16,48.635,48.67,3216581
2017-10-16 16:00:00,48.67,49.12,48.67,48.98,3142711
2017-10-17 16:00:00,49.0,49.4699,48.08,48.55,5517417
2017-10-18 16:00:00,48.86,48.98,47.89,48.09,4104074
2017-10-19 16:00:00,48.04,48.7,47.92,48.69,2502737
2017-10-20 16:00:00,48.97,49.02,48.52,48.91,3089680
2017-10-23 16:00:00,48.98,49.06,48.755,48.9,3002881
2017-10-24 16:00:00,48.99,49.28,48.84,49.03,3221407
2017-10-25 16:00:00,48.9,49.01,48.56,48.61,2827889
2017-10-26 16:00:00,48.87,49.25,48.67,49.15,2883147
2017-10-27 16:00:00,48.95,49.12,48.66,48.9,2683153
2017-10-30 16:00:00,48.79,49.11,48.655,48.66,2385075
2017-10-31 16:00:00,48.7,48.93,48.59,48.65,2689957
2017-11-01 16:00:00,48.85,48.93,48.69,48.8,1873492
2017-11-02 16:00:00,48.88,50.14,48.84,49.31,3538325
2017-11-03 16:00:00,49.18,50.27,49.15,50.15,3884802
2017-11-06 16:00:00,49.81,50.4,49.74,50.21,3272613
2017-11-07 16:00:00,50.31,51.0,50.29,50.49,1830999
2017-11-08 16:00:00,50.4,50.72,50.28,50.55,1778767
2017-11-09 16:00:00,50.39,50.73,50.14,50.64,1939280
2017-11-10 16:00:00,50.48,50.86,50.18,50.75,1292349
2017-11-13 16:00:00,50.55,51.21,50.4,51.1,3418901
2017-11-14 16:00:00,50.8,51.54,50.72,51.28,2894777
2017-11-15 16:00:00,51.17,51.89,50.95,51.65,3130381
2017-11-16 16:00:00,52.0,52.08,51.43,51.57,2940131
2017-11-17 16:00:00,51.39,51.68,51.32,51.55,2240670
2017-11-20 16:00:00,51.65,51.9,51.55,51.82,2015760
2017-11-21 16:00:00,52.0,52.26,51.75,51.87,4229958
2017-11-22 16:00:00,51.88,51.88,51.48,51.68,2078667
2017-11-24 13:00:00,51.86,51.95,51.61,51.85,1726318
2017-11-27 16:00:00,51.93,52.24,51.8601,52.07,2086846
2017-11-28 16:00:00,52.05,52.82,52.02,52.78,3747837
2017-11-29 16:00:00,52.92,53.29,52.4,52.45,3706111
2017-11-30 16:00:00,52.74,53.71,52.51,53.18,5779044
2017-12-01 16:00:00,53.33,54.0,52.55,53.6,3301907
2017-12-04 16:00:00,54.19,54.54,54.04,54.36,3373566
2017-12-05 16:00:00,54.5,54.75,54.14,54.25,3880740
2017-12-06 16:00:00,54.27,54.6749,54.083,54.59,1935070
2017-12-07 16:00:00,54.52,54.835,54.395,54.52,1993232
2017-12-08 16:00:00,54.77,54.99,54.57,54.99,1609665
2017-12-11 16:00:00,54.88,54.99,54.45,54.88,2571554
2017-12-12 16:00:00,55.15,55.81,55.03,55.15,4154715
2017-12-13 16:00:00,55.24,56.23,55.15,55.86,3407800
