,Open,High,Low,Close,Volume
2017-10-25 16:00:00,29.4,29.8,29.01,29.23,7711685
2017-10-26 16:00:00,29.36,29.82,29.3,29.76,5457797
2017-10-27 16:00:00,29.79,30.16,29.57,30.07,4849256
2017-10-30 16:00:00,30.02,30.33,29.69,29.79,7692219
2017-10-31 16:00:00,29.8,30.37,29.714,30.23,5503221
2017-11-01 16:00:00,30.35,30.62,30.07,30.41,6414453
2017-11-02 16:00:00,30.37,30.48,29.265,30.09,10396793
2017-11-03 16:00:00,30.07,30.57,29.92,30.31,4877061
2017-11-06 16:00:00,30.37,30.62,30.18,30.5,4066631
2017-11-07 16:00:00,30.58,30.729,30.255,30.44,3201979
2017-11-08 16:00:00,30.35,30.985,30.12,30.91,3537762
2017-11-09 16:00:00,30.58,31.3,30.52,31.07,5034751
2017-11-10 16:00:00,30.97,31.36,30.83,31.15,5116545
2017-11-13 16:00:00,31.11,31.67,31.07,31.57,4867297
2017-11-14 16:00:00,31.11,31.88,31.04,31.77,4317664
2017-11-15 16:00:00,31.65,31.76,31.28,31.73,4009938
2017-11-16 16:00:00,31.78,32.27,31.69,31.9,7515944
2017-11-17 16:00:00,31.8,32.45,31.75,32.25,6316375
2017-11-20 16:00:00,32.27,32.8,32.25,32.45,6275150
2017-11-21 16:00:00,32.46,32.895,32.46,32.73,5239726
2017-11-22 16:00:00,32.78,32.95,32.56,32.84,3968559
2017-11-24 13:00:00,32.91,33.25,32.9,33.15,1626568
