,Open,High,Low,Close,Volume
2017-09-14 16:00:00,115.54,116.04,114.85,115.8,861008
2017-09-15 16:00:00,115.56,116.08,114.5,115.88,2177654
2017-09-18 16:00:00,116.21,117.19,115.91,116.22,1092832
2017-09-19 16:00:00,116.22,117.55,115.325,117.26,1062489
2017-09-20 16:00:00,117.26,119.43,117.25,119.28,877107
2017-09-21 16:00:00,119.19,119.31,118.52,118.8,461863
2017-09-22 16:00:00,118.5,118.79,115.21,116.21,1079990
2017-09-25 16:00:00,115.78,116.1,112.2,113.9,977814
2017-09-26 16:00:00,114.07,115.12,113.9,114.32,663516
2017-09-27 16:00:00,114.87,115.87,114.24,115.29,690803
2017-09-28 16:00:00,115.06,116.19,114.58,115.61,874097
2017-09-29 16:00:00,115.09,115.14,113.89,114.68,829808
2017-10-02 16:00:00,114.45,117.06,114.45,116.85,681622
2017-10-03 16:00:00,117.27,117.88,116.461,117.27,545329
2017-10-04 16:00:00,117.3,117.96,116.805,117.33,655706
2017-10-05 16:00:00,117.38,117.39,116.31,117.06,771943
2017-10-06 16:00:00,116.75,117.82,116.33,116.5,527852
2017-10-09 16:00:00,116.8,117.11,116.01,116.72,383804
2017-10-10 16:00:00,116.88,117.65,116.55,117.47,366187
2017-10-11 16:00:00,117.58,117.78,117.285,117.39,12401
2017-10-12 16:00:00,116.92,116.92,115.385,115.5,809339
2017-10-13 16:00:00,115.29,116.07,115.13,115.69,771589
2017-10-16 16:00:00,115.97,117.05,115.6,117.0,694979
2017-10-17 16:00:00,117.07,117.61,116.52,116.75,711561
2017-10-18 16:00:00,116.91,117.24,116.08,116.42,793535
2017-10-19 16:00:00,116.15,116.74,115.69,116.6,386285
2017-10-20 16:00:00,117.26,118.38,116.98,118.36,596410
2017-10-23 16:00:00,118.84,118.99,118.09,118.14,547318
2017-10-24 16:00:00,119.4,119.57,117.86,118.63,757998
2017-10-25 16:00:00,118.94,119.28,116.9,118.16,678092
2017-10-26 16:00:00,117.0,120.75,116.51,118.58,912790
2017-10-27 16:00:00,117.8,118.015,111.65,116.93,1456689
2017-10-30 16:00:00,116.2,116.945,115.33,115.57,708149
2017-10-31 16:00:00,115.9,116.88,115.11,116.27,476629
2017-11-01 16:00:00,117.11,117.546,116.06,116.57,881734
2017-11-02 16:00:00,116.09,117.2,115.59,116.21,706913
2017-11-03 16:00:00,116.1,116.84,115.61,115.74,512971
2017-11-06 16:00:00,115.7,115.71,110.63,110.96,1736040
2017-11-07 16:00:00,110.78,111.9524,109.86,111.35,784080
2017-11-08 16:00:00,111.0,111.58,110.53,111.41,883439
2017-11-09 16:00:00,110.61,111.1,108.49,109.23,1183170
2017-11-10 16:00:00,109.41,110.62,109.29,110.27,913648
2017-11-13 16:00:00,110.19,112.73,109.67,112.36,1086501
2017-11-14 16:00:00,111.91,113.44,111.655,112.71,456757
2017-11-15 16:00:00,112.05,113.09,111.46,111.85,667717
2017-11-16 16:00:00,111.58,112.6,111.47,111.87,632358
2017-11-17 16:00:00,111.42,112.86,111.11,112.47,447175
2017-11-20 16:00:00,112.01,113.01,111.541,111.77,666238
2017-11-21 16:00:00,112.43,113.13,111.98,112.04,612289
2017-11-22 16:00:00,112.21,112.56,111.565,112.07,468825
2017-11-24 13:00:00,112.48,112.82,111.47,111.47,177969
2017-11-27 16:00:00,111.5,112.58,111.05,111.42,546009
2017-11-28 16:00:00,111.79,112.98,111.18,112.95,549815
2017-11-29 16:00:00,112.97,115.21,112.71,115.09,665335
2017-11-30 16:00:00,115.2,118.98,115.1,118.6,1333269
2017-12-01 16:00:00,118.53,118.54,114.41,117.4,932395
2017-12-04 16:00:00,118.41,119.94,117.85,118.91,885511
2017-12-05 16:00:00,118.44,118.805,117.38,117.76,670007
2017-12-06 16:00:00,117.9,118.47,117.16,117.34,520935
2017-12-07 16:00:00,117.15,118.53,116.82,117.96,634829
2017-12-08 16:00:00,118.23,119.06,117.755,118.34,592522
2017-12-11 16:00:00,118.13,118.695,116.295,118.13,773860
2017-12-12 16:00:00,116.96,117.99,116.82,116.96,582691
2017-12-13 16:00:00,116.71,117.73,116.71,116.98,611301
