,Open,High,Low,Close,Volume
2017-10-25 16:00:00,64.01,64.78,63.75,64.03,2062637
2017-10-26 16:00:00,64.31,64.44,63.61,64.27,2267051
2017-10-27 16:00:00,64.21,64.81,63.88,64.69,1304435
2017-10-30 16:00:00,64.63,64.66,63.99,64.08,1852698
2017-10-31 16:00:00,64.2,64.63,63.78,64.58,1906399
2017-11-01 16:00:00,64.6,65.05,64.32,65.0,1727433
2017-11-02 16:00:00,65.22,66.25,64.9505,65.94,2383431
2017-11-03 16:00:00,65.59,66.83,65.44,66.27,2415032
2017-11-06 16:00:00,66.38,66.75,66.255,66.54,1491512
2017-11-07 16:00:00,66.68,67.1,66.23,66.53,2267679
2017-11-08 16:00:00,66.49,67.05,66.4,66.72,1714235
2017-11-09 16:00:00,66.25,66.86,65.91,66.48,1599615
2017-11-10 16:00:00,66.03,66.89,66.0,66.22,1587602
2017-11-13 16:00:00,66.28,67.22,66.05,67.07,1613674
2017-11-14 16:00:00,67.02,67.25,66.6876,67.19,1869822
2017-11-15 16:00:00,66.93,67.08,65.51,65.59,2068159
2017-11-16 16:00:00,65.69,67.19,65.5,67.05,2509390
2017-11-17 16:00:00,66.52,66.84,66.19,66.3,1304300
2017-11-20 16:00:00,66.48,66.86,66.19,66.44,1401994
2017-11-21 16:00:00,66.7,67.53,66.67,67.4,1437172
2017-11-22 16:00:00,67.29,67.4,66.83,66.89,1269644
2017-11-24 13:00:00,67.04,67.34,67.02,67.06,451327
