,Open,High,Low,Close,Volume
2017-09-14 16:00:00,116.86,117.06,116.2075,116.73,3596494
2017-09-15 16:00:00,116.58,116.725,115.05,115.79,5992435
2017-09-18 16:00:00,115.69,116.19,115.12,116.08,2998980
2017-09-19 16:00:00,115.99,116.07,114.935,115.36,3105573
2017-09-20 16:00:00,115.44,115.62,112.78,113.43,3822289
2017-09-21 16:00:00,113.3,113.67,112.75,112.92,2887706
2017-09-22 16:00:00,113.06,113.21,112.28,112.51,2998988
2017-09-25 16:00:00,112.77,113.68,112.37,113.25,4734890
2017-09-26 16:00:00,112.28,113.333,112.1,112.21,3537522
2017-09-27 16:00:00,111.99,112.19,111.15,111.61,3623535
2017-09-28 16:00:00,112.17,112.38,111.55,111.8,3479144
2017-09-29 16:00:00,111.78,112.29,110.94,111.01,3912773
2017-10-02 16:00:00,111.23,111.73,110.61,110.87,3403313
2017-10-03 16:00:00,110.66,110.6851,110.0501,110.19,2902963
2017-10-04 16:00:00,110.48,111.9,110.16,111.42,4161778
2017-10-05 16:00:00,111.46,112.02,111.28,111.54,4904308
2017-10-06 16:00:00,111.48,111.735,110.71,111.27,5642157
2017-10-09 16:00:00,111.58,114.58,111.54,113.37,3292504
2017-10-10 16:00:00,114.12,115.28,113.93,115.17,3930646
2017-10-11 16:00:00,114.87,115.15,114.24,114.96,334316
2017-10-12 16:00:00,114.66,114.75,113.5,114.53,3100449
2017-10-13 16:00:00,114.96,115.15,113.9,113.99,2658074
2017-10-16 16:00:00,114.05,114.4,113.44,113.52,2559579
2017-10-17 16:00:00,113.12,113.41,112.43,112.65,3997675
2017-10-18 16:00:00,112.62,112.89,112.24,112.51,3441965
2017-10-19 16:00:00,109.04,111.86,107.01,108.15,9606640
2017-10-20 16:00:00,108.56,109.52,108.0,109.52,6177164
2017-10-23 16:00:00,109.45,110.27,109.12,109.36,3762062
2017-10-24 16:00:00,109.17,109.67,108.16,108.57,4117660
2017-10-25 16:00:00,108.41,108.85,106.75,107.0,4060430
2017-10-26 16:00:00,107.5,107.85,106.86,106.93,3468067
2017-10-27 16:00:00,106.66,107.02,105.75,105.94,5067389
2017-10-30 16:00:00,105.71,105.8,104.56,104.7,5021389
2017-10-31 16:00:00,104.75,105.201,104.26,104.64,5419166
2017-11-01 16:00:00,104.78,105.0,103.64,103.75,4102155
2017-11-02 16:00:00,103.71,103.85,102.45,102.8,4601532
2017-11-03 16:00:00,103.0,103.05,102.48,102.66,3064301
2017-11-06 16:00:00,102.62,103.09,101.58,102.14,4166957
2017-11-07 16:00:00,102.06,103.16,101.94,103.02,3901931
2017-11-08 16:00:00,103.02,103.39,102.66,103.09,4882725
2017-11-09 16:00:00,102.91,103.1,102.18,102.46,3427660
2017-11-10 16:00:00,102.09,103.28,102.05,103.02,4935208
2017-11-13 16:00:00,103.11,103.82,103.0,103.51,3864558
2017-11-14 16:00:00,103.39,103.77,102.63,102.72,4736062
2017-11-15 16:00:00,102.32,102.6,101.64,102.05,4928374
2017-11-16 16:00:00,102.5,103.46,102.455,102.66,3207032
2017-11-17 16:00:00,102.21,103.01,102.01,102.64,4084499
2017-11-20 16:00:00,102.66,103.74,102.51,102.54,4779691
2017-11-21 16:00:00,102.93,103.94,102.83,103.36,4224009
2017-11-22 16:00:00,103.41,103.75,103.19,103.54,3658123
2017-11-24 13:00:00,103.8,103.9,102.98,103.18,1970521
2017-11-27 16:00:00,103.25,103.31,102.72,102.72,3377136
2017-11-28 16:00:00,102.82,103.06,102.44,102.88,4687681
2017-11-29 16:00:00,102.52,103.17,102.01,102.68,4343788
2017-11-30 16:00:00,102.71,103.37,102.61,102.75,7123169
2017-12-01 16:00:00,103.27,103.785,102.15,103.71,6318642
2017-12-04 16:00:00,103.96,104.835,103.04,104.61,5179435
2017-12-05 16:00:00,105.49,105.57,104.34,105.46,4916153
2017-12-06 16:00:00,106.63,107.93,105.27,107.6,5108882
2017-12-07 16:00:00,107.47,107.47,106.23,106.7,4040283
2017-12-08 16:00:00,106.51,106.68,105.5,106.59,4611918
2017-12-11 16:00:00,106.6,106.6,105.8,106.04,3049004
2017-12-12 16:00:00,107.3,107.98,105.87,107.3,4428309
2017-12-13 16:00:00,107.09,108.665,106.98,108.24,5898350
