,Open,High,Low,Close,Volume
2017-10-25 16:00:00,139.23,139.23,136.42,137.46,1249297
2017-10-26 16:00:00,138.32,138.74,137.56,137.85,1547305
2017-10-27 16:00:00,137.31,138.53,136.96,138.17,1198528
2017-10-30 16:00:00,137.15,138.05,136.56,137.16,1199207
2017-10-31 16:00:00,137.2,138.2,136.76,136.79,1131639
2017-11-01 16:00:00,137.88,138.64,136.76,136.94,1207600
2017-11-02 16:00:00,137.2,138.47,136.1,138.4,1092564
2017-11-03 16:00:00,137.63,138.71,137.4225,138.64,1006212
2017-11-06 16:00:00,137.98,138.92,137.63,138.59,884261
2017-11-07 16:00:00,138.48,138.81,133.89,134.09,2508508
2017-11-08 16:00:00,133.59,134.21,132.77,133.29,2217767
2017-11-09 16:00:00,132.32,133.57,131.36,132.55,1985608
2017-11-10 16:00:00,133.14,133.86,132.36,132.48,1925404
2017-11-13 16:00:00,131.53,133.08,131.07,132.23,2153926
2017-11-14 16:00:00,131.11,132.59,130.9,132.0,2293843
2017-11-15 16:00:00,130.85,133.83,130.46,132.9,1923028
2017-11-16 16:00:00,133.37,133.84,132.41,132.49,1292253
2017-11-17 16:00:00,131.59,133.16,131.39,132.85,1108830
2017-11-20 16:00:00,133.21,133.59,132.34,133.29,1402735
2017-11-21 16:00:00,133.8,133.99,132.72,133.11,1228859
2017-11-22 16:00:00,133.12,133.83,132.77,133.04,942560
2017-11-24 13:00:00,133.43,133.61,132.55,132.56,612841
