,Open,High,Low,Close,Volume
2017-09-14 16:00:00,64.51,65.135,64.37,64.96,842346
2017-09-15 16:00:00,64.78,64.97,64.27,64.6,1545737
2017-09-18 16:00:00,64.74,65.64,64.54,65.54,779149
2017-09-19 16:00:00,65.54,66.63,65.33,66.6,856993
2017-09-20 16:00:00,66.84,67.38,66.57,67.1,1920954
2017-09-21 16:00:00,67.1,67.39,66.74,66.78,605475
2017-09-22 16:00:00,66.79,67.13,66.64,67.05,792729
2017-09-25 16:00:00,67.03,67.26,66.42,66.98,857232
2017-09-26 16:00:00,66.98,67.02,66.01,66.36,758759
2017-09-27 16:00:00,66.56,67.08,65.51,67.02,1270021
2017-09-28 16:00:00,67.0,67.17,66.46,67.17,1107065
2017-09-29 16:00:00,67.29,68.5,67.0103,67.96,1567514
2017-10-02 16:00:00,67.9,69.33,67.795,69.33,1224186
2017-10-03 16:00:00,69.44,69.8,69.17,69.63,986597
2017-10-04 16:00:00,69.69,70.51,69.37,70.04,1135303
2017-10-05 16:00:00,70.0,70.055,69.29,69.58,931741
2017-10-06 16:00:00,69.31,70.08,69.265,70.02,803712
2017-10-09 16:00:00,70.11,70.22,69.6,70.0,707976
2017-10-10 16:00:00,70.25,70.25,69.665,69.95,836133
2017-10-11 16:00:00,69.93,70.25,69.77,69.87,25124
2017-10-12 16:00:00,69.65,70.39,69.57,69.89,1263834
2017-10-13 16:00:00,70.29,70.35,69.77,69.98,961196
2017-10-16 16:00:00,70.5,71.14,70.17,71.1,806850
2017-10-17 16:00:00,70.89,71.36,70.23,70.42,841663
2017-10-18 16:00:00,70.37,70.67,70.07,70.5,586784
2017-10-19 16:00:00,69.88,70.71,69.64,70.71,547593
2017-10-20 16:00:00,71.08,71.3,70.65,71.17,702524
2017-10-23 16:00:00,71.23,71.44,70.65,70.82,878160
2017-10-24 16:00:00,69.0,71.65,69.0,70.58,1512556
2017-10-25 16:00:00,70.85,71.4,70.14,70.94,1077362
2017-10-26 16:00:00,71.45,71.6,71.1,71.16,873606
2017-10-27 16:00:00,71.08,71.25,69.99,70.13,890721
2017-10-30 16:00:00,70.0,70.32,69.65,70.1,776087
2017-10-31 16:00:00,70.14,70.89,70.0,70.46,902306
2017-11-01 16:00:00,70.49,70.63,69.23,69.26,1065056
2017-11-02 16:00:00,69.41,70.0,68.99,69.93,857097
2017-11-03 16:00:00,69.77,69.89,68.875,69.36,841321
2017-11-06 16:00:00,69.43,69.73,69.16,69.48,901744
2017-11-07 16:00:00,69.5,69.52,68.55,68.94,710688
2017-11-08 16:00:00,68.87,69.19,68.64,69.17,478773
2017-11-09 16:00:00,68.56,69.0,67.84,68.17,918255
2017-11-10 16:00:00,67.84,68.12,67.27,68.05,1043401
2017-11-13 16:00:00,67.66,68.46,67.39,68.27,734669
2017-11-14 16:00:00,67.81,68.07,67.48,68.02,656018
2017-11-15 16:00:00,67.79,68.02,67.29,67.47,669874
2017-11-16 16:00:00,67.71,68.26,67.31,68.23,1057749
2017-11-17 16:00:00,67.79,68.77,67.51,68.44,1133726
2017-11-20 16:00:00,68.63,69.21,68.31,69.16,887424
2017-11-21 16:00:00,69.73,70.25,69.09,69.35,922341
2017-11-22 16:00:00,69.39,69.76,69.325,69.51,630050
2017-11-24 13:00:00,69.8,69.93,68.98,69.16,173177
2017-11-27 16:00:00,69.11,69.3,68.84,69.11,654657
2017-11-28 16:00:00,69.39,69.53,68.95,69.32,2153021
2017-11-29 16:00:00,69.27,69.44,68.76,69.32,1480561
2017-11-30 16:00:00,69.73,71.31,69.71,71.16,1810572
2017-12-01 16:00:00,71.4,71.76,69.36,70.19,1050867
2017-12-04 16:00:00,70.7,70.9,69.16,69.16,929968
2017-12-05 16:00:00,69.31,69.31,68.41,68.55,736974
2017-12-06 16:00:00,68.26,69.5,68.26,69.23,1474310
2017-12-07 16:00:00,69.07,69.82,68.975,69.42,947998
2017-12-08 16:00:00,69.68,70.47,69.54,69.95,799488
2017-12-11 16:00:00,69.82,70.3525,69.69,69.77,824961
2017-12-12 16:00:00,69.68,70.52,69.64,69.68,1100410
2017-12-13 16:00:00,69.55,70.17,69.27,69.64,1163372
