,Open,High,Low,Close,Volume
2017-09-14 16:00:00,102.41,102.8458,101.85,101.97,2061075
2017-09-15 16:00:00,101.91,102.83,101.55,102.78,2944469
2017-09-18 16:00:00,103.15,103.86,103.0,103.38,2170450
2017-09-19 16:00:00,103.35,104.64,103.086,104.31,1649190
2017-09-20 16:00:00,104.46,105.78,103.66,105.17,1984795
2017-09-21 16:00:00,105.02,105.9,104.78,104.78,2138810
2017-09-22 16:00:00,104.29,105.34,104.18,105.0,1789601
2017-09-25 16:00:00,104.86,105.84,104.51,105.36,1865938
2017-09-26 16:00:00,105.29,106.06,104.97,105.94,1744510
2017-09-27 16:00:00,107.32,107.5899,106.63,106.78,1953917
2017-09-28 16:00:00,106.81,106.98,105.46,106.0,1186185
2017-09-29 16:00:00,106.0,106.62,105.72,106.32,1227301
2017-10-02 16:00:00,106.91,107.48,106.25,107.28,1303913
2017-10-03 16:00:00,107.27,107.895,106.76,107.84,1767137
2017-10-04 16:00:00,107.87,108.3,107.45,107.85,1116950
2017-10-05 16:00:00,107.99,109.74,107.66,109.26,1427154
2017-10-06 16:00:00,109.68,110.68,108.871,109.65,1708887
2017-10-09 16:00:00,109.85,110.07,108.88,109.06,867749
2017-10-10 16:00:00,109.21,110.16,109.08,110.0,1565198
2017-10-11 16:00:00,109.66,109.96,109.37,109.79,91374
2017-10-12 16:00:00,110.15,110.15,109.14,109.35,1149072
2017-10-13 16:00:00,109.38,109.795,108.82,109.11,1336950
2017-10-16 16:00:00,109.42,110.07,109.26,109.37,1543239
2017-10-17 16:00:00,109.7,109.95,108.34,108.79,1605698
2017-10-18 16:00:00,109.34,109.34,108.41,108.89,1518894
2017-10-19 16:00:00,108.28,109.6566,108.131,109.6,1281261
2017-10-20 16:00:00,110.65,111.32,110.13,110.78,1519219
2017-10-23 16:00:00,110.78,111.49,110.59,110.79,1048617
2017-10-24 16:00:00,111.5,112.51,111.25,112.17,1616383
2017-10-25 16:00:00,112.17,112.43,110.73,111.25,2008778
2017-10-26 16:00:00,111.59,112.64,111.57,111.89,1205279
2017-10-27 16:00:00,111.45,112.16,111.087,112.02,1091432
2017-10-30 16:00:00,111.49,112.06,111.23,111.6,1818842
2017-10-31 16:00:00,111.63,111.95,110.42,110.46,1564566
2017-11-01 16:00:00,110.98,112.13,110.37,110.58,1793470
2017-11-02 16:00:00,111.65,113.34,110.41,112.94,2352439
2017-11-03 16:00:00,112.71,112.98,111.55,111.84,1985137
2017-11-06 16:00:00,111.68,112.745,111.4901,112.39,1416915
2017-11-07 16:00:00,112.72,113.97,111.41,111.94,1629039
2017-11-08 16:00:00,111.93,113.02,111.32,112.44,1966410
2017-11-09 16:00:00,111.9,113.11,111.2701,111.95,1722310
2017-11-10 16:00:00,112.02,112.28,110.65,110.72,1805408
2017-11-13 16:00:00,109.9,111.27,109.48,110.44,1614487
2017-11-14 16:00:00,109.66,109.945,109.26,109.56,1794570
2017-11-15 16:00:00,108.29,112.63,108.04,110.22,2026746
2017-11-16 16:00:00,110.84,111.55,110.31,110.37,1857577
2017-11-17 16:00:00,109.81,110.955,109.61,110.25,1232693
2017-11-20 16:00:00,110.42,110.6,109.92,110.02,1662250
2017-11-21 16:00:00,110.46,110.58,109.935,110.06,1271648
2017-11-22 16:00:00,110.23,110.64,109.48,109.7,1252646
2017-11-24 13:00:00,109.49,109.53,108.86,108.92,575673
2017-11-27 16:00:00,109.06,109.87,109.06,109.51,1512857
2017-11-28 16:00:00,109.93,112.995,109.7,112.83,2625970
2017-11-29 16:00:00,113.77,117.0776,113.27,115.87,2743151
2017-11-30 16:00:00,116.89,117.59,115.28,115.84,3784283
2017-12-01 16:00:00,116.0,116.2,112.41,115.4,1664527
2017-12-04 16:00:00,117.14,117.99,116.73,116.76,1789297
2017-12-05 16:00:00,117.16,117.38,115.34,115.51,1302141
2017-12-06 16:00:00,115.35,116.23,115.21,115.38,1247844
2017-12-07 16:00:00,114.92,116.68,114.76,116.33,1035868
2017-12-08 16:00:00,116.86,117.2,116.19,117.15,1184239
2017-12-11 16:00:00,117.02,117.25,115.75,116.26,1460071
2017-12-12 16:00:00,116.39,117.0,115.57,116.39,1841905
2017-12-13 16:00:00,116.08,116.37,113.93,113.95,1759715
