,Open,High,Low,Close,Volume
2017-10-25 16:00:00,210.93,211.465,208.2,210.0,1062370
2017-10-26 16:00:00,201.07,206.0,198.11,204.21,2974434
2017-10-27 16:00:00,203.55,207.64,203.06,206.9,1041351
2017-10-30 16:00:00,206.55,208.95,206.0,208.75,796555
2017-10-31 16:00:00,208.75,208.75,206.72,207.25,682081
2017-11-01 16:00:00,208.07,208.07,205.9,206.52,691373
2017-11-02 16:00:00,206.95,210.14,206.67,208.33,811715
2017-11-03 16:00:00,208.23,209.56,207.145,208.97,759618
2017-11-06 16:00:00,209.49,212.56,209.01,209.32,764300
2017-11-07 16:00:00,209.02,212.29,208.8,211.49,882214
2017-11-08 16:00:00,211.76,213.93,211.28,213.19,760903
2017-11-09 16:00:00,212.76,213.565,211.02,211.37,532501
2017-11-10 16:00:00,211.11,212.2,209.18,211.52,736591
2017-11-13 16:00:00,211.66,213.89,211.52,213.25,609476
2017-11-14 16:00:00,212.43,213.29,211.44,212.92,640858
2017-11-15 16:00:00,212.77,213.9,209.52,210.05,795725
2017-11-16 16:00:00,209.38,214.75,209.26,213.67,938566
2017-11-17 16:00:00,212.75,213.74,211.66,211.85,681518
2017-11-20 16:00:00,211.81,212.27,210.77,211.11,358428
2017-11-21 16:00:00,211.55,211.55,209.91,211.32,683739
2017-11-22 16:00:00,210.65,211.67,209.31,211.29,512041
2017-11-24 13:00:00,211.9,213.29,211.47,212.79,257042
