,Open,High,Low,Close,Volume
2017-10-25 16:00:00,91.82,92.35,91.233,91.71,2187413
2017-10-26 16:00:00,91.51,92.0,90.8,91.18,1683305
2017-10-27 16:00:00,91.05,92.08,90.2,91.99,2082916
2017-10-30 16:00:00,91.58,92.32,90.99,91.02,1923358
2017-10-31 16:00:00,90.94,91.4419,90.29,91.08,1442195
2017-11-01 16:00:00,91.03,92.65,90.915,92.3,2152232
2017-11-02 16:00:00,92.21,93.6,91.91,93.46,1822777
2017-11-03 16:00:00,93.33,94.42,93.06,93.58,1868071
2017-11-06 16:00:00,93.59,94.95,93.29,94.43,1927063
2017-11-07 16:00:00,94.67,94.87,93.9473,94.57,1371193
2017-11-08 16:00:00,94.52,94.67,94.02,94.55,2035370
2017-11-09 16:00:00,93.61,94.63,93.61,94.42,1532600
2017-11-10 16:00:00,94.31,94.51,93.32,93.66,1347768
2017-11-13 16:00:00,93.66,94.21,93.2,93.32,1264829
2017-11-14 16:00:00,92.59,93.39,92.39,92.83,1774911
2017-11-15 16:00:00,92.2,93.06,91.45,92.57,1765992
2017-11-16 16:00:00,92.0,92.74,91.54,92.46,2198575
2017-11-17 16:00:00,92.24,93.19,91.97,92.65,1340724
2017-11-20 16:00:00,92.49,92.9801,92.15,92.62,920207
2017-11-21 16:00:00,92.93,94.04,92.86,93.62,1509095
2017-11-22 16:00:00,93.67,93.96,92.7,93.29,1414050
2017-11-24 13:00:00,93.33,93.86,93.29,93.64,605671
