,Open,High,Low,Close,Volume
2017-09-14 16:00:00,36.25,36.51,36.15,36.46,1034345
2017-09-15 16:00:00,36.38,36.52,36.01,36.3,1942988
2017-09-18 16:00:00,36.38,36.78,36.27,36.34,882548
2017-09-19 16:00:00,36.42,36.81,36.31,36.77,846958
2017-09-20 16:00:00,36.9,37.12,36.68,36.97,741260
2017-09-21 16:00:00,36.94,37.3699,36.94,37.06,956108
2017-09-22 16:00:00,37.05,37.19,36.8,37.12,1003139
2017-09-25 16:00:00,37.11,37.56,37.03,37.31,731445
2017-09-26 16:00:00,37.36,37.66,37.185,37.51,918604
2017-09-27 16:00:00,37.62,37.75,37.36,37.59,657741
2017-09-28 16:00:00,37.56,37.66,37.0701,37.52,1271179
2017-09-29 16:00:00,37.49,37.61,37.27,37.37,737548
2017-10-02 16:00:00,37.21,37.58,37.21,37.42,1555672
2017-10-03 16:00:00,37.45,37.57,37.23,37.49,821305
2017-10-04 16:00:00,37.45,37.67,37.04,37.14,877862
2017-10-05 16:00:00,37.2,37.55,37.2,37.5,1109794
2017-10-06 16:00:00,37.33,37.545,37.22,37.54,786031
2017-10-09 16:00:00,37.58,37.66,37.25,37.37,955567
2017-10-10 16:00:00,37.43,37.65,37.15,37.36,1050467
2017-10-11 16:00:00,37.48,37.48,37.29,37.29,33622
2017-10-12 16:00:00,37.42,37.7,37.34,37.5,987790
2017-10-13 16:00:00,37.75,37.79,37.21,37.29,859063
2017-10-16 16:00:00,37.69,38.35,37.64,37.84,1378668
2017-10-17 16:00:00,37.82,37.83,37.33,37.45,795882
2017-10-18 16:00:00,37.45,37.58,37.23,37.4,1030710
2017-10-19 16:00:00,37.29,37.39,36.88,37.17,809545
2017-10-20 16:00:00,37.35,37.65,36.94,37.45,1197807
2017-10-23 16:00:00,37.48,37.57,37.28,37.48,712185
2017-10-24 16:00:00,37.71,38.06,37.52,37.88,966555
2017-10-25 16:00:00,37.82,38.06,37.16,37.37,975456
2017-10-26 16:00:00,37.41,37.97,37.29,37.83,922124
2017-10-27 16:00:00,37.76,38.23,37.72,37.98,1002898
2017-10-30 16:00:00,37.86,38.13,37.79,38.06,944324
2017-10-31 16:00:00,38.15,38.175,37.67,37.73,1766738
2017-11-01 16:00:00,37.79,37.97,37.27,37.34,1958646
2017-11-02 16:00:00,36.79,38.0447,36.04,36.56,2522737
2017-11-03 16:00:00,36.47,36.63,35.51,35.66,1915104
2017-11-06 16:00:00,35.71,36.5,35.62,36.31,1478720
2017-11-07 16:00:00,36.18,36.265,35.7,36.21,1683954
2017-11-08 16:00:00,36.05,36.6,35.84,36.34,1404489
2017-11-09 16:00:00,36.06,36.19,35.45,35.51,1261714
2017-11-10 16:00:00,35.43,35.975,35.38,35.84,850382
2017-11-13 16:00:00,35.66,36.79,35.66,36.72,1867952
2017-11-14 16:00:00,36.39,36.39,35.73,35.75,1838986
2017-11-15 16:00:00,35.55,35.96,35.3,35.35,1705125
2017-11-16 16:00:00,35.49,36.075,35.44,35.97,1703676
2017-11-17 16:00:00,35.81,36.365,35.81,36.01,1589178
2017-11-20 16:00:00,36.05,36.71,35.96,36.47,1611786
2017-11-21 16:00:00,36.79,37.14,36.55,36.89,1104695
2017-11-22 16:00:00,37.01,37.01,36.4,36.47,740860
2017-11-24 13:00:00,36.53,36.53,36.04,36.13,369104
2017-11-27 16:00:00,36.16,36.31,36.02,36.16,1021166
2017-11-28 16:00:00,36.38,37.1,36.3698,37.06,1013905
2017-11-29 16:00:00,37.1,37.71,37.04,37.65,1511255
2017-11-30 16:00:00,37.74,38.2,37.265,37.9,1898858
2017-12-01 16:00:00,37.93,38.0,36.34,37.39,1965550
2017-12-04 16:00:00,37.89,39.2,37.89,38.8,2746870
2017-12-05 16:00:00,38.91,38.95,38.37,38.42,1796826
2017-12-06 16:00:00,38.26,38.55,38.01,38.29,1356614
2017-12-07 16:00:00,38.13,38.63,37.99,38.45,1006846
2017-12-08 16:00:00,38.73,39.42,38.38,39.4,1364573
2017-12-11 16:00:00,39.31,39.53,39.05,39.17,1595451
2017-12-12 16:00:00,39.12,39.67,39.07,39.12,1249353
2017-12-13 16:00:00,39.08,39.08,38.26,38.29,1606999
