,Open,High,Low,Close,Volume
2017-10-25 16:00:00,142.32,143.43,140.31,142.16,1469817
2017-10-26 16:00:00,142.5,143.57,141.351,142.31,1421670
2017-10-27 16:00:00,141.98,146.44,140.65,145.38,1259650
2017-10-30 16:00:00,145.52,147.1,145.21,146.26,1598058
2017-10-31 16:00:00,146.62,150.54,146.51,149.67,2810190
2017-11-01 16:00:00,150.92,155.25,150.67,153.97,2662968
2017-11-02 16:00:00,153.54,154.86,144.13,147.8,3416377
2017-11-03 16:00:00,147.52,152.25,147.27,150.29,2152007
2017-11-06 16:00:00,151.32,158.98,151.0,158.8,3066944
2017-11-07 16:00:00,159.5,161.91,157.365,161.67,3331831
2017-11-08 16:00:00,160.81,162.52,158.9,159.57,1955193
2017-11-09 16:00:00,158.66,161.8,158.35,161.14,2136242
2017-11-10 16:00:00,160.57,161.54,158.24,158.93,1394565
2017-11-13 16:00:00,158.82,159.84,156.375,156.92,1266370
2017-11-14 16:00:00,156.4,156.675,152.39,152.81,1859818
2017-11-15 16:00:00,151.3,151.98,148.1,151.51,1660661
2017-11-16 16:00:00,151.59,152.23,149.83,151.04,955500
2017-11-17 16:00:00,151.43,153.29,150.94,152.22,952638
2017-11-20 16:00:00,151.86,152.3199,150.61,151.51,1030420
2017-11-21 16:00:00,152.59,153.34,151.38,152.23,1043291
2017-11-22 16:00:00,153.55,155.42,152.72,154.08,1044210
2017-11-24 13:00:00,155.32,155.87,154.1,154.1,372901
