,Open,High,Low,Close,Volume
2017-10-25 16:00:00,121.75,122.86,120.71,121.28,1287981
2017-10-26 16:00:00,122.08,123.28,121.84,123.06,1036447
2017-10-27 16:00:00,122.92,125.82,121.7,124.21,2192885
2017-10-30 16:00:00,123.67,123.95,121.33,121.99,1986620
2017-10-31 16:00:00,122.37,125.26,122.185,123.77,1454981
2017-11-01 16:00:00,124.25,124.745,120.28,120.86,2092335
2017-11-02 16:00:00,121.02,124.59,120.93,123.09,2195194
2017-11-03 16:00:00,123.45,123.8,122.77,123.18,840372
2017-11-06 16:00:00,123.64,127.24,123.64,125.34,2427377
2017-11-07 16:00:00,132.19,133.75,126.86,129.23,3568522
2017-11-08 16:00:00,129.49,130.18,128.36,128.92,1779046
2017-11-09 16:00:00,128.38,129.08,126.12,126.67,2007557
2017-11-10 16:00:00,125.17,125.39,120.76,124.22,2426833
2017-11-13 16:00:00,122.89,124.75,122.86,124.48,1342033
2017-11-14 16:00:00,122.78,123.665,121.39,123.51,1818885
2017-11-15 16:00:00,122.92,123.8,121.67,122.52,1038183
2017-11-16 16:00:00,122.98,123.74,121.635,122.79,1368586
2017-11-17 16:00:00,122.19,124.53,122.19,124.4,1458395
2017-11-20 16:00:00,124.4,124.84,122.7801,123.95,1009447
2017-11-21 16:00:00,124.53,125.53,123.18,124.79,1086532
2017-11-22 16:00:00,125.29,125.64,124.32,125.45,819465
2017-11-24 13:00:00,125.9,125.9,124.66,125.21,488595
