,Open,High,Low,Close,Volume
2017-10-25 16:00:00,63.02,63.205,61.91,62.93,688199
2017-10-26 16:00:00,63.27,63.27,61.8,62.38,590817
2017-10-27 16:00:00,62.21,62.7,61.49,62.52,807164
2017-10-30 16:00:00,62.54,62.92,62.185,62.24,589044
2017-10-31 16:00:00,62.22,62.42,61.19,61.55,934493
2017-11-01 16:00:00,61.56,62.58,61.5572,62.12,1043779
2017-11-02 16:00:00,63.98,65.51,63.405,65.28,1448627
2017-11-03 16:00:00,64.69,65.38,63.95,64.1,1302643
2017-11-06 16:00:00,64.22,64.93,63.94,64.24,711417
2017-11-07 16:00:00,64.33,65.86,64.28,65.26,873197
2017-11-08 16:00:00,65.31,66.26,65.31,65.76,995003
2017-11-09 16:00:00,65.55,66.94,65.55,66.32,703842
2017-11-10 16:00:00,65.99,66.72,65.99,66.45,932558
2017-11-13 16:00:00,66.73,67.25,66.18,67.21,891867
2017-11-14 16:00:00,66.65,66.98,66.02,66.91,646825
2017-11-15 16:00:00,66.95,67.27,66.35,66.87,880158
2017-11-16 16:00:00,66.74,67.5,66.34,67.26,803790
2017-11-17 16:00:00,67.11,67.83,67.11,67.4,565348
2017-11-20 16:00:00,67.47,67.57,66.97,67.19,818673
2017-11-21 16:00:00,67.19,67.9,67.08,67.81,934540
2017-11-22 16:00:00,67.51,68.2,67.51,67.67,531170
2017-11-24 13:00:00,67.9,67.98,67.44,67.81,271923
