,Open,High,Low,Close,Volume
2017-10-25 16:00:00,424.53,429.7295,420.515,421.93,982153
2017-10-26 16:00:00,416.7,420.61,412.49,416.04,852174
2017-10-27 16:00:00,413.29,416.04,406.52,409.22,1111591
2017-10-30 16:00:00,407.53,417.22,405.0,406.52,812649
2017-10-31 16:00:00,407.4,409.945,400.19,402.62,1051225
2017-11-01 16:00:00,403.81,405.5042,394.56,397.0,1161046
2017-11-02 16:00:00,400.0,402.99,395.45,397.45,1453298
2017-11-03 16:00:00,400.02,408.55,400.02,408.41,896616
2017-11-06 16:00:00,410.01,416.89,406.5,406.63,833960
2017-11-07 16:00:00,407.26,411.665,401.76,404.39,786003
2017-11-08 16:00:00,418.01,432.5,405.0,415.17,1310387
2017-11-09 16:00:00,409.44,414.02,396.53,406.21,942555
2017-11-10 16:00:00,405.45,405.745,398.37,404.54,771161
2017-11-13 16:00:00,398.26,402.13,391.21,393.62,1417539
2017-11-14 16:00:00,392.75,395.59,383.831,384.8,1109597
2017-11-15 16:00:00,384.87,389.027,383.81,386.3,753795
2017-11-16 16:00:00,386.99,395.66,381.64,394.69,674207
2017-11-17 16:00:00,393.08,396.36,390.52,391.59,669073
2017-11-20 16:00:00,391.74,393.32,383.42,385.22,845715
2017-11-21 16:00:00,385.0,388.22,383.3,384.44,784720
2017-11-22 16:00:00,384.55,388.39,384.5,387.54,367535
2017-11-24 13:00:00,388.4,392.99,384.25,384.85,250593
