,Open,High,Low,Close,Volume
2017-10-25 16:00:00,51.98,53.49,51.24,51.59,2517534
2017-10-26 16:00:00,51.84,53.48,51.76,53.26,1134656
2017-10-27 16:00:00,53.14,53.5,52.17,52.84,1166756
2017-10-30 16:00:00,52.55,52.64,50.9,51.0,1795520
2017-10-31 16:00:00,50.97,52.15,50.97,51.77,718142
2017-11-01 16:00:00,51.98,52.085,51.045,51.55,856175
2017-11-02 16:00:00,51.57,51.99,50.99,51.85,589211
2017-11-03 16:00:00,51.69,52.43,51.63,52.34,925518
2017-11-06 16:00:00,52.01,52.61,51.535,52.25,942779
2017-11-07 16:00:00,52.3,52.48,51.54,52.43,947687
2017-11-08 16:00:00,52.35,52.91,52.15,52.74,670260
2017-11-09 16:00:00,52.58,53.09,52.32,52.55,834922
2017-11-10 16:00:00,52.56,52.97,52.23,52.9,461792
2017-11-13 16:00:00,52.75,53.7,52.59,53.53,920484
2017-11-14 16:00:00,53.18,53.71,52.96,53.51,784212
2017-11-15 16:00:00,53.38,53.93,52.9,53.43,970910
2017-11-16 16:00:00,53.78,55.16,53.46,54.9,1357426
2017-11-17 16:00:00,54.82,55.22,54.24,54.9,1202832
2017-11-20 16:00:00,54.9,55.04,54.54,54.9,1121922
2017-11-21 16:00:00,54.99,55.12,54.5,55.11,1077512
2017-11-22 16:00:00,54.89,54.97,54.445,54.59,695775
2017-11-24 13:00:00,54.74,54.77,54.44,54.69,388903
