,Open,High,Low,Close,Volume
2017-09-14 16:00:00,107.42,107.86,106.88,107.74,929077
2017-09-15 16:00:00,107.77,107.77,106.66,107.3,1208885
2017-09-18 16:00:00,107.83,108.385,107.29,107.44,1173035
2017-09-19 16:00:00,107.82,107.84,106.5301,107.14,1981915
2017-09-20 16:00:00,107.24,107.45,106.24,106.99,1809846
2017-09-21 16:00:00,107.35,107.35,106.07,106.84,1472828
2017-09-22 16:00:00,106.86,107.42,105.791,106.3,1899551
2017-09-25 16:00:00,106.73,107.13,104.51,105.76,4823640
2017-09-26 16:00:00,111.28,113.73,107.25,110.07,6247686
2017-09-27 16:00:00,110.65,111.23,109.8,109.92,2215215
2017-09-28 16:00:00,109.48,110.37,109.33,109.59,1313096
2017-09-29 16:00:00,109.8,110.93,109.57,110.86,1587701
2017-10-02 16:00:00,111.22,112.665,110.42,112.18,2791163
2017-10-03 16:00:00,112.19,112.91,111.78,111.93,1183138
2017-10-04 16:00:00,111.89,113.02,111.365,112.74,1202418
2017-10-05 16:00:00,113.15,115.62,112.66,115.52,2201348
2017-10-06 16:00:00,115.16,117.22,114.43,117.06,2041735
2017-10-09 16:00:00,117.0,117.97,116.9,117.07,1707626
2017-10-10 16:00:00,117.29,118.36,116.93,118.35,1475255
2017-10-11 16:00:00,118.0,118.33,117.8142,118.17,192292
2017-10-12 16:00:00,119.31,121.22,119.29,120.91,3081371
2017-10-13 16:00:00,121.35,122.31,120.87,121.1,1553142
2017-10-16 16:00:00,121.13,121.23,120.16,120.89,1015953
2017-10-17 16:00:00,120.36,121.12,120.08,121.12,1198245
2017-10-18 16:00:00,121.18,121.27,120.1089,120.69,1074395
2017-10-19 16:00:00,120.0,121.67,118.68,121.6,1233377
2017-10-20 16:00:00,121.97,122.36,121.35,121.8,1394238
2017-10-23 16:00:00,122.21,122.9499,122.01,122.13,1082897
2017-10-24 16:00:00,120.1,121.74,119.17,121.28,1680464
2017-10-25 16:00:00,120.93,121.64,119.68,120.22,1542448
2017-10-26 16:00:00,120.57,121.15,119.91,120.29,1507519
2017-10-27 16:00:00,120.78,121.38,120.0,120.77,1049584
2017-10-30 16:00:00,120.44,121.24,119.72,121.1,1075680
2017-10-31 16:00:00,121.34,121.66,120.41,120.83,1034761
2017-11-01 16:00:00,121.3,121.64,120.16,121.26,1197577
2017-11-02 16:00:00,121.03,121.595,120.38,120.99,928950
2017-11-03 16:00:00,120.81,121.64,120.8,121.64,866148
2017-11-06 16:00:00,121.7,122.2,121.01,121.08,962960
2017-11-07 16:00:00,121.49,122.42,120.87,121.92,1064735
2017-11-08 16:00:00,121.78,124.45,121.58,123.92,1388509
2017-11-09 16:00:00,123.1,123.71,121.7,123.5,1664575
2017-11-10 16:00:00,123.05,124.56,122.85,124.18,1141818
2017-11-13 16:00:00,123.94,124.21,123.11,123.99,1178194
2017-11-14 16:00:00,123.7,124.53,123.29,124.49,1099964
2017-11-15 16:00:00,124.13,124.24,122.97,123.82,970857
2017-11-16 16:00:00,124.9,126.67,124.39,126.63,2357615
2017-11-17 16:00:00,126.2,126.46,125.065,125.95,1376315
2017-11-20 16:00:00,126.39,127.08,125.88,127.0,966113
2017-11-21 16:00:00,127.74,129.23,127.32,128.51,1174351
2017-11-22 16:00:00,128.32,128.32,126.34,126.59,832475
2017-11-24 13:00:00,127.27,128.36,127.02,128.36,480521
2017-11-27 16:00:00,128.78,129.11,127.46,128.2,1058048
2017-11-28 16:00:00,128.71,129.61,128.25,129.24,1212379
2017-11-29 16:00:00,129.0,129.01,122.32,124.49,2166170
2017-11-30 16:00:00,125.36,126.97,124.63,126.76,1842180
2017-12-01 16:00:00,126.13,126.77,123.08,125.26,1433024
2017-12-04 16:00:00,126.46,126.48,120.28,120.31,2778972
2017-12-05 16:00:00,119.65,123.1001,117.76,120.87,2263041
2017-12-06 16:00:00,120.89,122.16,120.1001,121.94,1988106
2017-12-07 16:00:00,122.0,124.4,121.95,123.8,1153905
2017-12-08 16:00:00,124.57,125.54,124.1688,125.29,1107754
2017-12-11 16:00:00,125.37,126.93,125.34,126.62,1654285
2017-12-12 16:00:00,125.75,127.08,125.16,125.75,1202533
2017-12-13 16:00:00,126.21,127.95,125.85,126.49,1383719
