,Open,High,Low,Close,Volume
2017-10-25 16:00:00,90.8,92.4,90.2,91.85,1512060
2017-10-26 16:00:00,91.87,92.84,91.22,91.26,1412041
2017-10-27 16:00:00,90.5,91.71,89.83,91.09,1300621
2017-10-30 16:00:00,90.43,92.17,90.05,91.81,1951068
2017-10-31 16:00:00,91.25,91.9,89.05,89.43,2034425
2017-11-01 16:00:00,90.21,90.31,88.51,89.45,2374629
2017-11-02 16:00:00,95.0,97.2,88.69,91.73,5253255
2017-11-03 16:00:00,91.73,92.41,89.71,90.67,1587960
2017-11-06 16:00:00,91.0,91.09,87.145,88.03,2247924
2017-11-07 16:00:00,88.11,88.14,83.91,85.0,2829166
2017-11-08 16:00:00,85.13,86.69,84.53,85.43,2051785
2017-11-09 16:00:00,85.21,87.32,85.21,86.3,1722030
2017-11-10 16:00:00,86.41,87.915,86.36,86.63,1114214
2017-11-13 16:00:00,86.72,87.34,86.34,86.67,1466632
2017-11-14 16:00:00,86.15,87.46,86.15,87.2,905413
2017-11-15 16:00:00,86.91,87.84,86.42,87.13,1010129
2017-11-16 16:00:00,86.98,88.71,85.91,88.41,1290506
2017-11-17 16:00:00,89.69,89.87,88.5,89.11,1078041
2017-11-20 16:00:00,88.98,89.87,88.8,89.56,876709
2017-11-21 16:00:00,89.87,90.38,88.86,90.27,785582
2017-11-22 16:00:00,90.16,92.9759,90.1,91.94,1251227
2017-11-24 13:00:00,92.23,93.0,91.14,91.42,526570
