,Open,High,Low,Close,Volume
2017-10-25 16:00:00,78.58,79.91,77.71,78.4,724825
2017-10-26 16:00:00,78.53,79.65,77.87,78.61,836691
2017-10-27 16:00:00,81.88,87.81,81.01,84.42,1970529
2017-10-30 16:00:00,84.55,84.55,82.74,82.99,1142862
2017-10-31 16:00:00,83.35,84.32,83.204,84.18,717155
2017-11-01 16:00:00,84.68,85.88,84.5,85.77,989125
2017-11-02 16:00:00,84.68,84.89,82.33,82.86,1133420
2017-11-03 16:00:00,82.09,83.73,81.75,83.12,1129721
2017-11-06 16:00:00,83.2,83.93,82.65,83.24,450270
2017-11-07 16:00:00,83.24,83.38,82.36,82.49,825459
2017-11-08 16:00:00,82.16,82.75,81.78,82.19,1230839
2017-11-09 16:00:00,82.05,82.9,81.97,82.72,597998
2017-11-10 16:00:00,82.32,83.07,81.52,83.06,374875
2017-11-13 16:00:00,82.39,84.3699,81.9,84.0,918204
2017-11-14 16:00:00,83.52,84.25,82.77,84.22,668657
2017-11-15 16:00:00,84.0,84.4399,83.37,84.25,497633
2017-11-16 16:00:00,84.29,85.2,84.27,84.98,649972
2017-11-17 16:00:00,84.84,84.91,83.65,84.63,459413
2017-11-20 16:00:00,84.6,84.73,83.54,84.71,422857
2017-11-21 16:00:00,84.83,85.69,84.36,85.66,611364
2017-11-22 16:00:00,85.41,85.41,84.77,85.27,637414
2017-11-24 13:00:00,85.27,85.56,84.49,85.11,153592
