,Open,High,Low,Close,Volume
2017-09-14 16:00:00,235.07,236.5,234.91,236.41,241441
2017-09-15 16:00:00,235.79,238.1,235.28,237.83,409087
2017-09-18 16:00:00,238.45,239.34,237.02,237.81,375801
2017-09-19 16:00:00,237.85,239.27,236.985,238.6,242407
2017-09-20 16:00:00,241.65,247.3,240.19,246.22,801725
2017-09-21 16:00:00,246.15,247.4899,244.22,246.56,398665
2017-09-22 16:00:00,246.09,247.54,245.44,246.16,319153
2017-09-25 16:00:00,246.21,246.6,242.86,244.26,310019
2017-09-26 16:00:00,244.76,245.68,242.75,243.41,262978
2017-09-27 16:00:00,244.05,244.92,240.34,241.03,369811
2017-09-28 16:00:00,240.42,241.73,240.04,241.71,391190
2017-09-29 16:00:00,241.37,243.83,240.845,243.4,305758
2017-10-02 16:00:00,243.45,247.91,243.45,247.8,343898
2017-10-03 16:00:00,248.56,249.94,247.45,249.86,341848
2017-10-04 16:00:00,249.86,251.1,249.16,249.66,255652
2017-10-05 16:00:00,249.76,251.53,248.99,251.02,265709
2017-10-06 16:00:00,251.1,252.17,250.16,251.99,206303
2017-10-09 16:00:00,252.46,252.56,250.575,251.26,587232
2017-10-10 16:00:00,251.7,252.49,250.7599,251.76,493411
2017-10-11 16:00:00,251.81,251.929,250.24,250.835,13495
2017-10-12 16:00:00,249.17,252.25,249.1,252.05,295982
2017-10-13 16:00:00,252.2,253.16,249.49,250.1,368751
2017-10-16 16:00:00,250.19,251.865,249.24,251.77,187756
2017-10-17 16:00:00,251.4,252.07,250.37,250.7,511922
2017-10-18 16:00:00,251.03,251.39,249.24,250.23,228769
2017-10-19 16:00:00,249.72,251.96,248.93,251.96,299611
2017-10-20 16:00:00,252.86,254.82,252.175,254.82,224083
2017-10-23 16:00:00,255.91,256.061,253.47,253.74,240452
2017-10-24 16:00:00,255.0,255.66,253.6,254.83,253165
2017-10-25 16:00:00,254.68,256.0,253.7,255.16,295352
2017-10-26 16:00:00,256.39,257.76,255.23,257.52,273237
2017-10-27 16:00:00,257.13,257.82,254.42,257.57,396462
2017-10-30 16:00:00,252.35,258.81,248.03,257.05,565032
2017-10-31 16:00:00,257.71,261.07,256.6,258.17,453657
2017-11-01 16:00:00,259.33,260.22,257.1,258.21,361823
2017-11-02 16:00:00,258.06,258.76,255.85,256.68,336256
2017-11-03 16:00:00,256.95,259.25,256.12,258.06,364233
2017-11-06 16:00:00,257.89,259.645,256.63,258.2,236994
2017-11-07 16:00:00,258.79,261.37,257.73,260.35,357807
2017-11-08 16:00:00,260.11,260.37,258.71,259.26,355450
2017-11-09 16:00:00,257.97,259.42,255.79,257.83,597806
2017-11-10 16:00:00,257.65,259.63,255.935,258.2,408878
2017-11-13 16:00:00,257.3,257.65,254.95,256.04,443787
2017-11-14 16:00:00,256.08,257.98,254.22,256.6,299013
2017-11-15 16:00:00,255.79,257.01,253.85,255.39,336605
2017-11-16 16:00:00,256.22,257.55,255.07,256.5,321083
2017-11-17 16:00:00,255.13,257.58,254.53,256.34,345253
2017-11-20 16:00:00,256.31,259.38,256.27,258.11,207840
2017-11-21 16:00:00,258.4,261.58,257.94,260.48,357899
2017-11-22 16:00:00,260.6,261.88,259.8,260.58,251793
2017-11-24 13:00:00,261.11,261.835,259.76,260.36,100726
2017-11-27 16:00:00,261.06,262.84,259.96,260.63,331487
2017-11-28 16:00:00,261.15,265.33,259.52,265.04,447489
2017-11-29 16:00:00,265.36,265.68,261.96,262.24,398673
2017-11-30 16:00:00,262.8,267.8325,262.27,267.21,420997
2017-12-01 16:00:00,265.68,266.3,257.3198,260.6,496342
2017-12-04 16:00:00,263.53,264.63,261.72,261.87,552982
2017-12-05 16:00:00,262.46,262.46,257.8701,258.2,348857
2017-12-06 16:00:00,258.38,260.28,257.88,258.91,302906
2017-12-07 16:00:00,259.16,261.375,258.71,260.48,432512
2017-12-08 16:00:00,261.99,261.99,258.85,260.58,269916
2017-12-11 16:00:00,261.0,261.0,255.67,256.46,649844
2017-12-12 16:00:00,255.42,257.47,254.4511,255.42,700537
2017-12-13 16:00:00,255.14,257.48,253.5,255.9,447398
