,Open,High,Low,Close,Volume
2017-09-14 16:00:00,61.28,61.44,60.29,60.6,2800941
2017-09-15 16:00:00,60.57,60.93,60.0,60.71,3528360
2017-09-18 16:00:00,60.81,60.99,59.95,60.81,2373688
2017-09-19 16:00:00,60.88,61.205,60.69,61.15,3052350
2017-09-20 16:00:00,61.3,61.43,60.625,60.92,1746960
2017-09-21 16:00:00,61.1,61.26,60.65,60.91,2352147
2017-09-22 16:00:00,60.63,61.07,60.31,60.89,1644545
2017-09-25 16:00:00,62.69,63.58,62.5,62.86,3860682
2017-09-26 16:00:00,63.01,63.94,62.67,63.79,3651706
2017-09-27 16:00:00,63.68,65.3,63.64,64.84,4556816
2017-09-28 16:00:00,64.56,64.85,63.73,64.8,4223975
2017-09-29 16:00:00,64.92,65.21,64.5,64.57,2501677
2017-10-02 16:00:00,64.34,64.92,63.73,64.69,2507345
2017-10-03 16:00:00,64.55,65.15,64.45,64.91,1775298
2017-10-04 16:00:00,65.01,65.3799,64.34,65.23,3286933
2017-10-05 16:00:00,65.22,65.65,65.05,65.53,2227168
2017-10-06 16:00:00,65.33,66.16,65.32,65.99,2385409
2017-10-09 16:00:00,65.96,65.96,65.07,65.29,1268100
2017-10-10 16:00:00,65.29,65.51,64.6,64.84,1761936
2017-10-11 16:00:00,64.96,65.23,64.39,64.55,2754383
2017-10-12 16:00:00,64.55,64.66,63.16,63.28,3254305
2017-10-13 16:00:00,63.39,63.605,62.91,63.12,2812713
2017-10-16 16:00:00,63.03,63.39,62.34,62.91,2226095
2017-10-17 16:00:00,63.0,63.6,62.86,63.24,1783755
2017-10-18 16:00:00,63.22,63.55,62.86,63.32,1860777
2017-10-19 16:00:00,63.35,63.615,62.93,63.39,1771514
2017-10-20 16:00:00,63.7,64.34,63.41,64.23,2334638
2017-10-23 16:00:00,64.15,64.91,63.965,64.31,1891156
2017-10-24 16:00:00,64.34,64.76,64.14,64.34,2020707
2017-10-25 16:00:00,64.0,64.32,63.3,63.84,2364173
2017-10-26 16:00:00,64.02,64.71,63.71,64.27,1624035
2017-10-27 16:00:00,63.64,64.09,63.29,63.82,2537178
2017-10-30 16:00:00,63.59,63.59,62.59,63.42,2159635
2017-10-31 16:00:00,63.68,64.87,63.41,63.49,1983728
2017-11-01 16:00:00,63.74,64.12,63.17,63.48,1965682
2017-11-02 16:00:00,63.85,64.67,63.55,64.36,1948277
2017-11-03 16:00:00,64.17,64.55,64.05,64.13,1645382
2017-11-06 16:00:00,64.11,64.73,62.8477,64.14,2052865
2017-11-07 16:00:00,64.21,64.82,64.0,64.79,2680369
2017-11-08 16:00:00,64.63,64.88,63.78,63.87,2373361
2017-11-09 16:00:00,63.56,65.19,63.55,64.57,2392055
2017-11-10 16:00:00,64.29,65.8,64.29,65.76,3430702
2017-11-13 16:00:00,65.16,65.89,64.71,64.91,2613042
2017-11-14 16:00:00,64.02,64.91,63.56,64.47,3992385
2017-11-15 16:00:00,64.24,65.52,63.91,64.61,3327996
2017-11-16 16:00:00,64.56,65.99,64.38,65.69,4665751
2017-11-17 16:00:00,72.13,73.94,71.02,72.25,8241924
2017-11-20 16:00:00,72.39,72.855,71.67,72.74,4161609
2017-11-21 16:00:00,72.97,72.9992,71.89,72.67,3069354
2017-11-22 16:00:00,72.25,72.81,72.0,72.3,2287837
2017-11-24 13:00:00,72.27,72.69,71.18,71.32,1045380
2017-11-27 16:00:00,71.6,71.955,71.02,71.33,2557214
2017-11-28 16:00:00,71.36,72.89,70.84,72.81,3015419
2017-11-29 16:00:00,72.95,76.33,72.73,75.95,5689796
2017-11-30 16:00:00,75.97,77.2,74.93,76.03,5023895
2017-12-01 16:00:00,75.64,76.33,74.28,75.73,3100709
2017-12-04 16:00:00,76.42,78.81,76.24,78.01,4498211
2017-12-05 16:00:00,78.22,78.78,76.99,77.02,2403457
2017-12-06 16:00:00,77.26,77.97,76.63,76.79,2037567
2017-12-07 16:00:00,77.09,77.48,76.5,76.7,1748860
2017-12-08 16:00:00,77.01,77.11,76.15,76.89,2093924
2017-12-11 16:00:00,76.7,77.21,76.02,76.76,2070695
2017-12-12 16:00:00,76.74,77.19,76.21,76.41,2096538
2017-12-13 16:00:00,76.68,77.57,76.52,76.97,2014162
