,Open,High,Low,Close,Volume
2017-09-14 16:00:00,18.36,18.85,18.24,18.78,9914287
2017-09-15 16:00:00,18.73,18.8,18.37,18.54,13173710
2017-09-18 16:00:00,18.52,19.31,18.52,19.14,6670145
2017-09-19 16:00:00,19.19,19.24,18.84,19.04,5240122
2017-09-20 16:00:00,19.11,19.72,18.93,19.26,10247278
2017-09-21 16:00:00,19.03,19.12,18.59,18.8,5132304
2017-09-22 16:00:00,18.77,19.02,18.66,18.92,4162033
2017-09-25 16:00:00,19.01,19.299,18.99,19.23,7339839
2017-09-26 16:00:00,19.16,19.81,19.04,19.78,5029847
2017-09-27 16:00:00,19.82,20.42,19.7596,20.41,7694329
2017-09-28 16:00:00,20.38,20.415,19.45,19.72,8807469
2017-09-29 16:00:00,19.68,19.73,19.36,19.57,5236901
2017-10-02 16:00:00,19.26,20.44,19.08,20.42,6103775
2017-10-03 16:00:00,20.34,20.58,19.88,20.0,6730064
2017-10-04 16:00:00,20.13,20.54,20.059,20.21,3950203
2017-10-05 16:00:00,20.29,20.65,20.15,20.58,6309642
2017-10-06 16:00:00,20.39,20.56,19.89,19.99,5996277
2017-10-09 16:00:00,19.99,20.03,19.65,19.73,2832571
2017-10-10 16:00:00,20.06,20.26,19.58,19.61,4131371
2017-10-11 16:00:00,20.22,20.28,19.93,20.04,775947
2017-10-12 16:00:00,19.77,19.93,19.33,19.8,4632260
2017-10-13 16:00:00,20.07,20.07,19.375,19.44,3995318
2017-10-16 16:00:00,19.51,19.825,19.17,19.51,5263743
2017-10-17 16:00:00,19.51,19.8737,19.4,19.45,4404531
2017-10-18 16:00:00,19.42,19.725,18.95,19.0,5790970
2017-10-19 16:00:00,18.8,19.11,18.61,19.0,5163662
2017-10-20 16:00:00,18.9,19.07,18.76,18.86,3679320
2017-10-23 16:00:00,18.78,19.025,18.44,18.45,5217278
2017-10-24 16:00:00,18.61,18.82,18.31,18.59,5313382
2017-10-25 16:00:00,18.09,18.57,17.78,18.08,10355557
2017-10-26 16:00:00,18.03,18.03,17.44,17.72,8772553
2017-10-27 16:00:00,17.59,18.1399,17.41,18.06,8712376
2017-10-30 16:00:00,18.22,18.26,17.83,17.95,7590915
2017-10-31 16:00:00,17.85,18.21,17.62,18.11,7146564
2017-11-01 16:00:00,18.38,18.585,18.19,18.43,7584432
2017-11-02 16:00:00,18.54,18.54,17.71,17.87,8991042
2017-11-03 16:00:00,17.88,18.28,17.67,18.13,5417986
2017-11-06 16:00:00,18.14,19.25,17.97,19.18,11545613
2017-11-07 16:00:00,19.21,19.29,18.75,18.97,10224589
2017-11-08 16:00:00,18.99,18.99,18.3,18.62,9038804
2017-11-09 16:00:00,18.6,19.05,18.45,18.9,6088457
2017-11-10 16:00:00,18.84,19.375,18.79,19.23,6383930
2017-11-13 16:00:00,19.15,19.17,18.53,18.58,5595699
2017-11-14 16:00:00,18.39,18.455,17.28,17.35,8683266
2017-11-15 16:00:00,17.19,17.22,16.88,17.08,6269033
2017-11-16 16:00:00,17.12,17.52,17.11,17.2,4620555
2017-11-17 16:00:00,17.32,18.06,17.29,18.03,7819932
2017-11-20 16:00:00,17.84,17.85,17.23,17.3,4072187
2017-11-21 16:00:00,17.45,17.7,17.12,17.18,3728766
2017-11-22 16:00:00,17.38,17.83,17.32,17.69,4366012
2017-11-24 13:00:00,17.77,17.7899,17.34,17.37,2394508
2017-11-27 16:00:00,17.39,17.71,17.075,17.65,4931531
2017-11-28 16:00:00,17.62,18.05,17.46,17.98,7569495
2017-11-29 16:00:00,18.06,18.37,17.755,18.0,6068120
2017-11-30 16:00:00,18.11,18.39,17.69,18.02,6933734
2017-12-01 16:00:00,18.38,18.93,18.245,18.5,6942205
2017-12-04 16:00:00,18.44,18.79,17.81,17.87,5242631
2017-12-05 16:00:00,17.73,17.9159,17.26,17.28,5337026
2017-12-06 16:00:00,17.3,17.3,16.37,16.5,8984226
2017-12-07 16:00:00,16.42,16.42,15.94,15.95,9538528
2017-12-08 16:00:00,16.1,16.29,15.91,16.08,6503426
2017-12-11 16:00:00,16.11,16.81,16.11,16.7,7447415
2017-12-12 16:00:00,16.35,16.93,16.26,16.35,7860720
2017-12-13 16:00:00,16.41,16.485,16.1501,16.24,6709471
