,Open,High,Low,Close,Volume
2017-09-14 16:00:00,66.23,66.8725,66.23,66.84,895702
2017-09-15 16:00:00,66.8,66.93,66.25,66.89,1071626
2017-09-18 16:00:00,66.95,66.95,66.67,66.94,753044
2017-09-19 16:00:00,66.81,66.98,66.62,66.86,929710
2017-09-20 16:00:00,66.86,67.18,66.58,66.59,1108567
2017-09-21 16:00:00,66.5,66.53,65.81,66.15,1546175
2017-09-22 16:00:00,66.18,66.37,66.12,66.26,885594
2017-09-25 16:00:00,66.27,66.6,66.13,66.54,724000
2017-09-26 16:00:00,66.59,66.66,66.33,66.42,693864
2017-09-27 16:00:00,66.52,66.69,66.31,66.59,744955
2017-09-28 16:00:00,66.46,66.59,66.06,66.35,921444
2017-09-29 16:00:00,66.02,66.26,65.94,66.06,1048084
2017-10-02 16:00:00,66.14,66.57,65.92,66.57,999682
2017-10-03 16:00:00,66.5,66.66,66.29,66.55,1233938
2017-10-04 16:00:00,65.02,65.46,62.46,63.31,3957701
2017-10-05 16:00:00,63.27,64.01,63.27,63.7,2021806
2017-10-06 16:00:00,63.32,63.56,63.04,63.18,1310948
2017-10-09 16:00:00,63.19,63.725,63.19,63.62,949225
2017-10-10 16:00:00,63.82,63.95,63.265,63.38,1037776
2017-10-11 16:00:00,63.49,63.6,63.43,63.45,47371
2017-10-12 16:00:00,63.19,63.89,63.19,63.67,1439773
2017-10-13 16:00:00,63.78,63.985,63.23,63.33,1126371
2017-10-16 16:00:00,63.24,63.32,62.69,62.76,1531225
2017-10-17 16:00:00,62.75,63.235,62.675,62.99,1250492
2017-10-18 16:00:00,63.1,63.355,63.01,63.03,1057168
2017-10-19 16:00:00,62.99,63.69,62.93,63.65,1055278
2017-10-20 16:00:00,63.89,64.36,63.7,64.19,1293230
2017-10-23 16:00:00,64.03,64.34,63.99,64.14,684844
2017-10-24 16:00:00,64.06,64.36,63.89,63.91,750775
2017-10-25 16:00:00,63.76,64.16,63.64,63.77,983910
2017-10-26 16:00:00,64.09,65.5,64.08,65.37,1460402
2017-10-27 16:00:00,65.31,65.7,65.14,65.38,957056
2017-10-30 16:00:00,65.43,65.93,64.84,65.5,2358931
2017-10-31 16:00:00,65.41,65.6,64.74,65.07,1231260
2017-11-01 16:00:00,65.19,65.29,64.2,64.55,1353831
2017-11-02 16:00:00,64.55,65.2,64.35,64.8,1381063
2017-11-03 16:00:00,64.04,64.83,63.56,63.9,2170110
2017-11-06 16:00:00,63.9,64.08,63.45,63.55,1492022
2017-11-07 16:00:00,63.45,64.19,63.37,64.14,1768039
2017-11-08 16:00:00,64.03,64.24,63.83,63.88,844438
2017-11-09 16:00:00,63.56,63.87,63.21,63.77,1154703
2017-11-10 16:00:00,63.68,63.75,63.35,63.45,835087
2017-11-13 16:00:00,63.47,63.92,63.43,63.91,768873
2017-11-14 16:00:00,63.69,64.08,63.62,63.92,1192389
2017-11-15 16:00:00,63.95,63.98,63.13,63.14,1266857
2017-11-16 16:00:00,63.14,63.46,63.08,63.24,1258184
2017-11-17 16:00:00,62.99,63.12,62.44,62.44,918701
2017-11-20 16:00:00,62.44,62.69,62.05,62.66,1244762
2017-11-21 16:00:00,62.74,63.03,62.24,63.0,1611987
2017-11-22 16:00:00,62.9,63.02,62.18,62.35,1057714
2017-11-24 13:00:00,62.45,62.55,62.23,62.33,602581
2017-11-27 16:00:00,62.5,62.86,62.44,62.65,1113970
2017-11-28 16:00:00,62.88,63.505,62.73,63.5,1048012
2017-11-29 16:00:00,63.51,64.5,63.33,64.31,1180609
2017-11-30 16:00:00,64.47,65.26,64.18,64.94,2539039
2017-12-01 16:00:00,65.1,65.27,63.66,64.22,1163570
2017-12-04 16:00:00,64.87,65.79,64.55,65.03,1714992
2017-12-05 16:00:00,65.08,65.52,64.9,65.08,1296611
2017-12-06 16:00:00,65.23,65.48,64.98,65.28,1201661
2017-12-07 16:00:00,65.19,65.35,64.87,65.24,789893
2017-12-08 16:00:00,65.4,65.4,65.01,65.14,1066261
2017-12-11 16:00:00,65.3,65.38,65.03,65.25,870983
2017-12-12 16:00:00,64.8,65.44,64.79,64.8,1369330
2017-12-13 16:00:00,64.68,65.44,64.49,65.14,1475784
