,Open,High,Low,Close,Volume
2017-09-14 16:00:00,148.02,149.735,147.68,148.77,1288352
2017-09-15 16:00:00,148.93,150.53,148.3,149.99,1898902
2017-09-18 16:00:00,150.33,151.82,149.97,150.53,974575
2017-09-19 16:00:00,150.59,150.99,144.631,145.42,2382507
2017-09-20 16:00:00,146.2,147.39,145.38,146.08,2256195
2017-09-21 16:00:00,145.27,146.3,144.69,145.01,948951
2017-09-22 16:00:00,144.75,144.97,142.54,142.62,1529418
2017-09-25 16:00:00,142.11,143.255,140.62,141.46,1740075
2017-09-26 16:00:00,141.55,142.98,141.09,142.41,1467371
2017-09-27 16:00:00,143.88,144.5699,142.17,142.98,988110
2017-09-28 16:00:00,142.16,144.0,142.09,143.76,1008043
2017-09-29 16:00:00,143.59,145.0,143.16,144.05,992621
2017-10-02 16:00:00,143.82,144.845,142.7,142.87,1052678
2017-10-03 16:00:00,142.31,144.54,142.31,143.77,894709
2017-10-04 16:00:00,144.0,147.795,143.61,147.21,1022049
2017-10-05 16:00:00,147.51,148.33,146.75,146.87,1245416
2017-10-06 16:00:00,146.4,147.58,145.16,147.32,575502
2017-10-09 16:00:00,147.36,148.59,146.87,147.73,635460
2017-10-10 16:00:00,148.48,149.48,148.07,148.42,760597
2017-10-11 16:00:00,148.92,151.57,148.46,151.35,1047898
2017-10-12 16:00:00,151.41,152.455,151.2,152.22,1147346
2017-10-13 16:00:00,152.5,152.55,150.02,150.94,838743
2017-10-16 16:00:00,150.29,150.785,148.325,149.11,1040851
2017-10-17 16:00:00,149.22,150.4,147.85,148.46,1051449
2017-10-18 16:00:00,148.17,148.62,146.71,147.4,1360162
2017-10-19 16:00:00,147.24,148.43,146.72,148.0,1625248
2017-10-20 16:00:00,148.37,149.05,147.5,147.89,834481
2017-10-23 16:00:00,148.41,148.62,147.14,147.99,594955
2017-10-24 16:00:00,147.46,148.65,147.46,148.23,737532
2017-10-25 16:00:00,148.16,148.93,146.18,146.48,772403
2017-10-26 16:00:00,147.24,147.24,145.81,146.55,1522139
2017-10-27 16:00:00,146.26,147.59,145.99,146.72,1079507
2017-10-30 16:00:00,146.98,153.65,146.39,150.17,2414784
2017-10-31 16:00:00,150.19,159.14,148.36,157.18,2151745
2017-11-01 16:00:00,157.25,157.64,151.43,152.58,1937438
2017-11-02 16:00:00,153.31,156.55,152.06,156.1,1195050
2017-11-03 16:00:00,155.09,156.18,153.8,154.53,715420
2017-11-06 16:00:00,158.52,167.44,158.21,164.42,2398861
2017-11-07 16:00:00,163.99,165.88,162.56,165.65,1369538
2017-11-08 16:00:00,165.0,170.53,165.0,169.5,878075
2017-11-09 16:00:00,169.11,170.815,168.12,169.51,886155
2017-11-10 16:00:00,167.81,169.74,166.6779,168.95,698777
2017-11-13 16:00:00,169.72,170.2,164.94,165.2,1945473
2017-11-14 16:00:00,164.97,166.69,163.16,165.53,1487951
2017-11-15 16:00:00,164.61,165.86,162.07,165.3,1361077
2017-11-16 16:00:00,166.13,168.13,164.48,164.67,903073
2017-11-17 16:00:00,164.25,165.92,163.24,165.21,1063889
2017-11-20 16:00:00,164.8,166.295,164.63,165.68,692910
2017-11-21 16:00:00,166.21,168.09,165.49,167.83,1048357
2017-11-22 16:00:00,167.75,168.37,166.0,166.98,481543
2017-11-24 13:00:00,167.8,171.29,167.54,169.72,568187
2017-11-27 16:00:00,171.0,172.93,170.67,172.35,1134551
2017-11-28 16:00:00,172.6,173.97,171.9,172.09,1005082
2017-11-29 16:00:00,171.66,172.055,167.74,169.76,1285172
2017-11-30 16:00:00,170.52,171.0,167.59,169.75,1372090
2017-12-01 16:00:00,169.8,170.64,167.73,169.16,807419
2017-12-04 16:00:00,169.15,169.205,162.12,162.2,914920
2017-12-05 16:00:00,161.73,165.87,161.23,163.87,1246678
2017-12-06 16:00:00,163.91,166.73,162.835,166.4,623815
2017-12-07 16:00:00,166.09,166.97,165.14,166.68,1232881
2017-12-08 16:00:00,167.0,167.81,164.82,165.19,564909
2017-12-11 16:00:00,165.5,166.8,164.29,166.61,1090649
2017-12-12 16:00:00,167.54,167.86,164.93,165.67,878611
2017-12-13 16:00:00,166.4,167.59,165.05,165.43,954375
