,Open,High,Low,Close,Volume
2017-09-14 16:00:00,54.38,54.71,54.1,54.53,8260770
2017-09-15 16:00:00,54.44,54.79,54.16,54.67,10744783
2017-09-18 16:00:00,54.8,54.97,54.57,54.69,6348360
2017-09-19 16:00:00,54.84,54.88,54.56,54.62,5187121
2017-09-20 16:00:00,54.58,55.18,54.58,55.15,7080035
2017-09-21 16:00:00,55.05,55.17,54.86,55.01,7178462
2017-09-22 16:00:00,55.05,55.2,54.86,55.09,6950029
2017-09-25 16:00:00,54.98,55.22,54.7,54.95,10242655
2017-09-26 16:00:00,55.06,55.22,54.795,55.13,8021851
2017-09-27 16:00:00,55.25,55.6,54.96,54.99,8609551
2017-09-28 16:00:00,54.81,55.08,54.45,54.5,7607473
2017-09-29 16:00:00,54.31,54.47,53.36,53.71,11944370
2017-10-02 16:00:00,53.86,54.04,53.75,53.81,5955980
2017-10-03 16:00:00,54.0,54.34,53.9,53.99,6137069
2017-10-04 16:00:00,54.12,54.2,53.69,53.93,5569058
2017-10-05 16:00:00,54.06,54.97,53.92,54.6,7994274
2017-10-06 16:00:00,54.51,55.45,54.245,55.17,10576278
2017-10-09 16:00:00,55.37,55.49,54.96,55.02,5822893
2017-10-10 16:00:00,55.1,55.8492,55.08,55.42,6573918
2017-10-11 16:00:00,55.46,55.8,55.26,55.64,8881897
2017-10-12 16:00:00,55.67,56.27,55.309,55.97,7234267
2017-10-13 16:00:00,56.0,56.43,55.61,55.72,6231132
2017-10-16 16:00:00,55.67,55.8,54.89,54.91,7256893
2017-10-17 16:00:00,54.86,55.23,54.29,54.51,11227337
2017-10-18 16:00:00,54.46,55.43,54.22,55.21,8299509
2017-10-19 16:00:00,55.08,55.5423,54.9,55.4,5720179
2017-10-20 16:00:00,55.31,55.4,54.175,54.57,11741092
2017-10-23 16:00:00,54.77,54.935,54.18,54.27,10111071
2017-10-24 16:00:00,54.37,54.56,54.02,54.28,7818490
2017-10-25 16:00:00,54.24,54.39,53.66,54.16,8281219
2017-10-26 16:00:00,54.5,55.75,54.5,54.91,12211440
2017-10-27 16:00:00,54.83,55.12,54.68,54.88,9922611
2017-10-30 16:00:00,54.79,55.23,54.4,55.17,6430949
2017-10-31 16:00:00,55.16,55.305,54.7,54.84,8857829
2017-11-01 16:00:00,55.1,55.59,54.94,55.13,7189764
2017-11-02 16:00:00,55.15,55.39,54.77,54.87,16879022
2017-11-03 16:00:00,54.16,56.94,54.05,56.03,28773774
2017-11-06 16:00:00,55.99,56.69,55.63,56.57,10835659
2017-11-07 16:00:00,56.33,57.29,56.33,57.22,11167447
2017-11-08 16:00:00,57.03,58.01,57.0,57.91,13533654
2017-11-09 16:00:00,57.2,57.66,56.785,57.36,14778867
2017-11-10 16:00:00,57.36,57.39,56.54,57.04,7930318
2017-11-13 16:00:00,56.81,57.14,56.55,56.64,7648192
2017-11-14 16:00:00,56.47,57.0,56.41,56.93,7758215
2017-11-15 16:00:00,56.82,57.06,56.51,56.7,8880505
2017-11-16 16:00:00,56.92,57.42,56.75,57.24,8310611
2017-11-17 16:00:00,57.24,57.43,56.84,56.93,6311519
2017-11-20 16:00:00,56.67,57.05,56.58,56.81,6360086
2017-11-21 16:00:00,56.96,57.56,56.88,57.26,6284259
2017-11-22 16:00:00,57.07,57.18,56.795,57.14,7309073
2017-11-24 13:00:00,57.19,57.19,56.71,56.8,3479177
2017-11-27 16:00:00,56.83,56.9207,55.751,55.91,10580296
2017-11-28 16:00:00,56.03,56.72,55.9101,56.66,9734431
2017-11-29 16:00:00,56.71,57.68,56.7,57.51,10017914
2017-11-30 16:00:00,57.64,58.1399,57.47,57.82,11509224
2017-12-01 16:00:00,57.5,57.71,56.461,57.32,12756391
2017-12-04 16:00:00,57.54,59.19,57.5,58.76,13302050
2017-12-05 16:00:00,59.25,59.68,58.91,59.34,11295644
2017-12-06 16:00:00,59.38,59.83,59.23,59.28,8458198
2017-12-07 16:00:00,59.12,59.275,58.761,59.14,6033792
2017-12-08 16:00:00,58.52,58.845,58.1,58.61,9950491
2017-12-11 16:00:00,58.39,59.35,58.29,59.07,10286560
2017-12-12 16:00:00,58.99,59.36,58.87,59.27,6042917
2017-12-13 16:00:00,59.44,59.89,59.3,59.49,7726299
