,Open,High,Low,Close,Volume
2017-09-14 16:00:00,43.31,43.41,43.02,43.26,2161559
2017-09-15 16:00:00,43.21,43.6199,43.21,43.45,3823117
2017-09-18 16:00:00,43.62,43.72,42.84,42.89,1762692
2017-09-19 16:00:00,42.77,43.02,41.22,41.72,5122617
2017-09-20 16:00:00,41.74,42.14,41.61,41.87,3217902
2017-09-21 16:00:00,42.45,42.97,42.18,42.44,2198606
2017-09-22 16:00:00,42.41,42.74,42.31,42.5,2520817
2017-09-25 16:00:00,42.5,42.53,42.12,42.17,1704753
2017-09-26 16:00:00,42.3,42.94,42.3,42.8,2514789
2017-09-27 16:00:00,42.88,43.03,42.1401,42.54,1986024
2017-09-28 16:00:00,42.46,43.245,42.41,42.94,2486678
2017-09-29 16:00:00,42.81,43.05,42.3,42.72,2739311
2017-10-02 16:00:00,42.75,43.13,42.53,43.01,2150670
2017-10-03 16:00:00,43.27,43.895,43.17,43.74,3162621
2017-10-04 16:00:00,43.84,44.0812,43.76,44.0,2300588
2017-10-05 16:00:00,44.02,44.405,43.88,44.09,1929536
2017-10-06 16:00:00,44.01,44.49,43.905,44.16,1731700
2017-10-09 16:00:00,44.26,44.37,44.09,44.32,1478301
2017-10-10 16:00:00,44.32,44.86,44.32,44.78,4923614
2017-10-11 16:00:00,44.77,44.93,44.52,44.64,76961
2017-10-12 16:00:00,43.84,44.21,43.71,44.14,2170241
2017-10-13 16:00:00,44.45,44.8,44.25,44.55,2389954
2017-10-16 16:00:00,44.66,44.72,44.26,44.65,1341383
2017-10-17 16:00:00,44.49,44.55,44.105,44.27,2045471
2017-10-18 16:00:00,44.33,44.515,44.05,44.08,1297572
2017-10-19 16:00:00,44.05,44.26,43.82,44.16,1270803
2017-10-20 16:00:00,44.33,45.39,44.22,45.22,3190089
2017-10-23 16:00:00,45.37,45.56,44.83,44.86,1854027
2017-10-24 16:00:00,44.84,45.1,44.48,44.56,2029444
2017-10-25 16:00:00,44.47,44.68,44.1,44.58,2439371
2017-10-26 16:00:00,44.76,44.9,44.52,44.74,1612213
2017-10-27 16:00:00,44.66,44.9,43.9001,44.6,1704013
2017-10-30 16:00:00,44.53,44.6,43.88,44.1,1881053
2017-10-31 16:00:00,44.15,44.53,43.99,44.23,2035600
2017-11-01 16:00:00,44.31,44.49,43.82,43.96,1795891
2017-11-02 16:00:00,43.81,44.0,43.34,43.89,1288434
2017-11-03 16:00:00,43.78,44.17,43.66,44.14,1109473
2017-11-06 16:00:00,44.14,44.2772,43.74,43.81,2871619
2017-11-07 16:00:00,43.79,44.01,43.48,43.61,2472959
2017-11-08 16:00:00,43.83,45.19,43.83,44.8,3904621
2017-11-09 16:00:00,44.5,45.14,44.44,44.77,2779176
2017-11-10 16:00:00,44.56,44.73,44.22,44.35,2340527
2017-11-13 16:00:00,44.35,45.08,44.23,44.98,1495718
2017-11-14 16:00:00,44.97,45.33,44.71,45.1,2521090
2017-11-15 16:00:00,44.89,45.08,44.52,44.95,1977016
2017-11-16 16:00:00,45.03,45.83,44.96,45.58,2495452
2017-11-17 16:00:00,45.45,45.83,45.25,45.72,1469714
2017-11-20 16:00:00,45.65,45.65,44.94,45.01,2182764
2017-11-21 16:00:00,45.15,45.36,44.91,45.14,2093515
2017-11-22 16:00:00,45.15,45.46,45.07,45.31,1597786
2017-11-24 13:00:00,45.59,45.71,45.235,45.57,2628326
2017-11-27 16:00:00,45.58,46.87,45.44,46.56,3193996
2017-11-28 16:00:00,46.73,47.435,46.41,47.16,2630888
2017-11-29 16:00:00,47.1,47.6825,46.93,47.34,2706295
2017-11-30 16:00:00,47.44,48.37,47.25,48.05,2438823
2017-12-01 16:00:00,47.72,48.32,47.09,47.74,2300802
2017-12-04 16:00:00,47.96,48.47,47.84,48.12,3107196
2017-12-05 16:00:00,48.18,48.28,47.6,47.99,2555296
2017-12-06 16:00:00,48.1,48.11,47.4,47.58,3435655
2017-12-07 16:00:00,47.57,48.135,47.57,47.96,2984480
2017-12-08 16:00:00,48.06,48.28,47.73,47.79,2371472
2017-12-11 16:00:00,47.76,47.99,47.4,47.77,2063859
2017-12-12 16:00:00,47.71,47.99,47.58,47.71,2269194
2017-12-13 16:00:00,47.69,48.44,47.54,48.25,3012209
