,Open,High,Low,Close,Volume
2017-09-14 16:00:00,67.42,67.94,67.17,67.7,5954133
2017-09-15 16:00:00,67.69,67.9,66.75,67.24,11428399
2017-09-18 16:00:00,67.08,68.0,67.0,67.87,6688895
2017-09-19 16:00:00,68.0,68.255,67.47,67.89,6817176
2017-09-20 16:00:00,68.14,68.1599,67.47,67.62,6765969
2017-09-21 16:00:00,67.53,68.5,67.01,68.09,8315084
2017-09-22 16:00:00,67.73,68.94,67.73,68.8,6797576
2017-09-25 16:00:00,69.1,70.01,69.08,69.65,6914341
2017-09-26 16:00:00,69.27,69.56,68.54,68.82,6393397
2017-09-27 16:00:00,68.94,69.19,68.29,69.08,5980442
2017-09-28 16:00:00,69.33,69.66,68.55,69.16,6464308
2017-09-29 16:00:00,69.03,69.77,68.26,69.76,6559138
2017-10-02 16:00:00,68.73,69.32,68.54,69.32,7254816
2017-10-03 16:00:00,69.26,69.57,68.8507,69.06,6124491
2017-10-04 16:00:00,69.12,69.325,68.67,68.82,6319662
2017-10-05 16:00:00,69.15,69.18,68.57,68.87,6293077
2017-10-06 16:00:00,68.72,68.72,67.87,68.34,5717424
2017-10-09 16:00:00,68.36,68.8,68.24,68.33,3587144
2017-10-10 16:00:00,68.76,69.03,68.27,68.33,3824659
2017-10-11 16:00:00,67.32,67.8,66.87,67.09,1299564
2017-10-12 16:00:00,67.22,67.42,66.79,67.29,6225799
2017-10-13 16:00:00,67.63,68.08,67.13,67.17,4248691
2017-10-16 16:00:00,67.56,67.83,66.78,66.8,4846108
2017-10-17 16:00:00,66.88,67.185,66.26,66.5,6621444
2017-10-18 16:00:00,66.46,66.65,65.68,65.91,5936547
2017-10-19 16:00:00,65.36,65.71,64.47,64.5,13577643
2017-10-20 16:00:00,63.57,63.95,61.4,63.15,19259629
2017-10-23 16:00:00,63.15,63.48,61.81,61.91,14054109
2017-10-24 16:00:00,62.53,62.84,61.92,62.44,9639492
2017-10-25 16:00:00,62.5,63.62,62.4,63.44,10748196
2017-10-26 16:00:00,63.45,63.81,63.06,63.37,8668313
2017-10-27 16:00:00,63.11,63.87,62.88,63.55,12972656
2017-10-30 16:00:00,63.75,64.5,63.53,64.11,6632757
2017-10-31 16:00:00,63.99,64.735,63.93,64.0,8519453
2017-11-01 16:00:00,64.62,64.96,63.99,64.28,11329345
2017-11-02 16:00:00,64.34,64.34,63.1,63.25,8984107
2017-11-03 16:00:00,63.14,63.725,62.92,63.58,10035127
2017-11-06 16:00:00,64.1,67.42,63.93,67.08,14246290
2017-11-07 16:00:00,67.57,67.68,66.26,66.43,7147395
2017-11-08 16:00:00,66.65,67.58,66.08,67.06,8008318
2017-11-09 16:00:00,66.85,67.1,66.5,66.89,6163357
2017-11-10 16:00:00,66.59,66.62,65.18,65.74,6577005
2017-11-13 16:00:00,65.25,65.54,64.86,65.04,5506272
2017-11-14 16:00:00,64.64,64.64,62.73,62.78,10606836
2017-11-15 16:00:00,62.15,62.43,61.11,61.55,11273166
2017-11-16 16:00:00,61.6,61.645,61.02,61.31,7791607
2017-11-17 16:00:00,61.36,62.325,61.26,61.96,8088725
2017-11-20 16:00:00,61.71,62.1,61.22,61.72,7103454
2017-11-21 16:00:00,61.97,62.15,61.44,61.88,8491129
2017-11-22 16:00:00,62.44,62.6,61.84,62.14,7610252
2017-11-24 13:00:00,62.4,62.45,61.85,61.93,2967471
2017-11-27 16:00:00,61.73,61.92,61.05,61.36,6741564
2017-11-28 16:00:00,61.24,62.47,61.21,62.29,8737684
2017-11-29 16:00:00,62.4,63.3,61.93,62.15,8805860
2017-11-30 16:00:00,62.57,63.65,62.4975,62.85,11308937
2017-12-01 16:00:00,63.23,65.13,63.02,64.73,11963967
2017-12-04 16:00:00,64.79,65.99,64.48,64.6,9505012
2017-12-05 16:00:00,64.13,65.0,63.44,63.45,8212782
2017-12-06 16:00:00,63.28,63.28,61.78,62.07,9299307
2017-12-07 16:00:00,62.06,62.52,61.96,62.07,7862521
2017-12-08 16:00:00,62.38,63.54,62.095,63.54,11030077
2017-12-11 16:00:00,63.38,64.94,63.01,64.56,11702914
2017-12-12 16:00:00,64.18,65.0,64.1,64.18,6487799
2017-12-13 16:00:00,64.12,64.53,63.28,63.3,7485578
