,Open,High,Low,Close,Volume
2017-09-14 16:00:00,96.4,98.3,96.25,97.84,1741762
2017-09-15 16:00:00,98.05,98.45,96.72,98.44,2184045
2017-09-18 16:00:00,98.67,98.7,97.36,98.18,811163
2017-09-19 16:00:00,98.05,98.22,96.24,96.34,1161490
2017-09-20 16:00:00,96.47,97.78,96.37,97.72,790290
2017-09-21 16:00:00,98.04,101.86,97.76,101.13,1457201
2017-09-22 16:00:00,101.2,102.62,100.52,100.67,797852
2017-09-25 16:00:00,100.38,102.11,100.38,101.7,693317
2017-09-26 16:00:00,101.69,103.41,101.58,103.06,1139041
2017-09-27 16:00:00,102.72,103.16,101.23,101.25,992491
2017-09-28 16:00:00,101.13,102.19,100.45,100.76,799164
2017-09-29 16:00:00,99.68,101.375,99.58,101.32,859519
2017-10-02 16:00:00,101.31,102.56,101.31,102.14,919547
2017-10-03 16:00:00,102.14,103.61,102.14,103.22,805974
2017-10-04 16:00:00,103.02,104.45,102.9,104.39,687342
2017-10-05 16:00:00,104.48,105.57,104.25,104.37,1077198
2017-10-06 16:00:00,104.06,105.12,103.46,105.01,861933
2017-10-09 16:00:00,104.0,104.68,103.89,104.35,720081
2017-10-10 16:00:00,104.63,105.79,103.61,104.49,1015062
2017-10-11 16:00:00,104.64,105.54,104.64,105.15,45636
2017-10-12 16:00:00,104.72,105.22,104.435,104.83,478764
2017-10-13 16:00:00,105.44,105.44,103.47,103.49,1243309
2017-10-16 16:00:00,103.42,104.07,102.8,102.87,1166802
2017-10-17 16:00:00,102.81,103.28,101.94,102.01,923187
2017-10-18 16:00:00,102.08,102.695,101.44,101.54,881823
2017-10-19 16:00:00,99.16,99.55,96.65,98.66,2764489
2017-10-20 16:00:00,99.15,99.1799,97.23,97.4,986351
2017-10-23 16:00:00,97.61,98.26,97.29,97.92,603514
2017-10-24 16:00:00,97.64,98.1,96.13,96.2,1336270
2017-10-25 16:00:00,96.31,96.78,94.95,95.8,1396886
2017-10-26 16:00:00,96.41,96.75,95.36,95.88,940859
2017-10-27 16:00:00,96.04,96.83,95.06,95.47,787188
2017-10-30 16:00:00,95.09,95.8175,93.92,94.53,1187217
2017-10-31 16:00:00,94.65,95.82,93.97,95.68,1048032
2017-11-01 16:00:00,95.67,96.13,95.05,95.19,676697
2017-11-02 16:00:00,95.03,95.98,94.6,95.19,708769
2017-11-03 16:00:00,94.8,95.09,93.95,94.15,764009
2017-11-06 16:00:00,94.44,95.59,94.4,95.3,792696
2017-11-07 16:00:00,95.62,96.83,95.56,96.46,1049036
2017-11-08 16:00:00,96.43,97.46,96.16,97.04,1409839
2017-11-09 16:00:00,96.95,99.0,96.41,98.75,866334
2017-11-10 16:00:00,98.11,100.41,98.04,99.89,794135
2017-11-13 16:00:00,100.24,100.83,99.7,100.06,934626
2017-11-14 16:00:00,99.74,101.81,99.15,100.04,1008570
2017-11-15 16:00:00,99.75,100.74,98.86,100.16,671644
2017-11-16 16:00:00,100.24,101.69,100.24,100.81,821331
2017-11-17 16:00:00,100.38,101.505,100.38,100.87,815302
2017-11-20 16:00:00,100.84,101.29,100.15,100.52,769428
2017-11-21 16:00:00,100.53,101.11,100.09,101.06,906484
2017-11-22 16:00:00,100.76,101.3,100.04,100.75,788413
2017-11-24 13:00:00,101.21,101.32,100.56,100.98,210267
2017-11-27 16:00:00,101.15,101.64,100.43,101.21,591028
2017-11-28 16:00:00,101.13,101.15,99.62,100.88,1349170
2017-11-29 16:00:00,101.0,102.63,100.37,102.23,827461
2017-11-30 16:00:00,102.51,102.74,101.91,102.23,1320727
2017-12-01 16:00:00,102.62,103.14,101.59,102.03,1072214
2017-12-04 16:00:00,102.89,104.11,102.89,103.95,924614
2017-12-05 16:00:00,106.04,106.04,102.39,102.61,996052
2017-12-06 16:00:00,103.02,103.04,101.83,102.39,951640
2017-12-07 16:00:00,102.57,102.57,101.69,101.82,893020
2017-12-08 16:00:00,102.33,103.02,101.52,102.6,1050547
2017-12-11 16:00:00,102.64,103.34,102.47,102.6,1213428
2017-12-12 16:00:00,103.02,103.62,102.74,103.02,682052
2017-12-13 16:00:00,103.18,103.64,102.9,102.9,699475
