,Open,High,Low,Close,Volume
2017-09-14 16:00:00,148.97,148.97,146.68,147.01,611805
2017-09-15 16:00:00,146.72,147.17,145.58,146.66,780286
2017-09-18 16:00:00,147.11,147.3,146.09,146.66,565404
2017-09-19 16:00:00,146.86,147.92,146.23,146.8,476763
2017-09-20 16:00:00,147.14,149.36,146.64,149.06,577364
2017-09-21 16:00:00,149.18,149.69,148.43,148.58,453813
2017-09-22 16:00:00,148.59,149.5,148.09,149.32,423695
2017-09-25 16:00:00,149.32,149.445,148.76,149.06,746945
2017-09-26 16:00:00,149.21,150.3106,147.97,149.63,431481
2017-09-27 16:00:00,150.15,150.3799,148.81,150.05,541474
2017-09-28 16:00:00,149.79,150.0,147.04,147.39,808803
2017-09-29 16:00:00,147.3,149.21,147.3,149.01,496031
2017-10-02 16:00:00,149.15,149.39,147.61,147.9,843380
2017-10-03 16:00:00,148.03,150.66,146.47,150.65,711381
2017-10-04 16:00:00,150.5,151.88,150.1,151.44,518714
2017-10-05 16:00:00,151.61,151.91,148.0,148.59,867567
2017-10-06 16:00:00,148.3,149.31,147.3601,149.27,778365
2017-10-09 16:00:00,149.43,151.19,149.25,150.94,374631
2017-10-10 16:00:00,151.32,151.81,150.01,150.25,368858
2017-10-11 16:00:00,150.2,150.46,149.74,150.36,21562
2017-10-12 16:00:00,150.97,152.28,150.63,151.61,517304
2017-10-13 16:00:00,152.06,153.21,151.73,152.01,481760
2017-10-16 16:00:00,151.85,152.17,150.46,152.02,641169
2017-10-17 16:00:00,151.92,152.94,151.46,152.25,478728
2017-10-18 16:00:00,152.26,155.285,152.26,153.52,1055688
2017-10-19 16:00:00,155.91,156.94,148.59,156.19,1399988
2017-10-20 16:00:00,156.57,160.78,155.63,160.12,2093171
2017-10-23 16:00:00,161.71,162.89,160.66,162.15,1368094
2017-10-24 16:00:00,162.9,163.06,161.66,162.32,1146895
2017-10-25 16:00:00,161.9,162.18,158.18,159.92,788138
2017-10-26 16:00:00,160.21,161.2,158.85,159.47,768054
2017-10-27 16:00:00,159.39,159.94,157.37,158.45,1060813
2017-10-30 16:00:00,158.27,158.485,155.97,157.09,557015
2017-10-31 16:00:00,157.32,158.72,156.92,157.78,390879
2017-11-01 16:00:00,158.17,158.61,156.3841,158.36,526419
2017-11-02 16:00:00,158.33,159.23,157.28,158.5,364211
2017-11-03 16:00:00,158.48,159.005,157.965,158.22,462039
2017-11-06 16:00:00,157.83,160.09,157.33,159.15,475524
2017-11-07 16:00:00,159.57,159.78,157.55,158.55,571364
2017-11-08 16:00:00,158.33,158.37,155.568,157.33,1191222
2017-11-09 16:00:00,156.71,157.4,155.97,156.81,427730
2017-11-10 16:00:00,156.17,156.96,155.21,155.87,357921
2017-11-13 16:00:00,155.54,158.09,155.54,156.07,388406
2017-11-14 16:00:00,156.49,156.7,155.12,156.68,370398
2017-11-15 16:00:00,155.98,157.73,155.13,156.69,390387
2017-11-16 16:00:00,156.28,157.5,155.78,157.07,281957
2017-11-17 16:00:00,156.57,157.74,156.57,157.02,331972
2017-11-20 16:00:00,157.0,159.54,156.61,159.42,399630
2017-11-21 16:00:00,159.63,161.68,159.24,161.12,621216
2017-11-22 16:00:00,161.46,161.76,160.57,161.37,590437
2017-11-24 13:00:00,161.74,162.0,159.54,159.7,126112
2017-11-27 16:00:00,159.66,161.34,159.2663,161.29,330727
2017-11-28 16:00:00,161.37,164.12,160.55,164.07,507632
2017-11-29 16:00:00,164.35,167.93,164.12,167.22,457458
2017-11-30 16:00:00,167.47,171.8,166.83,169.43,934309
2017-12-01 16:00:00,169.21,169.38,166.29,168.25,617251
2017-12-04 16:00:00,169.43,174.06,169.21,173.32,846620
2017-12-05 16:00:00,172.02,173.46,170.93,171.17,418169
2017-12-06 16:00:00,171.2,171.47,168.43,168.62,423741
2017-12-07 16:00:00,168.82,171.1,168.41,170.93,323858
2017-12-08 16:00:00,171.86,172.5935,170.6,172.19,395220
2017-12-11 16:00:00,172.83,173.68,170.89,171.33,666131
2017-12-12 16:00:00,170.78,171.93,170.29,170.78,350274
2017-12-13 16:00:00,170.45,172.09,170.06,170.28,415004
