,Open,High,Low,Close,Volume
2017-10-25 16:00:00,83.73,83.73,83.26,83.51,728123
2017-10-26 16:00:00,83.55,83.83,83.33,83.63,428621
2017-10-27 16:00:00,83.54,83.68,83.0,83.41,510425
2017-10-30 16:00:00,83.34,83.75,83.13,83.43,871396
2017-10-31 16:00:00,83.41,83.52,82.26,83.28,719305
2017-11-01 16:00:00,83.45,83.83,83.08,83.52,1308570
2017-11-02 16:00:00,83.4,83.49,80.49,80.97,3256503
2017-11-03 16:00:00,80.61,81.03,78.89,79.61,1855831
2017-11-06 16:00:00,79.21,80.51,79.21,80.13,2043204
2017-11-07 16:00:00,80.06,81.25,80.06,80.39,1464417
2017-11-08 16:00:00,80.29,80.4,78.57,78.85,1853857
2017-11-09 16:00:00,78.7,79.12,77.76,78.33,1946701
2017-11-10 16:00:00,78.5,79.28,78.26,79.18,1105848
2017-11-13 16:00:00,78.88,78.99,78.06,78.88,1021790
2017-11-14 16:00:00,78.6,78.76,77.75,78.07,661965
2017-11-15 16:00:00,77.85,79.36,77.51,79.11,724721
2017-11-16 16:00:00,78.68,80.02,78.27,79.81,1016914
2017-11-17 16:00:00,79.8,81.21,79.8,80.62,1377876
2017-11-20 16:00:00,80.44,80.88,80.14,80.3,1274416
2017-11-21 16:00:00,80.38,80.55,79.805,80.1,1519477
2017-11-22 16:00:00,79.97,81.04,79.97,80.81,1069745
2017-11-24 13:00:00,80.74,80.94,80.22,80.37,156001
