,Open,High,Low,Close,Volume
2017-09-14 16:00:00,49.65,50.49,49.44,50.4,6167038
2017-09-15 16:00:00,50.6,50.8,50.32,50.64,7244756
2017-09-18 16:00:00,50.7,50.72,49.73,50.07,3859873
2017-09-19 16:00:00,50.07,50.1,49.68,49.87,5110121
2017-09-20 16:00:00,50.02,50.0971,49.24,49.45,4720980
2017-09-21 16:00:00,49.49,49.64,49.24,49.27,3040033
2017-09-22 16:00:00,49.36,49.41,48.76,48.82,4155543
2017-09-25 16:00:00,48.8,49.1588,48.78,49.03,4518274
2017-09-26 16:00:00,49.0,49.03,48.66,48.79,3976334
2017-09-27 16:00:00,48.53,48.77,48.29,48.52,6588844
2017-09-28 16:00:00,48.42,48.955,48.37,48.94,5880763
2017-09-29 16:00:00,49.03,49.4342,48.565,49.14,7244944
2017-10-02 16:00:00,49.17,49.435,48.95,49.14,4478490
2017-10-03 16:00:00,48.97,48.98,48.615,48.79,3546036
2017-10-04 16:00:00,48.74,49.14,48.7,49.1,4322236
2017-10-05 16:00:00,49.14,49.47,48.94,49.36,4040712
2017-10-06 16:00:00,49.18,49.61,49.02,49.59,3208881
2017-10-09 16:00:00,49.57,49.705,49.51,49.65,2955508
2017-10-10 16:00:00,49.74,50.26,49.64,50.24,4139041
2017-10-11 16:00:00,50.09,50.76,50.09,50.6,466325
2017-10-12 16:00:00,50.48,50.845,50.39,50.74,3420230
2017-10-13 16:00:00,50.85,51.135,50.75,50.94,4632493
2017-10-16 16:00:00,50.84,51.28,50.81,51.14,4364970
2017-10-17 16:00:00,51.07,51.22,50.73,51.14,3691332
2017-10-18 16:00:00,51.03,51.27,50.87,51.27,2699603
2017-10-19 16:00:00,51.3,52.03,51.28,52.0,4804567
2017-10-20 16:00:00,51.9,52.34,51.8,52.21,4122806
2017-10-23 16:00:00,52.14,52.28,51.96,52.2,3000007
2017-10-24 16:00:00,52.1,52.41,51.9,52.37,4889300
2017-10-25 16:00:00,52.18,52.33,51.69,52.21,4600026
2017-10-26 16:00:00,52.35,52.59,52.005,52.06,3501756
2017-10-27 16:00:00,51.98,52.3,51.82,52.09,3179048
2017-10-30 16:00:00,52.04,52.17,51.83,52.09,3346010
2017-10-31 16:00:00,52.02,52.28,51.88,52.2,4721096
2017-11-01 16:00:00,52.4,52.4,51.76,52.08,3957610
2017-11-02 16:00:00,52.38,53.27,52.2,53.25,6568547
2017-11-03 16:00:00,53.09,53.51,52.42,52.44,4842597
2017-11-06 16:00:00,52.34,52.3466,51.56,51.65,5631894
2017-11-07 16:00:00,51.72,51.99,51.31,51.72,5454060
2017-11-08 16:00:00,51.74,52.0,51.24,51.77,5424971
2017-11-09 16:00:00,51.75,52.02,51.555,52.01,3633328
2017-11-10 16:00:00,51.73,51.73,51.32,51.36,3501819
2017-11-13 16:00:00,51.45,51.99,51.4,51.82,2780219
2017-11-14 16:00:00,51.71,52.34,51.6466,52.31,3890000
2017-11-15 16:00:00,52.34,52.6496,51.85,51.92,3589438
2017-11-16 16:00:00,51.95,52.03,51.58,51.94,4356095
2017-11-17 16:00:00,51.37,51.63,50.95,50.97,5389150
2017-11-20 16:00:00,51.05,51.32,50.97,51.18,2950609
2017-11-21 16:00:00,51.26,51.49,51.18,51.3,2591995
2017-11-22 16:00:00,51.36,51.44,51.1244,51.36,2642981
2017-11-24 13:00:00,51.4,51.66,51.36,51.39,1155785
2017-11-27 16:00:00,51.41,51.66,51.23,51.56,3981262
2017-11-28 16:00:00,51.6,51.665,51.19,51.49,4185942
2017-11-29 16:00:00,51.28,51.3681,50.795,51.09,5099212
2017-11-30 16:00:00,51.21,51.5,51.07,51.2,5499764
2017-12-01 16:00:00,51.45,51.54,50.8399,51.11,4709948
2017-12-04 16:00:00,51.37,51.46,50.23,50.33,5505002
2017-12-05 16:00:00,50.22,50.5,49.6995,50.36,5578158
2017-12-06 16:00:00,50.46,50.95,50.42,50.89,4041575
2017-12-07 16:00:00,51.145,51.34,50.45,51.33,6637859
2017-12-08 16:00:00,51.22,51.43,50.93,51.06,4791379
2017-12-11 16:00:00,51.26,51.75,50.93,51.68,5095357
2017-12-12 16:00:00,51.19,51.88,51.17,51.19,4031877
2017-12-13 16:00:00,51.35,51.925,51.27,51.68,5115794
