,Open,High,Low,Close,Volume
2017-10-25 16:00:00,161.9,162.29,160.18,160.92,1246383
2017-10-26 16:00:00,163.08,166.17,162.1,165.0,2574998
2017-10-27 16:00:00,164.78,164.83,161.8,162.16,1707842
2017-10-30 16:00:00,161.52,161.59,156.15,156.25,1710625
2017-10-31 16:00:00,156.53,157.76,153.25,156.47,2757936
2017-11-01 16:00:00,157.08,158.09,156.11,156.56,1506048
2017-11-02 16:00:00,156.2,156.92,155.34,155.5,1289476
2017-11-03 16:00:00,156.24,158.8,154.7,158.69,1755455
2017-11-06 16:00:00,158.07,159.6,157.47,158.64,1011118
2017-11-07 16:00:00,158.75,159.62,158.184,159.07,965065
2017-11-08 16:00:00,158.62,160.495,157.85,160.06,1051565
2017-11-09 16:00:00,159.38,159.97,156.45,157.91,753267
2017-11-10 16:00:00,157.7,157.89,156.72,156.94,679643
2017-11-13 16:00:00,156.7,158.79,156.5,158.03,789701
2017-11-14 16:00:00,157.64,159.92,156.94,159.3,941146
2017-11-15 16:00:00,157.79,159.23,156.73,158.82,1281079
2017-11-16 16:00:00,158.94,161.58,158.94,160.1,1092191
2017-11-17 16:00:00,159.89,161.298,158.9,160.59,931579
2017-11-20 16:00:00,161.15,162.92,160.56,162.19,1054723
2017-11-21 16:00:00,162.69,164.2999,162.19,163.7,1895129
2017-11-22 16:00:00,164.0,164.55,162.66,163.22,563553
2017-11-24 13:00:00,163.48,164.63,163.34,164.14,253718
