,Open,High,Low,Close,Volume
2017-09-14 16:00:00,71.85,72.7,71.5,71.87,487913
2017-09-15 16:00:00,71.46,72.22,71.04,72.12,797780
2017-09-18 16:00:00,72.43,72.43,70.91,71.0,455936
2017-09-19 16:00:00,71.06,71.24,70.01,70.19,548329
2017-09-20 16:00:00,70.09,70.5,69.23,70.02,900849
2017-09-21 16:00:00,70.18,70.46,69.38,69.97,576155
2017-09-22 16:00:00,70.12,71.04,69.83,70.34,526465
2017-09-25 16:00:00,70.4,71.13,70.02,70.73,521220
2017-09-26 16:00:00,70.54,71.12,69.96,71.11,500183
2017-09-27 16:00:00,71.23,72.28,70.79,71.9,715439
2017-09-28 16:00:00,71.74,72.45,71.45,71.72,441962
2017-09-29 16:00:00,71.77,72.1,71.315,71.62,488505
2017-10-02 16:00:00,71.83,72.73,71.83,72.66,590878
2017-10-03 16:00:00,72.62,72.62,71.22,71.82,508905
2017-10-04 16:00:00,71.92,71.92,71.09,71.48,473744
2017-10-05 16:00:00,71.48,72.3599,71.17,71.64,586082
2017-10-06 16:00:00,71.57,72.07,71.39,71.58,674569
2017-10-09 16:00:00,72.03,72.03,69.91,70.27,539024
2017-10-10 16:00:00,70.4,70.82,70.01,70.8,575063
2017-10-11 16:00:00,70.84,70.84,70.07,70.71,522662
2017-10-12 16:00:00,70.5,71.93,70.255,71.27,816712
2017-10-13 16:00:00,71.11,71.36,70.17,70.6,454093
2017-10-16 16:00:00,70.59,70.8205,69.9,70.07,409570
2017-10-17 16:00:00,70.04,71.39,70.03,71.27,827958
2017-10-18 16:00:00,71.43,71.78,70.815,71.65,557829
2017-10-19 16:00:00,71.63,71.92,70.71,71.9,468741
2017-10-20 16:00:00,72.19,72.8,71.96,72.69,560887
2017-10-23 16:00:00,72.69,72.94,72.08,72.64,567866
2017-10-24 16:00:00,72.5,72.76,71.7705,72.08,533364
2017-10-25 16:00:00,71.63,71.97,71.1,71.4,527762
2017-10-26 16:00:00,71.8,72.23,71.51,71.78,486811
2017-10-27 16:00:00,71.58,71.74,70.32,71.0,753150
2017-10-30 16:00:00,70.64,70.96,70.23,70.85,663779
2017-10-31 16:00:00,71.03,71.25,70.65,70.85,551379
2017-11-01 16:00:00,70.94,71.48,68.38,68.71,1034942
2017-11-02 16:00:00,68.64,69.03,67.46,67.92,1342418
2017-11-03 16:00:00,67.99,68.0078,66.68,67.32,789721
2017-11-06 16:00:00,67.27,67.36,66.27,67.26,832921
2017-11-07 16:00:00,67.1,67.37,66.65,67.16,696193
2017-11-08 16:00:00,66.98,67.37,66.6804,67.1,922226
2017-11-09 16:00:00,62.3,64.76,61.62,64.06,4637112
2017-11-10 16:00:00,63.72,65.24,63.66,64.02,1738017
2017-11-13 16:00:00,63.95,64.4299,63.78,64.06,827120
2017-11-14 16:00:00,63.77,64.0245,63.39,63.54,1085058
2017-11-15 16:00:00,63.23,63.57,62.47,63.06,959236
2017-11-16 16:00:00,63.14,64.14,62.625,62.68,1203119
2017-11-17 16:00:00,62.61,63.45,62.34,62.76,850815
2017-11-20 16:00:00,62.81,62.99,61.25,62.5,1142422
2017-11-21 16:00:00,62.93,62.955,62.11,62.75,586825
2017-11-22 16:00:00,62.68,62.97,62.21,62.82,512588
2017-11-24 13:00:00,63.02,63.32,62.67,63.05,263556
2017-11-27 16:00:00,63.04,63.55,62.79,63.36,635171
2017-11-28 16:00:00,63.38,63.95,63.29,63.86,746325
2017-11-29 16:00:00,63.9,65.5379,63.76,65.29,1076755
2017-11-30 16:00:00,65.7,66.641,65.43,66.31,972388
2017-12-01 16:00:00,66.31,67.04,65.46,66.94,855494
2017-12-04 16:00:00,67.33,68.04,66.8,67.36,1281806
2017-12-05 16:00:00,67.46,67.63,65.86,66.5,1249649
2017-12-06 16:00:00,66.46,66.59,64.88,65.78,1168734
2017-12-07 16:00:00,67.51,68.23,66.59,66.95,1312100
2017-12-08 16:00:00,67.15,67.2974,66.2,66.58,778553
2017-12-11 16:00:00,66.93,67.58,66.59,67.17,659083
2017-12-12 16:00:00,67.38,67.6,66.97,67.3,709175
2017-12-13 16:00:00,67.64,67.86,66.0,66.04,840565
