,Open,High,Low,Close,Volume
2017-10-25 16:00:00,60.43,60.46,59.45,59.78,3697370
2017-10-26 16:00:00,60.1,60.78,59.97,60.61,2344891
2017-10-27 16:00:00,60.43,60.63,60.09,60.62,2684231
2017-10-30 16:00:00,60.34,60.525,59.94,60.35,2838615
2017-10-31 16:00:00,60.42,60.84,60.21,60.21,3009780
2017-11-01 16:00:00,60.66,61.1,60.35,60.53,1783021
2017-11-02 16:00:00,60.33,60.75,59.7,60.64,2338505
2017-11-03 16:00:00,60.31,60.47,59.88,60.4,1744937
2017-11-06 16:00:00,60.24,60.33,59.79,60.15,2187065
2017-11-07 16:00:00,60.44,60.46,58.04,58.08,6909790
2017-11-08 16:00:00,58.06,58.08,57.24,57.61,6027476
2017-11-09 16:00:00,57.07,57.79,56.37,56.8,5936450
2017-11-10 16:00:00,57.02,57.39,56.76,56.79,4532255
2017-11-13 16:00:00,56.45,57.42,56.3,57.33,3185846
2017-11-14 16:00:00,56.97,57.775,56.85,57.64,3080793
2017-11-15 16:00:00,56.99,58.08,56.83,57.78,2794364
2017-11-16 16:00:00,58.02,58.38,57.7,57.72,3038591
2017-11-17 16:00:00,57.4,58.01,57.32,57.77,2471670
2017-11-20 16:00:00,57.83,58.23,57.66,58.17,2433016
2017-11-21 16:00:00,58.36,58.43,57.7,57.73,2780855
2017-11-22 16:00:00,57.8,57.97,57.47,57.62,1852312
2017-11-24 13:00:00,57.77,57.78,57.17,57.21,833130
