,Open,High,Low,Close,Volume
2017-09-14 16:00:00,94.21,94.5,93.81,94.1,2482783
2017-09-15 16:00:00,94.16,94.83,93.74,94.04,5229299
2017-09-18 16:00:00,94.26,94.925,94.13,94.76,1202850
2017-09-19 16:00:00,95.03,95.9,94.65,95.68,1687415
2017-09-20 16:00:00,95.8,96.21,94.71,95.82,1396990
2017-09-21 16:00:00,95.93,96.39,95.52,95.95,1226822
2017-09-22 16:00:00,95.81,96.035,95.36,95.56,1599722
2017-09-25 16:00:00,95.49,95.65,93.72,94.46,1507499
2017-09-26 16:00:00,94.63,94.72,93.75,93.91,1759092
2017-09-27 16:00:00,95.14,96.11,94.63,95.54,1559564
2017-09-28 16:00:00,95.55,95.85,95.05,95.81,942957
2017-09-29 16:00:00,95.4,95.82,95.01,95.54,1486526
2017-10-02 16:00:00,95.73,96.74,95.34,96.34,1189907
2017-10-03 16:00:00,96.07,97.07,96.03,96.99,1273416
2017-10-04 16:00:00,96.94,98.08,96.85,97.11,1242832
2017-10-05 16:00:00,97.39,99.13,97.14,98.95,1967868
2017-10-06 16:00:00,99.4,99.99,98.32,98.8,1530515
2017-10-09 16:00:00,98.81,98.82,97.86,98.09,876030
2017-10-10 16:00:00,98.3,99.2,98.1,99.17,1541317
2017-10-11 16:00:00,99.2,99.2,98.4,98.63,31209
2017-10-12 16:00:00,99.3,99.8899,98.6,98.63,1691501
2017-10-13 16:00:00,98.63,99.95,98.04,99.26,1588868
2017-10-16 16:00:00,99.18,99.65,98.36,98.54,1452684
2017-10-17 16:00:00,98.64,98.64,97.065,97.15,1458088
2017-10-18 16:00:00,97.46,98.82,97.32,98.35,1395949
2017-10-19 16:00:00,97.81,97.86,96.82,97.48,2319371
2017-10-20 16:00:00,98.69,99.219,98.02,99.12,2308783
2017-10-23 16:00:00,96.95,97.37,94.23,96.17,2304770
2017-10-24 16:00:00,96.61,97.4,96.31,96.43,1775204
2017-10-25 16:00:00,96.51,96.715,93.16,94.05,3226569
2017-10-26 16:00:00,94.58,95.8,94.54,94.74,2211462
2017-10-27 16:00:00,94.65,94.8,93.45,93.51,1778191
2017-10-30 16:00:00,93.1,94.06,93.08,93.29,1996125
2017-10-31 16:00:00,93.14,93.46,91.96,92.0,1623424
2017-11-01 16:00:00,92.52,92.96,92.18,92.25,1642665
2017-11-02 16:00:00,92.07,93.41,92.01,92.51,1337679
2017-11-03 16:00:00,92.4,92.8,92.15,92.53,1078880
2017-11-06 16:00:00,92.06,92.635,91.86,92.29,1162707
2017-11-07 16:00:00,92.68,92.939,90.21,90.28,1470592
2017-11-08 16:00:00,90.1,91.39,89.68,91.13,1892186
2017-11-09 16:00:00,90.61,91.47,90.09,90.77,1608372
2017-11-10 16:00:00,90.83,91.06,89.92,90.65,948668
2017-11-13 16:00:00,90.0,91.1432,89.81,90.79,1444856
2017-11-14 16:00:00,90.14,91.85,90.06,91.31,1991619
2017-11-15 16:00:00,90.38,92.93,90.0114,91.86,2362256
2017-11-16 16:00:00,92.0,93.11,91.97,92.4,1980879
2017-11-17 16:00:00,91.99,92.89,91.63,92.31,1932184
2017-11-20 16:00:00,92.34,93.41,92.05,93.06,1196599
2017-11-21 16:00:00,93.39,93.81,92.62,93.06,1493971
2017-11-22 16:00:00,93.26,93.57,92.64,92.67,1086060
2017-11-24 13:00:00,93.13,93.13,92.2,92.46,534879
2017-11-27 16:00:00,92.47,93.07,91.36,91.36,2093383
2017-11-28 16:00:00,91.4,93.27,91.25,93.14,2926913
2017-11-29 16:00:00,93.94,95.38,93.63,94.68,2281142
2017-11-30 16:00:00,95.06,96.33,94.5,95.35,2592793
2017-12-01 16:00:00,95.66,95.95,93.17,95.48,1707688
2017-12-04 16:00:00,97.06,97.99,96.64,97.1,3257387
2017-12-05 16:00:00,97.65,97.71,96.54,96.83,2376756
2017-12-06 16:00:00,96.6,97.03,95.72,96.52,1385878
2017-12-07 16:00:00,96.13,97.285,95.98,96.92,1534989
2017-12-08 16:00:00,97.43,97.75,96.63,97.67,1263217
2017-12-11 16:00:00,97.57,98.35,97.215,97.41,1100960
2017-12-12 16:00:00,98.18,98.73,97.3,98.18,1248729
2017-12-13 16:00:00,98.83,100.9,98.21,99.18,2783614
