,Open,High,Low,Close,Volume
2017-09-14 16:00:00,32.51,32.79,32.35,32.65,3368210
2017-09-15 16:00:00,32.66,33.64,32.4,33.55,9565630
2017-09-18 16:00:00,33.75,33.923,32.31,33.52,8551019
2017-09-19 16:00:00,32.75,32.92,31.7,32.18,7963150
2017-09-20 16:00:00,32.19,32.68,31.97,32.38,4594086
2017-09-21 16:00:00,32.38,33.05,32.05,32.72,4696936
2017-09-22 16:00:00,32.67,33.65,32.56,33.57,4397593
2017-09-25 16:00:00,33.42,33.7,32.97,33.16,3625668
2017-09-26 16:00:00,33.18,33.5,32.8,32.87,3423937
2017-09-27 16:00:00,33.02,33.47,32.59,33.18,3733876
2017-09-28 16:00:00,33.25,33.37,32.41,32.98,4585574
2017-09-29 16:00:00,32.99,33.23,32.75,33.17,2524367
2017-10-02 16:00:00,33.64,34.48,33.54,34.2,7403049
2017-10-03 16:00:00,34.2,34.25,33.53,34.05,3755445
2017-10-04 16:00:00,34.04,34.26,33.86,33.98,3067371
2017-10-05 16:00:00,34.08,34.28,33.76,34.1,3211112
2017-10-06 16:00:00,33.86,34.13,33.51,33.79,3555643
2017-10-09 16:00:00,34.03,34.82,33.84,33.85,3679235
2017-10-10 16:00:00,34.24,34.345,33.36,33.75,5237532
2017-10-11 16:00:00,33.58,34.1,33.4,33.5,3610699
2017-10-12 16:00:00,33.4,33.77,33.22,33.62,5111119
2017-10-13 16:00:00,33.86,34.56,33.66,34.4,4179203
2017-10-16 16:00:00,34.46,34.55,34.085,34.49,4041455
2017-10-17 16:00:00,34.04,34.19,33.15,33.96,5936521
2017-10-18 16:00:00,34.11,34.33,34.02,34.26,3732155
2017-10-19 16:00:00,33.92,34.35,33.8525,34.34,4362941
2017-10-20 16:00:00,34.55,35.28,34.41,34.94,8315324
2017-10-23 16:00:00,39.65,40.9,37.64,39.35,33601239
2017-10-24 16:00:00,39.5,40.34,38.51,38.84,12140476
2017-10-25 16:00:00,38.47,38.68,37.5,38.15,7430651
2017-10-26 16:00:00,38.31,38.62,37.57,38.18,4276256
2017-10-27 16:00:00,38.26,38.26,36.845,36.9,5297431
2017-10-30 16:00:00,36.95,36.98,36.12,36.68,5870278
2017-10-31 16:00:00,36.82,37.73,36.57,36.97,4432597
2017-11-01 16:00:00,37.38,37.63,36.66,36.96,2784309
2017-11-02 16:00:00,36.97,37.0,36.3801,36.77,2745209
2017-11-03 16:00:00,36.6,36.98,36.16,36.33,2280056
2017-11-06 16:00:00,36.28,37.53,36.07,37.46,3186603
2017-11-07 16:00:00,37.43,37.4859,36.84,37.12,2842344
2017-11-08 16:00:00,37.04,38.2,36.731,37.71,4241354
2017-11-09 16:00:00,37.13,38.13,37.13,37.41,4349718
2017-11-10 16:00:00,37.2,38.08,37.2,37.99,3011776
2017-11-13 16:00:00,37.9,37.94,37.32,37.66,2305647
2017-11-14 16:00:00,37.62,37.93,37.33,37.49,2598799
2017-11-15 16:00:00,37.34,37.85,37.24,37.81,3497299
2017-11-16 16:00:00,37.96,39.275,37.93,39.12,5258404
2017-11-17 16:00:00,39.24,39.6,38.78,39.42,3154656
2017-11-20 16:00:00,39.34,40.07,39.08,39.85,3993233
2017-11-21 16:00:00,40.05,40.639,39.96,40.14,3848063
2017-11-22 16:00:00,40.02,40.47,39.82,40.33,2364850
2017-11-24 13:00:00,40.36,40.55,39.97,40.29,1340056
2017-11-27 16:00:00,39.47,39.7,38.56,39.08,5631717
2017-11-28 16:00:00,39.38,40.05,38.96,39.98,3809279
2017-11-29 16:00:00,39.95,40.5,38.66,38.75,6070187
2017-11-30 16:00:00,38.99,39.16,38.21,38.56,6782523
2017-12-01 16:00:00,38.31,39.285,37.25,39.11,5125089
2017-12-04 16:00:00,39.76,40.02,38.78,39.2,4592560
2017-12-05 16:00:00,39.52,39.95,39.04,39.13,3945577
2017-12-06 16:00:00,39.17,39.31,38.56,39.18,2520261
2017-12-07 16:00:00,39.16,40.1,38.98,39.58,3724986
2017-12-08 16:00:00,39.83,40.615,39.58,40.49,5502052
2017-12-11 16:00:00,40.35,41.13,40.17,40.47,3740724
2017-12-12 16:00:00,40.67,42.57,40.6,42.12,6354875
2017-12-13 16:00:00,42.37,42.645,41.94,42.08,4509096
