,Open,High,Low,Close,Volume
2017-10-25 16:00:00,213.2,213.81,211.515,212.48,900421
2017-10-26 16:00:00,212.58,213.175,211.32,211.74,836131
2017-10-27 16:00:00,212.02,212.7,210.4,211.9,801436
2017-10-30 16:00:00,213.92,214.5,211.61,213.0,1082358
2017-10-31 16:00:00,214.25,219.29,214.0,219.09,1727294
2017-11-01 16:00:00,219.37,219.56,215.86,216.0,1152896
2017-11-02 16:00:00,215.53,216.435,213.57,214.32,1043295
2017-11-03 16:00:00,214.52,216.81,214.52,215.91,853304
2017-11-06 16:00:00,215.76,216.73,215.05,215.8,789997
2017-11-07 16:00:00,215.94,216.51,214.82,215.48,1556234
2017-11-08 16:00:00,215.99,217.89,215.31,217.63,1757558
2017-11-09 16:00:00,217.5,218.42,216.53,218.13,616868
2017-11-10 16:00:00,218.5,219.0,217.805,218.67,672156
2017-11-13 16:00:00,219.0,221.5,218.67,220.76,885426
2017-11-14 16:00:00,220.79,221.12,217.62,218.09,1064573
2017-11-15 16:00:00,219.33,227.2,215.79,217.16,1254637
2017-11-16 16:00:00,218.53,219.255,217.18,217.34,1233811
2017-11-17 16:00:00,217.18,217.245,215.2664,216.29,880438
2017-11-20 16:00:00,216.8,217.86,216.35,217.58,1108330
2017-11-21 16:00:00,217.83,220.32,217.55,219.76,860751
2017-11-22 16:00:00,219.95,220.69,218.07,220.45,616606
2017-11-24 13:00:00,220.93,221.88,219.96,221.88,303028
