,Open,High,Low,Close,Volume
2017-09-14 16:00:00,29.27,29.43,28.67,28.7,7550324
2017-09-15 16:00:00,28.57,29.21,28.46,29.02,11003615
2017-09-18 16:00:00,29.11,29.3,28.95,29.26,5682866
2017-09-19 16:00:00,29.29,29.48,29.05,29.09,5754324
2017-09-20 16:00:00,29.2,29.2663,28.9,29.0,6347444
2017-09-21 16:00:00,29.0,29.09,28.7044,28.89,5281836
2017-09-22 16:00:00,28.86,29.5,28.85,29.47,6320700
2017-09-25 16:00:00,29.35,29.88,29.31,29.56,6827273
2017-09-26 16:00:00,29.61,30.04,29.51,29.94,3918596
2017-09-27 16:00:00,30.24,31.185,30.18,30.94,11026337
2017-09-28 16:00:00,30.9,31.43,30.88,31.19,7666619
2017-09-29 16:00:00,31.19,31.38,30.92,31.05,5255634
2017-10-02 16:00:00,31.17,31.49,30.92,31.48,4478645
2017-10-03 16:00:00,31.46,31.885,31.42,31.72,5916553
2017-10-04 16:00:00,31.76,31.79,31.26,31.31,4750351
2017-10-05 16:00:00,31.32,31.665,31.16,31.66,4838914
2017-10-06 16:00:00,31.46,31.575,31.19,31.31,4694973
2017-10-09 16:00:00,31.47,31.69,31.26,31.44,2616838
2017-10-10 16:00:00,31.5,31.9,31.5,31.75,4867343
2017-10-11 16:00:00,31.72,31.83,31.56,31.56,346884
2017-10-12 16:00:00,31.33,31.33,30.48,30.64,6771795
2017-10-13 16:00:00,30.45,31.24,30.38,30.82,7889857
2017-10-16 16:00:00,30.99,31.62,30.91,31.5,10557372
2017-10-17 16:00:00,31.59,31.5953,30.85,30.98,4723587
2017-10-18 16:00:00,31.12,31.55,30.99,31.51,6903778
2017-10-19 16:00:00,31.2,31.87,30.8601,31.71,7787702
2017-10-20 16:00:00,33.41,34.08,32.845,33.04,15400879
2017-10-23 16:00:00,33.26,33.33,32.63,32.68,6188226
2017-10-24 16:00:00,32.76,32.86,32.27,32.65,4908863
2017-10-25 16:00:00,32.38,32.63,32.0,32.38,8934114
2017-10-26 16:00:00,32.66,32.97,32.6,32.87,5219779
2017-10-27 16:00:00,32.61,32.97,32.43,32.94,4059277
2017-10-30 16:00:00,32.78,33.1,32.51,32.6,3998141
2017-10-31 16:00:00,32.54,32.82,32.43,32.62,4589305
2017-11-01 16:00:00,32.71,32.95,32.545,32.83,2934139
2017-11-02 16:00:00,32.8,33.2399,32.465,33.22,6214598
2017-11-03 16:00:00,33.12,33.37,32.9,33.11,4242511
2017-11-06 16:00:00,33.0,33.08,32.77,32.77,4144841
2017-11-07 16:00:00,32.82,33.02,32.27,32.36,4561456
2017-11-08 16:00:00,32.28,32.39,31.79,32.07,4130146
2017-11-09 16:00:00,31.92,32.21,31.55,32.09,4140395
2017-11-10 16:00:00,32.13,32.38,32.045,32.07,2669691
2017-11-13 16:00:00,32.18,32.63,32.11,32.59,5185287
2017-11-14 16:00:00,32.37,32.66,32.26,32.56,3936393
2017-11-15 16:00:00,32.08,32.74,31.85,32.53,6556729
2017-11-16 16:00:00,33.52,33.86,33.19,33.38,11362732
2017-11-17 16:00:00,33.4,34.0401,33.34,33.86,8665801
2017-11-20 16:00:00,33.86,34.32,33.82,33.86,8232766
2017-11-21 16:00:00,33.91,33.99,33.31,33.77,6838202
2017-11-22 16:00:00,33.9,33.98,33.5,33.67,4177322
2017-11-24 13:00:00,33.73,33.755,33.42,33.49,2372259
2017-11-27 16:00:00,33.48,33.5,32.92,33.21,6196285
2017-11-28 16:00:00,33.22,34.61,33.075,34.49,8612137
2017-11-29 16:00:00,34.94,35.68,34.885,35.35,11568625
2017-11-30 16:00:00,35.5,36.45,35.435,35.89,12016633
2017-12-01 16:00:00,35.79,36.065,34.66,35.94,7336509
2017-12-04 16:00:00,36.57,38.04,36.57,37.45,14111953
2017-12-05 16:00:00,37.6,37.93,37.19,37.31,8227480
2017-12-06 16:00:00,37.1,37.6,37.04,37.39,5705954
2017-12-07 16:00:00,37.16,37.73,37.09,37.34,8103359
2017-12-08 16:00:00,37.85,37.85,37.165,37.5,7833933
2017-12-11 16:00:00,37.44,37.7,37.29,37.59,5916793
2017-12-12 16:00:00,37.36,37.86,37.36,37.36,7197824
2017-12-13 16:00:00,37.4,37.54,36.6,36.64,8078735
