,Open,High,Low,Close,Volume
2017-10-25 16:00:00,32.27,32.68,32.045,32.18,3249905
2017-10-26 16:00:00,32.29,32.45,31.845,31.86,4765644
2017-10-27 16:00:00,31.68,32.33,31.66,32.09,4024564
2017-10-30 16:00:00,32.07,32.44,31.89,32.41,4051688
2017-10-31 16:00:00,32.43,32.95,32.32,32.5,5542776
2017-11-01 16:00:00,32.2,32.72,31.77,32.16,10361680
2017-11-02 16:00:00,29.32,30.229,28.33,29.38,26676870
2017-11-03 16:00:00,29.01,29.95,28.87,29.875,10995542
2017-11-06 16:00:00,29.85,29.87,28.8759,28.9,7584810
2017-11-07 16:00:00,28.99,29.07,28.54,28.68,10096444
2017-11-08 16:00:00,28.68,29.09,28.58,29.03,6744822
2017-11-09 16:00:00,28.85,28.95,28.48,28.59,5372222
2017-11-10 16:00:00,28.41,28.44,27.99,28.36,4592861
2017-11-13 16:00:00,28.12,28.28,27.83,27.97,4691248
2017-11-14 16:00:00,27.91,28.21,27.6,28.1,5308029
2017-11-15 16:00:00,27.98,28.18,27.47,27.71,5277385
2017-11-16 16:00:00,27.61,28.43,27.6,28.28,5033342
2017-11-17 16:00:00,28.17,28.31,27.89,28.04,3494891
2017-11-20 16:00:00,28.0,28.235,27.9,28.19,3271828
2017-11-21 16:00:00,28.26,28.27,27.67,28.11,5762198
2017-11-22 16:00:00,28.16,28.48,28.03,28.43,4634778
2017-11-24 13:00:00,28.44,28.67,28.42,28.56,2067327
