,Open,High,Low,Close,Volume
2017-09-14 16:00:00,36.6,36.6,36.22,36.32,17884117
2017-09-15 16:00:00,36.41,37.11,36.39,37.1,47942916
2017-09-18 16:00:00,37.11,37.5,37.02,37.42,31974306
2017-09-19 16:00:00,37.41,38.44,37.269,38.21,46319957
2017-09-20 16:00:00,38.32,38.735,38.215,38.43,26869206
2017-09-21 16:00:00,38.5,38.54,38.14,38.22,16781231
2017-09-22 16:00:00,38.4,38.65,38.21,38.59,23212623
2017-09-25 16:00:00,38.53,39.19,38.5,39.12,36179101
2017-09-26 16:00:00,39.12,39.31,38.7,38.72,22605912
2017-09-27 16:00:00,38.63,38.91,38.51,38.77,23276796
2017-09-28 16:00:00,38.68,39.17,38.59,39.04,17368873
2017-09-29 16:00:00,38.95,39.22,38.81,39.17,21961431
2017-10-02 16:00:00,39.2,39.31,39.07,39.11,15604301
2017-10-03 16:00:00,39.19,39.48,39.09,39.48,16067551
2017-10-04 16:00:00,39.37,39.66,39.245,39.5,17913250
2017-10-05 16:00:00,39.61,39.8,39.4,39.51,22606241
2017-10-06 16:00:00,38.84,39.05,38.54,38.59,22431894
2017-10-09 16:00:00,38.65,38.67,38.15,38.3,19247893
2017-10-10 16:00:00,38.35,38.61,38.27,38.5,17317456
2017-10-11 16:00:00,38.52,38.61,38.35,38.545,2034313
2017-10-12 16:00:00,37.49,37.53,35.83,35.86,81976416
2017-10-13 16:00:00,35.84,36.04,35.25,35.7,56085354
2017-10-16 16:00:00,35.82,36.45,35.75,36.17,31097057
2017-10-17 16:00:00,36.17,36.29,35.99,36.23,21663555
2017-10-18 16:00:00,36.23,36.28,35.51,35.71,36764776
2017-10-19 16:00:00,35.93,36.33,35.59,35.69,32887368
2017-10-20 16:00:00,35.79,35.84,35.4,35.54,37835452
2017-10-23 16:00:00,35.42,35.66,35.19,35.25,30902268
2017-10-24 16:00:00,35.31,35.36,34.81,34.86,52235811
2017-10-25 16:00:00,34.26,34.35,33.33,33.49,96377175
2017-10-26 16:00:00,33.75,33.89,33.6,33.68,45121512
2017-10-27 16:00:00,33.68,34.02,33.54,33.97,52317302
2017-10-30 16:00:00,34.02,34.33,33.39,33.54,51695635
2017-10-31 16:00:00,33.64,33.84,33.43,33.65,36376366
2017-11-01 16:00:00,33.86,33.94,33.29,33.55,37844704
2017-11-02 16:00:00,33.57,34.424,32.93,33.17,72968207
2017-11-03 16:00:00,33.34,33.39,32.95,33.3,40239320
2017-11-06 16:00:00,33.07,33.08,32.55,32.86,47747017
2017-11-07 16:00:00,32.83,33.12,32.7143,33.07,30060967
2017-11-08 16:00:00,32.85,33.5,32.78,33.44,87599244
2017-11-09 16:00:00,33.43,34.453,33.35,34.0,69915864
2017-11-10 16:00:00,34.17,34.48,34.1,34.22,57476582
2017-11-13 16:00:00,34.28,34.36,34.14,34.17,28861756
2017-11-14 16:00:00,34.19,34.2,33.58,33.72,30261233
2017-11-15 16:00:00,34.02,34.2,33.65,33.81,32882313
2017-11-16 16:00:00,33.86,34.66,33.81,34.52,39966218
2017-11-17 16:00:00,34.43,34.88,34.35,34.51,36967216
2017-11-20 16:00:00,34.55,34.9,34.44,34.64,31264652
2017-11-21 16:00:00,34.6,34.75,34.29,34.33,35417001
2017-11-22 16:00:00,34.28,34.91,34.2,34.87,26453909
2017-11-24 13:00:00,34.87,34.95,34.74,34.81,9203078
2017-11-27 16:00:00,34.84,35.01,34.55,34.68,26793427
2017-11-28 16:00:00,34.56,35.54,34.56,35.42,34450425
2017-11-29 16:00:00,36.37,36.55,35.41,36.48,53178129
2017-11-30 16:00:00,36.5,36.9,36.025,36.38,49831258
2017-12-01 16:00:00,36.35,36.75,35.925,36.5,31437115
2017-12-04 16:00:00,36.795,37.54,36.75,37.27,40482422
2017-12-05 16:00:00,36.82,37.29,36.52,36.55,33055388
2017-12-06 16:00:00,36.16,36.45,36.025,36.11,31172158
2017-12-07 16:00:00,36.13,36.4,35.81,36.17,24529301
2017-12-08 16:00:00,36.395,36.75,36.15,36.73,25507428
2017-12-11 16:00:00,36.685,36.94,36.52,36.9,23666709
2017-12-12 16:00:00,38.1,38.17,36.98,38.1,46399912
2017-12-13 16:00:00,38.01,38.19,37.37,38.04,39671434
