,Open,High,Low,Close,Volume
2017-10-25 16:00:00,83.44,83.44,81.21,82.26,2454313
2017-10-26 16:00:00,82.0,82.0,80.35,80.37,2008971
2017-10-27 16:00:00,80.15,80.27,78.1,78.43,2285318
2017-10-30 16:00:00,78.2,79.28,78.18,78.95,1497331
2017-10-31 16:00:00,79.24,80.9601,79.12,80.87,2011939
2017-11-01 16:00:00,81.59,83.32,80.25,81.04,2502416
2017-11-02 16:00:00,80.75,80.86,78.5,79.08,2511305
2017-11-03 16:00:00,79.15,80.31,79.15,79.76,1290328
2017-11-06 16:00:00,79.63,79.85,78.63,78.89,1233937
2017-11-07 16:00:00,78.64,79.46,78.64,78.88,1197361
2017-11-08 16:00:00,79.2,79.81,78.61,79.63,1230227
2017-11-09 16:00:00,79.43,80.78,79.43,80.53,946567
2017-11-10 16:00:00,80.57,80.79,80.1,80.34,1292065
2017-11-13 16:00:00,80.16,81.23,80.16,80.84,982735
2017-11-14 16:00:00,80.5,81.25,80.12,80.52,861934
2017-11-15 16:00:00,80.5,82.0,78.7,78.79,1435504
2017-11-16 16:00:00,78.79,80.1786,78.6001,79.49,1207029
2017-11-17 16:00:00,79.24,79.97,78.88,79.68,748818
2017-11-20 16:00:00,79.48,79.67,79.05,79.2,1184464
2017-11-21 16:00:00,79.41,80.1,79.2,79.32,872716
2017-11-22 16:00:00,79.61,79.84,79.27,79.54,1473172
2017-11-24 13:00:00,79.93,79.93,79.49,79.67,293980
