,Open,High,Low,Close,Volume
2017-09-14 16:00:00,252.01,255.84,252.01,254.72,709426
2017-09-15 16:00:00,255.0,256.21,252.71,256.15,633932
2017-09-18 16:00:00,256.89,265.0413,256.855,264.64,1159855
2017-09-19 16:00:00,263.94,267.41,258.75,265.2,1227056
2017-09-20 16:00:00,257.5,262.83,255.14,259.25,1754831
2017-09-21 16:00:00,258.47,265.1999,256.51,264.27,807504
2017-09-22 16:00:00,263.98,264.66,259.65,260.4,275079
2017-09-25 16:00:00,260.28,260.395,255.21,258.22,336549
2017-09-26 16:00:00,258.43,259.54,255.78,256.55,323764
2017-09-27 16:00:00,256.49,257.59,254.13,254.47,335583
2017-09-28 16:00:00,253.44,255.34,252.79,253.55,312348
2017-09-29 16:00:00,253.24,255.87,252.35,255.65,317596
2017-10-02 16:00:00,256.64,258.21,254.94,258.18,368386
2017-10-03 16:00:00,258.13,262.35,256.05,262.33,352810
2017-10-04 16:00:00,261.54,263.58,261.345,262.88,462481
2017-10-05 16:00:00,263.15,269.34,262.69,268.25,841103
2017-10-06 16:00:00,267.75,268.782,263.65,264.97,451151
2017-10-09 16:00:00,264.97,266.58,263.93,266.4,180381
2017-10-10 16:00:00,267.11,267.11,265.19,266.53,223739
2017-10-11 16:00:00,266.79,266.99,265.49,265.63,8477
2017-10-12 16:00:00,264.36,266.47,264.26,266.16,296853
2017-10-13 16:00:00,266.31,267.12,265.39,265.49,387006
2017-10-16 16:00:00,266.4,267.41,261.94,263.62,333281
2017-10-17 16:00:00,263.42,266.58,262.165,266.0,428747
2017-10-18 16:00:00,266.38,266.525,264.36,265.7,438065
2017-10-19 16:00:00,265.14,265.83,262.57,264.5,365075
2017-10-20 16:00:00,265.78,268.62,263.54,268.6,329392
2017-10-23 16:00:00,268.99,269.86,267.07,267.58,242036
2017-10-24 16:00:00,266.83,268.48,265.75,267.82,178665
2017-10-25 16:00:00,267.42,273.71,267.42,272.62,302001
2017-10-26 16:00:00,273.45,273.68,269.881,273.0,520709
2017-10-27 16:00:00,272.81,277.5,270.73,277.5,555857
2017-10-30 16:00:00,275.99,278.28,275.13,277.2,376549
2017-10-31 16:00:00,277.6,278.77,276.22,277.5,354900
2017-11-01 16:00:00,279.64,282.87,278.93,280.95,421241
2017-11-02 16:00:00,279.84,283.63,279.84,282.55,662451
2017-11-03 16:00:00,281.9,285.15,280.49,282.52,409090
2017-11-06 16:00:00,282.23,284.38,281.38,283.0,386658
2017-11-07 16:00:00,283.58,283.58,279.75,283.33,573441
2017-11-08 16:00:00,282.17,285.565,281.56,284.97,662033
2017-11-09 16:00:00,264.03,275.7,260.83,265.58,1227832
2017-11-10 16:00:00,267.13,270.67,262.5,267.0,760565
2017-11-13 16:00:00,266.09,266.24,261.61,262.0,714816
2017-11-14 16:00:00,262.17,268.37,261.78,268.02,371413
2017-11-15 16:00:00,267.02,267.02,262.75,265.15,419583
2017-11-16 16:00:00,266.51,271.81,266.2568,268.4,467850
2017-11-17 16:00:00,267.08,267.54,262.72,263.08,296427
2017-11-20 16:00:00,263.29,267.82,263.175,266.64,342671
2017-11-21 16:00:00,267.73,268.6,265.7,267.15,584606
2017-11-22 16:00:00,268.07,269.495,266.65,268.99,342705
2017-11-24 13:00:00,270.32,275.99,268.97,275.65,296415
2017-11-27 16:00:00,274.86,276.885,270.325,273.99,485494
2017-11-28 16:00:00,274.93,277.09,273.68,277.06,318610
2017-11-29 16:00:00,277.23,279.51,274.63,279.32,335070
2017-11-30 16:00:00,280.0,284.26,279.58,283.79,417634
2017-12-01 16:00:00,283.35,284.64,277.13,279.87,402168
2017-12-04 16:00:00,281.97,282.99,273.89,275.01,499190
2017-12-05 16:00:00,275.84,275.84,270.62,271.95,374013
2017-12-06 16:00:00,272.11,275.2627,272.11,274.0,245584
2017-12-07 16:00:00,273.39,276.62,272.4,275.15,476828
2017-12-08 16:00:00,275.93,277.49,274.04,274.62,282484
2017-12-11 16:00:00,274.04,276.38,273.18,274.38,340421
2017-12-12 16:00:00,270.0,271.83,268.4,270.0,489402
2017-12-13 16:00:00,270.39,273.56,270.03,272.6,548871
